evaluation_version,horizon,sample_count,valid_count,avg_open_buy_return,avg_excess_return,avg_net_return,win_rate,top20_avg_return,cost_bps_one_way
v4,1d,100,100,-0.006279601058521652,,-0.00826604813600566,0.37,-0.01691064544986424,10
v4,3d,100,100,0.03269663923701476,,0.030632278655179965,0.67,0.04015188022652678,10
v4,5d,100,100,0.058593379342656224,,0.056477251177350266,0.7,0.05808050940035845,10
v4,10d,100,100,0.005325580647165849,,0.0033159348114521624,0.47,-0.03826843690440852,10
v5,1d,100,100,0.0076774856417307115,,0.005663138347932889,0.53,0.031454013382011634,10
v5,3d,100,100,0.028352740605504398,,0.02629706347703402,0.66,0.03697821191116083,10
v5,5d,100,100,-0.023700311168243293,,-0.02565193424621798,0.31,-0.006490006920759714,10
v5,10d,100,100,-0.005242711892910321,,-0.007231231711836397,0.39,0.05101932688831738,10
v7,1d,2200,2100,-0.00608757313665379,,-0.008074404077953616,0.4004761904761905,-0.009476248858327724,10
v7,3d,2200,1900,-0.014284286606553703,,-0.016254732317627203,0.3989473684210526,-0.02608009941481597,10
v7,5d,2200,1699,-0.01949148271561695,,-0.021451519241668434,0.4078869923484403,-0.04241218901798471,10
v7,10d,2200,1198,-0.03593067952959758,,-0.037857854101217905,0.4290484140233723,-0.10032438541871229,10
