code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
3054,ハイパー,卸売業,スタンダード,3054.T,(株)ハイパー,1,2,値上がり率・出来高増加率,350,2026-08-18,2026-07-03,6,1,1.0,0.0
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,1,1,出来高,250,2026-08-18,2026-06-15,44,43,1.0,0.0
2962,テクニスコ,金属製品,スタンダード,2962.T,(株)テクニスコ,2,1,値上がり率,249,2026-08-18,2026-06-15,14,1,37.0,35.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),2,1,出来高,249,2026-08-18,2026-06-15,44,43,2.0,0.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),3,1,出来高,248,2026-08-18,2026-06-15,44,43,3.0,0.0
8995,誠建設工業,不動産業,スタンダード,8995.T,(株)誠建設工業,3,1,値上がり率,248,2026-08-18,2026-07-13,11,3,3.0,0.0
9344,アクシスコンサルティング,サービス業,グロース,9344.T,アクシスコンサルティング(株),4,2,値上がり率・出来高増加率,347,2026-08-18,2026-06-18,8,2,18.0,14.0
5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,5,1,出来高,246,2026-08-18,2026-06-15,44,43,5.0,0.0
6085,アーキテクツ・スタジオ・ジャパン,サービス業,グロース,6085.T,アーキテクツ・スタジオ・ジャパン(株),5,2,値上がり率・出来高,346,2026-08-18,2026-06-22,23,2,57.0,52.0
4572,カルナバイオサイエンス,医薬品,グロース,4572.T,カルナバイオサイエンス(株),6,2,値上がり率・出来高増加率,345,2026-08-18,2026-06-30,4,1,57.0,51.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),6,1,出来高,245,2026-08-18,2026-06-15,44,43,6.0,0.0
7035,ａｎｄ　ｆａｃｔｏｒｙ,サービス業,スタンダード,7035.T,ａｎｄ　ｆａｃｔｏｒｙ(株),6,2,値上がり率・出来高増加率,345,2026-08-18,2026-06-23,3,1,44.0,38.0
150A,ＪＳＨ,サービス業,グロース,150A.T,(株)ＪＳＨ,7,1,値上がり率,244,2026-08-18,2026-06-30,11,3,5.0,-2.0
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),7,1,出来高,244,2026-08-18,2026-06-15,44,43,8.0,1.0
4424,Ａｍａｚｉａ,情報・通信業,グロース,4424.T,(株)Ａｍａｚｉａ,8,2,値上がり率・出来高増加率,343,2026-08-18,2026-07-01,12,1,62.0,54.0
9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,ソフトバンクグループ(株),8,1,出来高,243,2026-08-18,2026-06-15,44,43,16.0,8.0
285A,キオクシアホールディングス,電気機器,プライム,285A.T,キオクシアホールディングス(株),9,1,出来高,242,2026-08-18,2026-06-15,43,26,10.0,1.0
3778,さくらインターネット,情報・通信業,プライム,3778.T,さくらインターネット(株),9,2,値上がり率・出来高,342,2026-08-18,2026-06-19,8,1,145.0,136.0
8729,ソニーフィナンシャルグループ,保険業,プライム,8729.T,ソニーフィナンシャルグループ(株),10,1,出来高,241,2026-08-18,2026-06-15,44,43,11.0,1.0
9425,ＲｅＹｕｕ　Ｊａｐａｎ,情報・通信業,スタンダード,9425.T,ＲｅＹｕｕ　Ｊａｐａｎ(株),10,3,値上がり率・出来高・出来高増加率,441,2026-08-18,2026-06-17,11,1,118.0,108.0
5401,日本製鉄,鉄鋼,プライム,5401.T,日本製鉄(株),11,2,値上がり率・出来高,340,2026-08-18,2026-06-15,44,43,19.0,8.0
4416,Ｔｒｕｅ　Ｄａｔａ,情報・通信業,グロース,4416.T,(株)Ｔｒｕｅ　Ｄａｔａ,12,2,値上がり率・出来高増加率,339,2026-08-18,2026-06-25,10,1,52.0,40.0
5801,古河電気工業,非鉄金属,プライム,5801.T,古河電気工業(株),12,1,出来高,239,2026-08-18,2026-06-19,39,35,15.0,3.0
6027,弁護士ドットコム,サービス業,プライム,6027.T,弁護士ドットコム(株),13,1,値上がり率,238,2026-08-18,2026-06-19,8,1,11.0,-2.0
9501,東京電力ホールディングス,電気・ガス業,プライム,9501.T,東京電力ホールディングス(株),13,1,出来高,238,2026-08-18,2026-06-15,44,43,20.0,7.0
6276,シリウスビジョン,電気機器,スタンダード,6276.T,シリウスビジョン(株),14,1,値上がり率,237,2026-08-18,2026-06-24,6,2,58.0,44.0
6981,村田製作所,電気機器,プライム,6981.T,(株)村田製作所,14,1,出来高,237,2026-08-18,2026-06-15,44,43,22.0,8.0
