liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
1,285A,キオクシアホールディングス,電気機器,プライム,285A.T,2026-07-08,71870.0,-0.007320441988950321,-0.18450017020310905,0.01943262411347524,1.5945848375451264,4.663514578408195,89248.5,63302.666666666664,-0.194720359445817,0.13533921688396489,-0.33882244710211595,1.2979189062116516,48348100.0,39060850.0,1.2377636431362862,3464060287050.0,260,True,jpx_liquidity,JPX流動性
2,6976,太陽誘電,電気機器,プライム,6976.T,2026-07-08,14965.0,-0.08498929990828497,-0.339439417347164,-0.04407537527946348,2.0773185276578245,3.4434817581088204,18546.75,12314.683333333332,-0.1931200884251958,0.21521598200522152,-0.339439417347164,1.4760488372692169,24772500.0,26391690.0,0.9386477334342742,481166429150.0,260,True,jpx_liquidity,JPX流動性
3,9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,2026-07-08,5763.0,-0.0013862415525904836,-0.03949999999999998,-0.10803281225816441,0.5266225165562914,0.35375178285602216,6484.95,6207.2,-0.11132699558207848,-0.07156205696610385,-0.3323679332715477,0.8148138742503228,41852300.0,59853150.0,0.6992497470893345,383568269325.0,260,True,jpx_liquidity,JPX流動性
4,8035,東京エレクトロン,電気機器,プライム,8035.T,2026-07-08,67350.0,-0.030516769828702994,-0.14530456852791873,0.08927704997574004,0.5963498459350558,0.7931889894684885,72697.5,57653.5,-0.0735582379036418,0.1681857996478966,-0.14530456852791873,0.6917137969019109,4276100.0,5007050.0,0.8540158376688869,350280484000.0,260,True,jpx_liquidity,JPX流動性
5,6981,村田製作所,電気機器,プライム,6981.T,2026-07-08,9027.0,-0.02008250108554055,-0.24079058031959633,0.04358381502890163,1.2624060150375942,1.85289919097136,10691.1,7981.733333333334,-0.15565283273002783,0.13095735262181973,-0.2631020408163265,1.1140871193011552,41610500.0,31980265.0,1.3011305566104596,329550281105.0,260,True,jpx_liquidity,JPX流動性
6,6857,アドバンテスト,電気機器,プライム,6857.T,2026-07-08,27545.0,-0.046885813148788924,-0.13921874999999995,0.09153952843273228,0.11068548387096766,0.36176221553632737,30398.0,28360.666666666668,-0.09385485887229428,-0.028760489880350737,-0.2327298050139276,0.884594350377287,10152200.0,8679160.0,1.1697214937851128,267529639725.0,260,True,jpx_liquidity,JPX流動性
7,5803,フジクラ,非鉄金属,プライム,5803.T,2026-07-08,4824.0,-0.04889589905362779,-0.1719876416065912,0.15021459227467804,-0.04057279236276845,0.7021261346442826,5364.3,5499.15,-0.10072143616128859,-0.12277351954392945,-0.3858688733290897,1.1234838600556967,40311200.0,49084750.0,0.8212571114246278,266864254145.0,260,True,jpx_liquidity,JPX流動性
8,4062,イビデン,電気機器,プライム,4062.T,2026-07-08,19100.0,-0.03995978889168128,-0.2592592592592593,0.09770114942528729,0.9469928644240571,1.8499717565968727,23160.0,18117.766666666666,-0.1753022452504318,0.05421381958409155,-0.2771996215704825,1.150993400453909,8950100.0,9385365.0,0.9536230077359804,220000475000.0,260,True,jpx_liquidity,JPX流動性
9,6920,レーザーテック,電気機器,プライム,6920.T,2026-07-08,42000.0,-0.04653802497162318,-0.1730655640874188,0.03321033210332103,0.0852713178294573,0.3824884792626728,49145.1025390625,44039.0341796875,-0.14538788546393377,-0.046300610757444405,-0.26654834938247696,0.9490946940284484,2887000.0,3757230.0,0.7683852199625788,187541329100.0,260,False,jpx_liquidity,JPX流動性
10,6146,ディスコ,機械,プライム,6146.T,2026-07-08,68230.0,-0.051043115438108466,-0.19273544723142455,-0.02612046817013991,0.05619195046439618,0.247596323140453,80140.0,73323.16666666667,-0.1486149238832044,-0.06946190267287067,-0.22886528028933095,0.9225990512891871,1732600.0,1908065.0,0.9080403445375289,154783889500.0,260,False,jpx_liquidity,JPX流動性
11,5016,ＪＸ金属,非鉄金属,プライム,5016.T,2026-07-08,3681.0,-0.045136186770427966,-0.12751836928182037,0.08520047169811318,-0.1703853955375254,0.6931011973588863,4276.6,4358.3,-0.13926951316466363,-0.15540463024573803,-0.3564685314685314,1.0866764860381055,24314100.0,31869675.0,0.7629227470942205,143719317735.0,260,True,jpx_liquidity,JPX流動性
