group_name,group_value,metric_key,metric_label,sample_count,valid_count,avg_return,median_return,win_rate
全体,毎日厳選,next_open,翌日寄付ギャップ,70,65,0.0004295118458579599,0.0015408320493066618,0.5692307692307692
全体,毎日厳選,1d,1日リターン,70,65,-0.00017073706668198116,0.0014267185473411104,0.5076923076923077
全体,毎日厳選,3d,3日リターン,70,55,0.007404724124900341,0.0004405286343611703,0.509090909090909
全体,毎日厳選,5d,5日リターン,70,45,0.009291647883372311,-0.012191958495460398,0.4444444444444444
全体,毎日厳選,10d,10日リターン,70,20,0.010425614893725853,-0.021070954245683608,0.4
全体,毎日厳選,open_buy_1d,翌日寄付買い1日,70,65,-0.0006081945251330788,-0.001332149200710453,0.47692307692307695
全体,毎日厳選,open_buy_3d,翌日寄付買い3日,70,55,0.0033801666763647277,-0.009756097560975618,0.41818181818181815
全体,毎日厳選,open_buy_5d,翌日寄付買い5日,70,45,0.005447440025333298,-0.012448132780082943,0.4222222222222222
全体,毎日厳選,excess_5d,TOPIX超過5日,70,0,,,
全体,毎日厳選,net_5d_10bps,コスト後5日（片道10bp）,70,45,0.0034375505927226714,-0.014422248962655537,0.4222222222222222
市場,グロース,next_open,翌日寄付ギャップ,3,2,0.0078125,0.0078125,0.5
市場,グロース,1d,1日リターン,3,2,-0.03166776940825189,-0.03166776940825189,0.0
市場,グロース,3d,3日リターン,3,1,-0.023615635179153105,-0.023615635179153105,0.0
市場,グロース,5d,5日リターン,3,1,-0.07736156351791534,-0.07736156351791534,0.0
市場,グロース,10d,10日リターン,3,0,,,
市場,グロース,open_buy_1d,翌日寄付買い1日,3,2,-0.039129708510815986,-0.039129708510815986,0.0
市場,グロース,open_buy_3d,翌日寄付買い3日,3,1,-0.023615635179153105,-0.023615635179153105,0.0
市場,グロース,open_buy_5d,翌日寄付買い5日,3,1,-0.07736156351791534,-0.07736156351791534,0.0
市場,グロース,excess_5d,TOPIX超過5日,3,0,,,
市場,グロース,net_5d_10bps,コスト後5日（片道10bp）,3,1,-0.07920591775244301,-0.07920591775244301,0.0
市場,スタンダード,next_open,翌日寄付ギャップ,4,4,0.003589160357051031,6.718114420328769e-05,0.5
市場,スタンダード,1d,1日リターン,4,4,-0.0034639831464770626,-0.0036505366906567915,0.25
市場,スタンダード,3d,3日リターン,4,3,-0.04155905113503554,-0.0520393811533052,0.0
市場,スタンダード,5d,5日リターン,4,3,-0.04576967744689794,-0.04641350210970463,0.0
市場,スタンダード,10d,10日リターン,4,3,-0.06786261691319673,-0.03375527426160341,0.0
市場,スタンダード,open_buy_1d,翌日寄付買い1日,4,4,-0.0069296129322887826,-0.0037161430119176386,0.25
市場,スタンダード,open_buy_3d,翌日寄付買い3日,4,3,-0.04716142425966544,-0.05070422535211272,0.0
市場,スタンダード,open_buy_5d,翌日寄付買い5日,4,3,-0.051220448287762954,-0.047052460789616,0.0
市場,スタンダード,excess_5d,TOPIX超過5日,4,0,,,
市場,スタンダード,net_5d_10bps,コスト後5日（片道10bp）,4,3,-0.053117058611635716,-0.0489574029204975,0.0
市場,プライム,next_open,翌日寄付ギャップ,63,59,-3.497239741418195e-05,0.0018210789893011725,0.576271186440678
市場,プライム,1d,1日リターン,63,59,0.001120229865560733,0.0034768654720513936,0.5423728813559322
市場,プライム,3d,3日リターン,63,51,0.010893188538309381,0.004442470013327426,0.5490196078431373
市場,プライム,5d,5日リターン,63,41,0.015434018307569833,-0.003964757709251088,0.4878048780487805
市場,プライム,10d,10日リターン,63,17,0.024241185212594545,-0.00862630208333337,0.47058823529411764
市場,プライム,open_buy_1d,翌日寄付買い1日,63,59,0.0011261902477480844,0.001167012448132887,0.5084745762711864
市場,プライム,open_buy_3d,翌日寄付買い3日,63,51,0.006882530885455087,-0.00432432432432428,0.45098039215686275
市場,プライム,open_buy_5d,翌日寄付買い5日,63,41,0.011613602671248844,-0.005032822757111588,0.4634146341463415
市場,プライム,excess_5d,TOPIX超過5日,63,0,,,
市場,プライム,net_5d_10bps,コスト後5日（片道10bp）,63,41,0.009591387079509033,-0.007021762144420185,0.4634146341463415
業種,ガラス・土石製品,next_open,翌日寄付ギャップ,3,3,0.011598726423593794,0.005124340617935097,1.0
業種,ガラス・土石製品,1d,1日リターン,3,3,0.0016215913140011546,0.003284072249589487,0.6666666666666666
業種,ガラス・土石製品,3d,3日リターン,3,3,0.034001779253786814,0.015873015873015817,0.6666666666666666
業種,ガラス・土石製品,5d,5日リターン,3,3,0.06905122410341687,0.07457580733442803,0.6666666666666666
業種,ガラス・土石製品,10d,10日リターン,3,3,0.041448322205133135,0.011494252873563315,0.6666666666666666
業種,ガラス・土石製品,open_buy_1d,翌日寄付買い1日,3,3,-0.009771115874763906,-0.017697678194512068,0.3333333333333333
業種,ガラス・土石製品,open_buy_3d,翌日寄付買い3日,3,3,0.022354146211306603,-0.011056347409084899,0.3333333333333333
業種,ガラス・土石製品,open_buy_5d,翌日寄付買い5日,3,3,0.056795405962421386,0.04609031570534161,0.6666666666666666
業種,ガラス・土石製品,excess_5d,TOPIX超過5日,3,0,,,
業種,ガラス・土石製品,net_5d_10bps,コスト後5日（片道10bp）,3,3,0.054682871945902566,0.04399918116424684,0.6666666666666666
業種,サービス業,next_open,翌日寄付ギャップ,5,4,0.007465076398781301,0.005727925848719451,0.5
業種,サービス業,1d,1日リターン,5,4,0.005584999035564614,0.006735045950117646,0.75
業種,サービス業,3d,3日リターン,5,3,0.022822775464297784,0.03352448169386846,0.6666666666666666
業種,サービス業,5d,5日リターン,5,3,0.07954563669952568,0.10851345390383771,1.0
業種,サービス業,10d,10日リターン,5,0,,,
業種,サービス業,open_buy_1d,翌日寄付買い1日,5,4,-0.0017561044321654784,0.01077520509488017,0.75
業種,サービス業,open_buy_3d,翌日寄付買い3日,5,3,0.018069831553433186,0.0086095566078348,0.6666666666666666
業種,サービス業,open_buy_5d,翌日寄付買い5日,5,3,0.07434164693116856,0.08179078777442972,1.0
業種,サービス業,excess_5d,TOPIX超過5日,5,0,,,
業種,サービス業,net_5d_10bps,コスト後5日（片道10bp）,5,3,0.07219403797895312,0.07962828798966859,1.0
業種,不動産業,next_open,翌日寄付ギャップ,1,1,0.0,0.0,0.0
業種,不動産業,1d,1日リターン,1,1,-0.03338762214983715,-0.03338762214983715,0.0
業種,不動産業,3d,3日リターン,1,1,-0.023615635179153105,-0.023615635179153105,0.0
業種,不動産業,5d,5日リターン,1,1,-0.07736156351791534,-0.07736156351791534,0.0
業種,不動産業,10d,10日リターン,1,0,,,
業種,不動産業,open_buy_1d,翌日寄付買い1日,1,1,-0.03338762214983715,-0.03338762214983715,0.0
業種,不動産業,open_buy_3d,翌日寄付買い3日,1,1,-0.023615635179153105,-0.023615635179153105,0.0
業種,不動産業,open_buy_5d,翌日寄付買い5日,1,1,-0.07736156351791534,-0.07736156351791534,0.0
業種,不動産業,excess_5d,TOPIX超過5日,1,0,,,
業種,不動産業,net_5d_10bps,コスト後5日（片道10bp）,1,1,-0.07920591775244301,-0.07920591775244301,0.0
業種,保険業,next_open,翌日寄付ギャップ,4,4,0.0021740992725480524,0.003564654679968471,0.75
業種,保険業,1d,1日リターン,4,4,-0.007219984984070921,-0.0026182638037556827,0.5
業種,保険業,3d,3日リターン,4,4,-0.008017903563078216,-0.0054594568679983135,0.5
業種,保険業,5d,5日リターン,4,2,-0.03527282006573779,-0.03527282006573779,0.0
業種,保険業,10d,10日リターン,4,0,,,
業種,保険業,open_buy_1d,翌日寄付買い1日,4,4,-0.009493702289476075,-0.006135677864358702,0.5
業種,保険業,open_buy_3d,翌日寄付買い3日,4,4,-0.010296551054413544,-0.0014067573175793324,0.5
業種,保険業,open_buy_5d,翌日寄付買い5日,4,2,-0.033046242669784565,-0.033046242669784565,0.0
業種,保険業,excess_5d,TOPIX超過5日,4,0,,,
業種,保険業,net_5d_10bps,コスト後5日（片道10bp）,4,2,-0.03497918323068766,-0.03497918323068766,0.0
業種,倉庫・運輸関連業,next_open,翌日寄付ギャップ,2,2,0.007791636229178556,0.007791636229178556,1.0
業種,倉庫・運輸関連業,1d,1日リターン,2,2,0.0030525869610310563,0.0030525869610310563,0.5
業種,倉庫・運輸関連業,3d,3日リターン,2,1,-0.013067828251400071,-0.013067828251400071,0.0
業種,倉庫・運輸関連業,5d,5日リターン,2,1,-0.013690105787181106,-0.013690105787181106,0.0
業種,倉庫・運輸関連業,10d,10日リターン,2,0,,,
業種,倉庫・運輸関連業,open_buy_1d,翌日寄付買い1日,2,2,-0.004707255453053338,-0.004707255453053338,0.5
業種,倉庫・運輸関連業,open_buy_3d,翌日寄付買い3日,2,1,-0.020382952439777613,-0.020382952439777613,0.0
業種,倉庫・運輸関連業,open_buy_5d,翌日寄付買い5日,2,1,-0.02100061766522543,-0.02100061766522543,0.0
業種,倉庫・運輸関連業,excess_5d,TOPIX超過5日,2,0,,,
業種,倉庫・運輸関連業,net_5d_10bps,コスト後5日（片道10bp）,2,1,-0.022957637430512712,-0.022957637430512712,0.0
業種,化学,next_open,翌日寄付ギャップ,3,3,-0.002856808723414613,0.00025940337224383825,0.6666666666666666
業種,化学,1d,1日リターン,3,3,-0.013542036756488388,-0.0057080728458820396,0.3333333333333333
業種,化学,3d,3日リターン,3,3,-0.039987640834301875,-0.055901426718547365,0.3333333333333333
業種,化学,5d,5日リターン,3,3,-0.02321019605803624,-0.012191958495460398,0.3333333333333333
業種,化学,10d,10日リターン,3,2,-0.0276356605954714,-0.0276356605954714,0.0
業種,化学,open_buy_1d,翌日寄付買い1日,3,3,-0.010770965092783377,-0.011351351351351346,0.3333333333333333
業種,化学,open_buy_3d,翌日寄付買い3日,3,3,-0.03736796269771033,-0.05163329820864071,0.0
業種,化学,open_buy_5d,翌日寄付買い5日,3,3,-0.020896736121541377,-0.012448132780082943,0.3333333333333333
業種,化学,excess_5d,TOPIX超過5日,3,0,,,
業種,化学,net_5d_10bps,コスト後5日（片道10bp）,3,3,-0.022853963546034344,-0.014422248962655537,0.3333333333333333
業種,卸売業,next_open,翌日寄付ギャップ,2,2,-0.0021179478958097686,-0.0021179478958097686,0.0
業種,卸売業,1d,1日リターン,2,2,0.00011341581135793088,0.00011341581135793088,0.5
業種,卸売業,3d,3日リターン,2,1,-0.0520393811533052,-0.0520393811533052,0.0
業種,卸売業,5d,5日リターン,2,1,-0.04641350210970463,-0.04641350210970463,0.0
業種,卸売業,10d,10日リターン,2,1,-0.03375527426160341,-0.03375527426160341,0.0
業種,卸売業,open_buy_1d,翌日寄付買い1日,2,2,0.0022397049504159217,0.0022397049504159217,0.5
業種,卸売業,open_buy_3d,翌日寄付買い3日,2,1,-0.05070422535211272,-0.05070422535211272,0.0
業種,卸売業,open_buy_5d,翌日寄付買い5日,2,1,-0.04507042253521132,-0.04507042253521132,0.0
業種,卸売業,excess_5d,TOPIX超過5日,2,0,,,
業種,卸売業,net_5d_10bps,コスト後5日（片道10bp）,2,1,-0.04697932676056349,-0.04697932676056349,0.0
業種,小売業,next_open,翌日寄付ギャップ,2,2,0.011162895478960433,0.011162895478960433,1.0
業種,小売業,1d,1日リターン,2,2,0.015843140886234397,0.015843140886234397,1.0
業種,小売業,3d,3日リターン,2,2,0.009462249762090535,0.009462249762090535,0.5
業種,小売業,5d,5日リターン,2,1,-0.005722816621050009,-0.005722816621050009,0.0
業種,小売業,10d,10日リターン,2,0,,,
業種,小売業,open_buy_1d,翌日寄付買い1日,2,2,0.004591934692870503,0.004591934692870503,0.5
業種,小売業,open_buy_3d,翌日寄付買い3日,2,2,-0.0018080176116922475,-0.0018080176116922475,0.5
業種,小売業,open_buy_5d,翌日寄付買い5日,2,1,-0.022743947175348445,-0.022743947175348445,0.0
業種,小売業,excess_5d,TOPIX超過5日,2,0,,,
業種,小売業,net_5d_10bps,コスト後5日（片道10bp）,2,1,-0.024697482024944928,-0.024697482024944928,0.0
業種,情報・通信業,next_open,翌日寄付ギャップ,2,1,0.017051705170517,0.017051705170517,1.0
業種,情報・通信業,1d,1日リターン,2,1,-0.0110011001100109,-0.0110011001100109,0.0
業種,情報・通信業,3d,3日リターン,2,1,-0.0033003300330033,-0.0033003300330033,0.0
業種,情報・通信業,5d,5日リターン,2,1,-0.0308030803080308,-0.0308030803080308,0.0
業種,情報・通信業,10d,10日リターン,2,1,-0.0253025302530253,-0.0253025302530253,0.0
業種,情報・通信業,open_buy_1d,翌日寄付買い1日,2,1,-0.0275824770146024,-0.0275824770146024,0.0
業種,情報・通信業,open_buy_3d,翌日寄付買い3日,2,1,-0.0200108166576528,-0.0200108166576528,0.0
業種,情報・通信業,open_buy_5d,翌日寄付買い5日,2,1,-0.047052460789616,-0.047052460789616,0.0
業種,情報・通信業,excess_5d,TOPIX超過5日,2,0,,,
業種,情報・通信業,net_5d_10bps,コスト後5日（片道10bp）,2,1,-0.0489574029204975,-0.0489574029204975,0.0
業種,機械,next_open,翌日寄付ギャップ,10,9,0.0005366452400796683,0.0007622413795573824,0.5555555555555556
業種,機械,1d,1日リターン,10,9,-0.01016102352308015,-0.00820595333869667,0.4444444444444444
業種,機械,3d,3日リターン,10,8,0.007247281330459848,0.005603985056039873,0.5
業種,機械,5d,5日リターン,10,7,-0.0032826423917166852,-0.020565552699228773,0.42857142857142855
業種,機械,10d,10日リターン,10,4,-0.02657077546814926,-0.02177372638625169,0.25
業種,機械,open_buy_1d,翌日寄付買い1日,10,9,-0.01059071426505821,-0.003772695119075742,0.2222222222222222
業種,機械,open_buy_3d,翌日寄付買い3日,10,8,0.0007967180003500968,-0.01122322644546242,0.375
業種,機械,open_buy_5d,翌日寄付買い5日,10,7,-0.00809522755605355,-0.02990897269180759,0.2857142857142857
業種,機械,excess_5d,TOPIX超過5日,10,0,,,
業種,機械,net_5d_10bps,コスト後5日（片道10bp）,10,7,-0.010078045196168966,-0.03184818465539663,0.2857142857142857
業種,精密機器,next_open,翌日寄付ギャップ,3,3,0.003201862785064513,0.003964757709251199,1.0
業種,精密機器,1d,1日リターン,3,3,0.05910422727736997,0.03202269963518445,0.6666666666666666
業種,精密機器,3d,3日リターン,3,3,0.08281764515749028,0.0004405286343611703,0.6666666666666666
業種,精密機器,5d,5日リターン,3,2,0.082747428295387,0.082747428295387,0.5
業種,精密機器,10d,10日リターン,3,1,0.3097345132743363,0.3097345132743363,1.0
業種,精密機器,open_buy_1d,翌日寄付買い1日,3,3,0.05568792578358946,0.03076923076923066,0.6666666666666666
業種,精密機器,open_buy_3d,翌日寄付買い3日,3,3,0.07925718713007608,-0.003510311540149136,0.3333333333333333
業種,精密機器,open_buy_5d,翌日寄付買い5日,3,2,0.07955227784812763,0.07955227784812763,0.5
業種,精密機器,excess_5d,TOPIX超過5日,3,0,,,
