pick_rank,rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base,selection_reason
1,2,7272,ヤマハ発動機,輸送用機器,プライム,7272.T,ヤマハ発動機(株),16,3,値上がり率・出来高・出来高増加率,435,2026-08-04,2026-06-15,35,34,101.0,85.0,2026-08-04,1511.0,0.13395872420262656,0.12761194029850742,0.18602825745682883,0.3190746398952422,0.4003707136237258,1306.725,1255.8800313313802,0.15632592932713463,0.20314039741372647,0.0,0.5515058970609643,30451900.0,5717760.0,5.325844386612939,9438753302.5,278,18.94736842105263,16.70360110803324,7.910863509749304,9.529085872576179,9.390581717451523,7.396121883656509,7.556786703601108,6.7770083102493075,2.7728531855955674,86.98,43.56,18.92,14.95,v7,True,True,True,True,True,True,True,True,True,True,True,True,20日モメンタム・中期上昇・移動平均線上
2,5,3498,霞ヶ関キャピタル,不動産業,プライム,3498.T,霞ヶ関キャピタル(株),149,1,値上がり率,102,2026-08-04,2026-06-15,7,1,68.0,-81.0,2026-08-04,7990.0,0.04993429697766105,0.10664819944598336,0.20512820512820507,0.2523510971786833,0.12061711079943893,7066.5,6451.166666666667,0.13068704450576663,0.23853566538352222,0.0,0.3648097403240086,696200.0,542250.0,1.2839096357768558,3444007650.0,278,19.224376731301938,16.005540166204987,5.8774373259052926,9.335180055401661,9.556786703601109,6.038781163434903,4.96398891966759,6.7770083102493075,4.207756232686981,81.99,41.11,18.89,11.0,v7,True,True,True,True,True,True,True,True,True,True,True,True,20日モメンタム・中期上昇・移動平均線上
3,7,4768,大塚商会,情報・通信業,プライム,4768.T,(株)大塚商会,71,2,値上がり率・出来高,280,2026-08-04,2026-07-27,3,1,89.0,18.0,2026-08-04,3434.0,0.06679092885989446,0.056290372193171345,0.17221368834272055,0.12775041050903124,0.13633355393778945,3089.775,2938.7213460286457,0.11140778859302047,0.16853542600786842,0.0,0.4089678547537583,4348600.0,1577035.0,2.757453068574889,5403044032.5,278,18.448753462603875,13.612188365650969,6.044568245125348,9.141274238227147,9.252077562326871,6.759002770083103,6.847645429362881,6.7770083102493075,3.8393351800554014,80.72,38.11,18.39,13.61,v7,True,True,True,True,True,True,True,True,True,True,True,True,20日モメンタム・移動平均線上・出来高増加
4,8,8159,立花エレテック,卸売業,プライム,8159.T,(株)立花エレテック,97,1,値上がり率,154,2026-08-04,2026-08-03,2,2,148.0,51.0,2026-08-04,3795.0,0.05857740585774063,0.1430722891566265,0.13793103448275867,0.21052631578947367,0.24320098468704465,3368.25,3209.35,0.12669784012469387,0.18248243413775378,0.0,0.3706398409031266,128400.0,34825.0,3.6870064608758075,134547000.0,278,17.894736842105264,15.556786703601105,7.047353760445683,9.252077562326871,9.335180055401661,3.4072022160664823,7.202216066481994,6.7770083102493075,4.07202216066482,80.54,40.5,18.59,10.61,v7,True,True,True,True,True,True,True,True,True,True,True,True,20日モメンタム・中期上昇・移動平均線上
5,10,7774,ジャパン・ティッシュエンジニアリング,精密機器,グロース,7774.T,(株)ジャパン・ティッシュエンジニアリング,66,1,値上がり率,185,2026-08-04,2026-07-30,3,2,95.0,29.0,2026-08-04,754.0,0.06950354609929077,0.22204213938411677,0.1799687010954616,0.2715008431703203,0.36101083032490977,648.15,622.55,0.1633109619686801,0.21114769898000163,-0.05276381909547734,0.5365523439156298,187300.0,76940.0,2.4343644398232387,54790135.0,247,18.670360110803323,16.40443213296399,7.743732590529248,9.584487534626039,9.445983379501385,3.047091412742382,6.603878116343491,5.797783933518006,2.8504155124653745,80.15,42.82,19.03,9.65,v7,True,True,True,True,True,True,True,True,False,True,True,True,20日モメンタム・中期上昇・移動平均線上
