liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
1,285A,キオクシアホールディングス,電気機器,プライム,285A.T,2026-08-25,51260.0,0.00647948164146861,-0.10306211723534553,-0.06031164069660866,-0.2215641609719059,1.4167845355964168,50138.5,69431.66666666667,0.02236804052773822,-0.26172015650879765,-0.5284268629254829,1.4267314110880123,30502000.0,47980950.0,0.6357106309900075,2306257761050.0,292,True,jpx_liquidity,JPX流動性
2,5803,フジクラ,非鉄金属,プライム,5803.T,2026-08-25,5292.0,0.055023923444976086,-0.10335479498475098,0.2235838150289018,0.10920142527771959,0.1919334445055061,5026.95,5034.4,0.052725807895443566,0.05116796440489435,-0.3262889879057925,1.0741544997418129,70850700.0,64096160.0,1.105381352018592,336277538225.0,292,True,jpx_liquidity,JPX流動性
3,6857,アドバンテスト,電気機器,プライム,6857.T,2026-08-25,34450.0,-0.0014492753623188692,-0.039319576129392075,0.21388301620859762,0.31639281620175774,0.284800379706063,33145.25,30597.25,0.03936461483923037,0.1259181789213082,-0.08814187400741136,0.9281777823535052,8901700.0,9389925.0,0.9480054420029979,306456419825.0,292,True,jpx_liquidity,JPX流動性
4,6976,太陽誘電,電気機器,プライム,6976.T,2026-08-25,9270.0,0.013225489124494505,-0.07216494845360821,-0.19705500216543959,-0.3742828214647317,0.9541789615850942,9965.65,14142.633333333333,-0.06980477941729835,-0.34453508186829895,-0.5908188037960715,1.1533125889838045,22541400.0,23416065.0,0.9626467982558128,235021242215.0,292,True,jpx_liquidity,JPX流動性
5,9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,2026-08-25,5087.0,0.022512562814070325,-0.1274442538593482,-0.045770024385668684,-0.3209184354558804,0.24580584985530818,5375.45,6149.95,-0.05366062376173153,-0.1728388035675087,-0.41068118628359596,0.9228977040912012,28458400.0,44736540.0,0.6361332369468001,233291146670.0,292,True,jpx_liquidity,JPX流動性
6,8035,東京エレクトロン,電気機器,プライム,8035.T,2026-08-25,55410.0,0.004714415231187763,-0.017204682511528957,-0.11767515923566874,0.057039297977871106,0.2708054098029766,55865.5,64323.5,-0.008153511559012228,-0.13857299431778436,-0.29682741116751266,0.7297025760733957,2269700.0,4110210.0,0.552210227701261,226317939450.0,292,False,jpx_liquidity,JPX流動性
7,6981,村田製作所,電気機器,プライム,6981.T,2026-08-25,7130.0,0.008914673836139864,-0.048826040554962646,-0.11997037768452234,-0.25922077922077924,0.7520116397315202,7350.75,9042.183333333332,-0.03003094922286842,-0.21147363007828113,-0.4179591836734694,1.0719504271812563,18662800.0,28182990.0,0.6622008523581068,205523751100.0,292,True,jpx_liquidity,JPX流動性
8,4062,イビデン,電気機器,プライム,4062.T,2026-08-25,19980.0,0.0630486831604149,-0.042874251497005966,0.1964071856287426,-0.1313043478260869,1.0988055915708514,18546.5,20128.333333333332,0.0772922114684711,-0.007369379812867338,-0.24389782403027438,1.397494601241427,7102900.0,8231230.0,0.8629208514401857,152845184250.0,292,True,jpx_liquidity,JPX流動性
9,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,2026-08-25,3529.0,0.013789141051421927,-0.034209085933223915,-0.07107133456172676,0.1767255751917305,0.21157479836470583,3570.55,3423.8,-0.011636862668216397,0.03072609381389091,-0.07107133456172676,0.31655542441717716,20278700.0,40724975.0,0.4979426015608358,140851725930.0,292,True,jpx_liquidity,JPX流動性
10,6920,レーザーテック,電気機器,プライム,6920.T,2026-08-25,34950.0,0.0040218328066647935,-0.05591572123176658,-0.19765840220385678,-0.12908048841265884,0.03832442067736186,38248.0,43419.367513020836,-0.08622673080945409,-0.19505967032985905,-0.38966344787898977,1.0870533563868892,2144100.0,3370160.0,0.6362012486054075,129531173150.0,292,False,jpx_liquidity,JPX流動性
