evaluation_version,factor_key,factor_label,group_name,group_value,horizon,horizon_label,ic_count,mean_ic,median_ic,positive_ic_rate,status
v4,score,総合スコア,業種,証券、商品先物取引業,3d,3営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,証券、商品先物取引業,5d,5営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,証券、商品先物取引業,10d,10営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,輸送用機器,1d,1営業日,1,-1.0,-1.0,0.0,サンプル不足
v4,score,総合スコア,業種,輸送用機器,3d,3営業日,1,0.5,0.5,1.0,サンプル不足
v4,score,総合スコア,業種,輸送用機器,5d,5営業日,1,0.5,0.5,1.0,サンプル不足
v4,score,総合スコア,業種,輸送用機器,10d,10営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,score,総合スコア,業種,金属製品,1d,1営業日,1,-1.0,-1.0,0.0,サンプル不足
v4,score,総合スコア,業種,金属製品,3d,3営業日,1,-1.0,-1.0,0.0,サンプル不足
v4,score,総合スコア,業種,金属製品,5d,5営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,score,総合スコア,業種,金属製品,10d,10営業日,1,-0.5,-0.5,0.0,サンプル不足
v4,score,総合スコア,業種,鉄鋼,1d,1営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,鉄鋼,3d,3営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,鉄鋼,5d,5営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,鉄鋼,10d,10営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,銀行業,1d,1営業日,1,-0.19999999999999998,-0.19999999999999998,0.0,サンプル不足
v4,score,総合スコア,業種,銀行業,3d,3営業日,1,0.7,0.7,1.0,サンプル不足
v4,score,総合スコア,業種,銀行業,5d,5営業日,1,0.39999999999999997,0.39999999999999997,1.0,サンプル不足
v4,score,総合スコア,業種,銀行業,10d,10営業日,1,0.09999999999999999,0.09999999999999999,1.0,サンプル不足
v4,score,総合スコア,業種,電気機器,1d,1営業日,1,0.0694522868435912,0.0694522868435912,1.0,サンプル不足
v4,score,総合スコア,業種,電気機器,3d,3営業日,1,0.08639186900056467,0.08639186900056467,1.0,サンプル不足
v4,score,総合スコア,業種,電気機器,5d,5営業日,1,-0.09203839638622249,-0.09203839638622249,0.0,サンプル不足
v4,score,総合スコア,業種,電気機器,10d,10営業日,1,-0.3325804630152457,-0.3325804630152457,0.0,サンプル不足
v4,score,総合スコア,業種,食料品,1d,1営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,食料品,3d,3営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,食料品,5d,5営業日,0,,,,サンプル不足
v4,score,総合スコア,業種,食料品,10d,10営業日,0,,,,サンプル不足
