rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,9256,サクシード,サービス業,グロース,9256.T,(株)サクシード,2,1,値上がり率,249,2026-06-23,2026-06-18,4,4,34.0,32.0,2026-06-23,3740.0,0.23026315789473695,0.7476635514018692,0.5914893617021277,3.7045195392598638,3.8052459510050634,2860.9,1681.1506581624349,0.3072809255828586,1.224666767277104,0.0,2.1408429608839237,1006400.0,192145.0,5.23771110359364,678700465.0,247,19.833333333333336,17.85,9.916666666666668,9.916666666666668,9.916666666666668,4.966666666666666,7.413333333333332,6.778333333333333,0.08166666666666668,86.67,47.6,19.83,12.38,v7,True,True,True,True,True,True,True,True,True,False,False,False
2,285A,キオクシアホールディングス,電気機器,プライム,285A.T,キオクシアホールディングス(株),13,1,出来高,238,2026-06-23,2026-06-15,6,5,18.0,5.0,2026-06-23,92290.0,-0.1509659613615455,-0.025654560810810856,0.4775856548190842,3.111828915125863,8.115061728395062,81722.5,51743.333333333336,0.1293095536724893,0.7836114153192038,-0.1509659613615455,1.0847917065957402,43844900.0,37545740.0,1.1677729617261505,3059335673700.0,249,19.833333333333336,17.85,9.916666666666668,9.233333333333333,9.916666666666668,9.916666666666668,4.293333333333333,3.476666666666666,0.6533333333333334,85.09,47.6,19.15,14.21,v7,True,True,True,True,True,True,True,False,False,True,False,False
3,8035,東京エレクトロン,電気機器,プライム,8035.T,東京エレクトロン(株),121,1,出来高,130,2026-06-23,2026-06-15,6,5,103.0,-18.0,2026-06-23,72960.0,-0.062210796915167066,0.029635901778154006,0.41890315052508753,0.8246347020320937,1.2201462976106434,63732.5,51456.6751953125,0.1447848428980505,0.4178918424687954,-0.062210796915167066,0.8080094679090093,4737500.0,4654555.0,1.0178201782984624,308398851650.0,249,19.533333333333335,17.160000000000004,9.3,9.333333333333332,9.633333333333335,9.916666666666668,3.4133333333333336,5.366666666666667,1.26,84.92,45.99,18.97,13.33,v7,True,True,True,True,True,True,True,False,False,True,False,False
4,7875,竹田ｉＰホールディングス,その他製品,スタンダード,7875.T,竹田ｉＰホールディングス(株),15,1,値上がり率,236,2026-06-23,2026-06-18,3,2,85.0,70.0,2026-06-23,1107.0,0.13190184049079745,0.510231923601637,0.4283870967741936,0.7267537957314534,1.0927937258724683,775.65,708.7683308919271,0.4271900986269581,0.561864366325356,0.0,0.9730880488034956,411700.0,81250.0,5.0670769230769235,89483095.0,247,19.6,16.980000000000004,9.166666666666664,9.916666666666668,9.916666666666668,3.733333333333334,7.36,6.778333333333333,0.8866666666666667,84.34,45.75,19.83,11.09,v7,True,True,True,True,True,True,True,True,True,False,False,False
5,4062,イビデン,電気機器,プライム,4062.T,イビデン(株),52,1,出来高,199,2026-06-23,2026-06-15,6,5,55.0,3.0,2026-06-23,24385.0,-0.07719962157048255,0.08643350412118522,0.16312902456475076,1.8814949564514172,2.9884596140399777,21380.0,15403.977555338543,0.1405519176800749,0.5830326883038668,-0.07719962157048255,1.27271434732287,10093200.0,8933110.0,1.1298640674972098,195567908725.0,249,17.93333333333333,17.85,9.766666666666667,9.266666666666666,9.916666666666668,9.733333333333334,4.08,5.0633333333333335,0.44333333333333336,84.05,45.55,19.18,13.81,v7,True,True,True,True,True,True,True,False,False,True,False,False
6,2962,テクニスコ,金属製品,スタンダード,2962.T,(株)テクニスコ,9,2,値上がり率・出来高増加率,342,2026-06-23,2026-06-15,5,4,2.0,-7.0,2026-06-23,1462.0,0.1649402390438246,0.4576271186440677,0.3574744661095637,0.5586353944562901,2.8986666666666667,1127.3,1004.6666666666666,0.29690410715869775,0.45520902455209034,0.0,1.170715808800633,1233100.0,212270.0,5.8091110378291795,332052070.0,249,19.26666666666667,16.319999999999997,9.733333333333334,9.733333333333334,9.666666666666668,4.466666666666666,7.52,6.778333333333333,0.5133333333333333,84.0,45.32,19.4,11.99,v7,True,True,True,True,True,True,True,True,True,False,False,False
7,5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,5,3,値上がり率・出来高・出来高増加率,446,2026-06-23,2026-06-15,6,5,5.0,0.0,2026-06-23,6487.0,0.05291348807011853,0.3691430983537358,0.2173015575154813,0.4233301039242623,1.1988189109956204,4815.35,5286.918668619792,0.3471502590673574,0.226990692802449,-0.17415658816040736,1.1257614038546266,154230200.0,51535590.0,2.9926930107911835,268580132295.0,249,18.466666666666665,15.78,9.266666666666666,9.916666666666668,9.066666666666665,9.916666666666668,6.8533333333333335,3.1033333333333335,0.56,82.93,43.51,18.98,16.77,v7,True,True,True,True,True,True,True,True,False,False,False,False
8,6857,アドバンテスト,電気機器,プライム,6857.T,(株)アドバンテスト,51,1,出来高,200,2026-06-23,2026-06-15,6,5,44.0,-7.0,2026-06-23,31430.0,-0.02300279763755053,0.03592617007251153,0.2053691275167786,0.3435552278615117,0.5697147560499065,27949.5,26786.64638671875,0.12452816687239476,0.17334583606492449,-0.02300279763755053,0.6252850366095186,10134300.0,8613050.0,1.17662152199279,242542322000.0,249,18.33333333333333,15.42,8.366666666666667,9.2,8.7,9.8,4.373333333333333,6.323333333333332,1.866666666666667,82.38,42.12,17.9,14.17,v7,True,True,True,True,True,True,True,False,True,True,True,True
9,6479,ミネベアミツミ,電気機器,プライム,6479.T,ミネベアミツミ(株),105,1,出来高,146,2026-06-23,2026-06-18,3,2,74.0,-31.0,2026-06-23,4928.0,-0.024930747922437657,0.06712862711130363,0.1415334723187398,0.8205271956806117,0.557194818147285,4624.9,3669.546248372396,0.06553655214166798,0.3429453306892598,-0.024930747922437657,0.6544704515225005,5314900.0,3700115.0,1.4364148141341553,17846035465.0,249,17.533333333333335,17.1,8.333333333333336,8.4,9.533333333333335,8.0,5.253333333333333,6.276666666666666,1.7733333333333334,82.2,42.97,17.93,13.25,v7,True,True,True,True,True,True,True,True,True,True,True,True
10,6920,レーザーテック,電気機器,プライム,6920.T,レーザーテック(株),142,1,出来高,109,2026-06-23,2026-06-15,6,5,102.0,-40.0,2026-06-23,52000.0,-0.09549486867281265,0.11659866867081803,0.2476007677543186,0.556420233463035,0.7283194067211267,44957.0,41822.333333333336,0.15666080921769687,0.24335482636868644,-0.09549486867281265,0.9095275717350193,4136800.0,3599290.0,1.1493377860633625,171224390150.0,249,18.8,16.26,8.9,9.366666666666667,9.1,9.7,4.1866666666666665,4.573333333333333,1.0033333333333334,81.89,43.96,18.47,13.89,v7,True,True,True,True,True,True,True,False,False,True,False,False
