liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
1,285A,キオクシアホールディングス,電気機器,プライム,285A.T,2026-08-19,49950.0,-0.12598425196850394,0.001604170844194952,-0.18195217818539144,-0.2368220015278839,1.429474708171206,51501.0,70109.66666666667,-0.030115920079221814,-0.28754475131817303,-0.5404783808647654,1.4485054022680055,48076900.0,48866975.0,0.9838321279350727,2473125820000.0,288,True,jpx_liquidity,JPX流動性
2,6857,アドバンテスト,電気機器,プライム,6857.T,2026-08-19,35020.0,-0.02342442833240377,0.013603473227207008,0.18191022612217345,0.2617546388038192,0.3765521415693913,32020.25,30022.333333333332,0.09368290378744693,0.1664649649705221,-0.07305452620434094,0.957442692844532,10901100.0,9668835.0,1.1274471019517864,305771993900.0,288,True,jpx_liquidity,JPX流動性
3,5803,フジクラ,非鉄金属,プライム,5803.T,2026-08-19,5328.0,-0.09725516773974918,-0.0813793103448276,0.1404109589041096,-0.040000000000000036,0.40258168748597734,4900.3,5023.2,0.08728037058955573,0.060678451982799864,-0.32170591979630814,1.076280174705577,71416300.0,58461490.0,1.2215956179016307,305266446995.0,288,True,jpx_liquidity,JPX流動性
4,9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,2026-08-19,5227.0,-0.10343053173241856,-0.05307971014492752,-0.09111458876717093,-0.2606789250353607,0.20912346450840835,5462.85,6300.366666666667,-0.043173435111709124,-0.17036574590896825,-0.3944624652455978,0.9388841111380227,50018700.0,46006990.0,1.0871978366765571,248814277780.0,288,True,jpx_liquidity,JPX流動性
5,8035,東京エレクトロン,電気機器,プライム,8035.T,2026-08-19,54660.0,-0.030507272082298642,-0.06130860381246783,-0.17890941865705268,0.04752778842468386,0.2550302704157137,57790.5,64153.333333333336,-0.05416980299530194,-0.14797880078977454,-0.3063451776649746,0.7396753574258477,3588700.0,4315610.0,0.8315626296166706,245628722350.0,288,False,jpx_liquidity,JPX流動性
6,6976,太陽誘電,電気機器,プライム,6976.T,2026-08-19,9686.0,-0.030527474727254478,-0.05640526059425233,-0.1753086419753086,-0.08665723715228668,1.1132565596735877,10481.05,14360.1,-0.07585594954703956,-0.32549216231084743,-0.5724564113882145,1.1969055658393508,21699400.0,23037450.0,0.9419184849017578,239245700890.0,288,True,jpx_liquidity,JPX流動性
7,6981,村田製作所,電気機器,プライム,6981.T,2026-08-19,7331.0,-0.022011739594450352,-0.027460864950915376,-0.08373953255843014,-0.0753027245206862,1.0136490317942721,7589.5,9134.966666666667,-0.03406021477040644,-0.19747928290196282,-0.40155102040816326,1.09073463872532,27675300.0,30074715.0,0.920218196581414,223640435705.0,288,True,jpx_liquidity,JPX流動性
8,4062,イビデン,電気機器,プライム,4062.T,2026-08-19,19715.0,-0.055568862275449105,-0.037353515625,0.13207005455067478,-0.058050645007166723,1.1569104671295989,18210.5,20245.25,0.08261717141209735,-0.026191328830219462,-0.253926206244087,1.4038500296840573,8700500.0,8650225.0,1.0058119875494569,157591177575.0,288,True,jpx_liquidity,JPX流動性
9,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,2026-08-19,3495.0,-0.04351395730706076,-0.030782029950083167,-0.023743016759776525,0.13992172211350296,0.21071001778575393,3620.0,3391.983333333333,-0.03453038674033149,0.03037062878650154,-0.08002105817320349,0.33553873879657825,49773700.0,43364700.0,1.1477930205904803,157348722185.0,288,True,jpx_liquidity,JPX流動性
10,6920,レーザーテック,電気機器,プライム,6920.T,2026-08-19,35210.0,-0.048892490545651035,-0.09671626475115447,-0.17483009139910943,-0.18154346815434685,0.14915143603133152,40000.0,43813.367513020836,-0.11975000000000002,-0.1963639866409267,-0.38512303289897654,1.114449038165003,2475600.0,3551545.0,0.6970487492063313,139935298000.0,288,False,jpx_liquidity,JPX流動性
11,6146,ディスコ,機械,プライム,6146.T,2026-08-19,59760.0,-0.04153969526864476,-0.0508259212198221,-0.10592459605026927,-0.1435941530524506,-0.18850044636676544,61427.5,70170.0,-0.027145822310854273,-0.14835399743480115,-0.32459312839059673,0.9550440463817533,1468100.0,2056550.0,0.7138654542802266,124107090700.0,288,False,jpx_liquidity,JPX流動性
12,5801,古河電気工業,非鉄金属,プライム,5801.T,2026-08-19,3770.0,-0.13690476190476186,-0.10705826622453818,0.102661596958175,-0.9350895316804407,-0.8373342585306941,3631.7,15235.05,0.03808133931767488,-0.7525442975244584,-0.9373129364815431,1.0334953262677256,41166700.0,29512515.0,1.394889591754549,115955420137.5,288,True,jpx_liquidity,JPX流動性
13,7203,トヨタ自動車,輸送用機器,プライム,7203.T,2026-08-19,2941.0,-0.02680344142951685,-0.019503250541756945,-0.0011886568177958967,-0.028089887640449396,-0.17887452917477076,2994.9,2892.6916666666666,-0.01799726201208729,0.016700132229785947,-0.2432071316220592,0.36209884436601536,26717600.0,35171525.0,0.7596372349507166,105341103970.0,288,True,jpx_liquidity,JPX流動性
14,7974,任天堂,その他製品,プライム,7974.T,2026-08-19,8577.0,-0.020890410958904093,0.010485391140433453,0.22651222651222658,0.21315417256011315,0.018396621967599947,7910.4,7388.2,0.08426881067961167,0.16090522725427037,-0.14432762599172955,0.5006028380652469,9128500.0,11909715.0,0.7664751003697402,93583640930.0,288,True,jpx_liquidity,JPX流動性
15,9983,ファーストリテイリング,小売業,プライム,9983.T,2026-08-19,74940.0,-0.0009332089054793213,-0.039846252402306215,-0.07298367144977735,-0.0019976028765481546,0.12449155147225865,77884.0,80232.66666666667,-0.03779980483796419,-0.06596648081828682,-0.1474402730375427,0.2620195318075263,1010300.0,1147570.0,0.8803820246259487,88042437150.0,288,False,jpx_liquidity,JPX流動性
16,8316,三井住友フィナンシャルグループ,銀行業,プライム,8316.T,2026-08-19,6568.0,-0.0481159420289855,-0.042146711389820624,-0.05509998561358076,0.08454425363276097,0.11829957286633319,6853.6,6585.183333333333,-0.04167153029065018,-0.002609393309728203,-0.08954810091488774,0.34891214791870256,15473500.0,12627905.0,1.2253418124384052,86920944770.0,288,True,jpx_liquidity,JPX流動性
17,8411,みずほフィナンシャルグループ,銀行業,プライム,8411.T,2026-08-19,8108.0,-0.04958387058961433,-0.046342037167725225,-0.023367863165502323,0.11007667031763413,0.1430258094501753,8391.75,8024.3,-0.03381297107277981,0.010430816395199605,-0.07601139601139606,0.43272899866117776,11363900.0,10104825.0,1.1246013661790284,85335725855.0,288,True,jpx_liquidity,JPX流動性
18,5016,ＪＸ金属,非鉄金属,プライム,5016.T,2026-08-19,3561.0,-0.0663345568956476,-0.08692307692307688,-0.028376534788540297,-0.16428068528514428,0.05794546210463736,3806.6,3966.0833333333335,-0.06451951873062578,-0.10213686886727047,-0.37744755244755246,0.8734495942840341,21946000.0,21671635.0,1.0126600969423858,82850221270.0,288,True,jpx_liquidity,JPX流動性
19,7011,三菱重工業,機械,プライム,7011.T,2026-08-19,4097.0,-0.06247139588100692,0.0007327796775769002,0.0636033229491173,0.04836233367451381,-0.1724733488706821,4003.0,3839.0833333333335,0.023482388208843297,0.06718183594173954,-0.20911070934018128,0.4234332494604323,18835800.0,19776505.0,0.9524332029344922,78894291825.0,288,True,jpx_liquidity,JPX流動性
20,6758,ソニーグループ,電気機器,プライム,6758.T,2026-08-19,3689.0,-0.00779989241527701,-0.01940457203615098,0.0668016194331984,0.02529182879377423,0.1101396440974709,3665.2,3477.25,0.006493506493506551,0.060895822848515246,-0.05700408997955009,0.4136721199591079,15005800.0,19192795.0,0.7818454789935494,70724387085.0,288,True,jpx_liquidity,JPX流動性
21,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,2026-08-19,8105.0,-0.0640877598152425,-0.06376342843941318,-0.09944444444444445,0.059892768405910735,0.27668542220890435,8199.3,8995.4,-0.011500981791128462,-0.09898392511728216,-0.32458333333333333,1.1828201146431079,8043100.0,8633880.0,0.9315742169221717,70151476500.0,288,True,jpx_liquidity,JPX流動性
