group_name,group_value,metric_key,metric_label,sample_count,valid_count,avg_return,median_return,win_rate
全体,毎日厳選,next_open,翌日寄付ギャップ,20,15,0.01292468771767894,0.008809523809523823,0.8
全体,毎日厳選,1d,1日リターン,20,15,0.011458309862091235,0.003284072249589487,0.5333333333333333
全体,毎日厳選,3d,3日リターン,20,5,0.03153870727778692,0.03206013192207391,0.8
全体,毎日厳選,5d,5日リターン,20,0,,,
全体,毎日厳選,10d,10日リターン,20,0,,,
全体,毎日厳選,open_buy_1d,翌日寄付買い1日,20,15,-0.0012576785695001572,-0.007362494586401036,0.26666666666666666
全体,毎日厳選,open_buy_3d,翌日寄付買い3日,20,5,0.029909352371460862,0.04229279628195193,0.6
全体,毎日厳選,open_buy_5d,翌日寄付買い5日,20,0,,,
全体,毎日厳選,excess_5d,TOPIX超過5日,20,0,,,
全体,毎日厳選,net_5d_10bps,コスト後5日（片道10bp）,20,0,,,
市場,スタンダード,next_open,翌日寄付ギャップ,3,1,0.017051705170517018,0.017051705170517018,1.0
市場,スタンダード,1d,1日リターン,3,1,-0.011001100110010986,-0.011001100110010986,0.0
市場,スタンダード,3d,3日リターン,3,0,,,
市場,スタンダード,5d,5日リターン,3,0,,,
市場,スタンダード,10d,10日リターン,3,0,,,
市場,スタンダード,open_buy_1d,翌日寄付買い1日,3,1,-0.02758247701460248,-0.02758247701460248,0.0
市場,スタンダード,open_buy_3d,翌日寄付買い3日,3,0,,,
市場,スタンダード,open_buy_5d,翌日寄付買い5日,3,0,,,
市場,スタンダード,excess_5d,TOPIX超過5日,3,0,,,
市場,スタンダード,net_5d_10bps,コスト後5日（片道10bp）,3,0,,,
市場,プライム,next_open,翌日寄付ギャップ,17,14,0.012629900756761934,0.007258798327702931,0.7857142857142857
市場,プライム,1d,1日リターン,17,14,0.013062553431527109,0.005161704861854743,0.5714285714285714
市場,プライム,3d,3日リターン,17,5,0.03153870727778692,0.03206013192207391,0.8
市場,プライム,5d,5日リターン,17,0,,,
市場,プライム,10d,10日リターン,17,0,,,
市場,プライム,open_buy_1d,翌日寄付買い1日,17,14,0.0006226641765785801,-0.0072443766502880425,0.2857142857142857
市場,プライム,open_buy_3d,翌日寄付買い3日,17,5,0.029909352371460862,0.04229279628195193,0.6
市場,プライム,open_buy_5d,翌日寄付買い5日,17,0,,,
市場,プライム,excess_5d,TOPIX超過5日,17,0,,,
市場,プライム,net_5d_10bps,コスト後5日（片道10bp）,17,0,,,
業種,ガラス・土石製品,next_open,翌日寄付ギャップ,3,3,0.011598726423593794,0.005124340617935097,1.0
業種,ガラス・土石製品,1d,1日リターン,3,3,0.0016215913140011546,0.003284072249589487,0.6666666666666666
業種,ガラス・土石製品,3d,3日リターン,3,1,0.10143180105501126,0.10143180105501126,1.0
業種,ガラス・土石製品,5d,5日リターン,3,0,,,
業種,ガラス・土石製品,10d,10日リターン,3,0,,,
業種,ガラス・土石製品,open_buy_1d,翌日寄付買い1日,3,3,-0.009771115874763906,-0.017697678194512068,0.3333333333333333
業種,ガラス・土石製品,open_buy_3d,翌日寄付買い3日,3,1,0.09581646423751677,0.09581646423751677,1.0
業種,ガラス・土石製品,open_buy_5d,翌日寄付買い5日,3,0,,,
業種,ガラス・土石製品,excess_5d,TOPIX超過5日,3,0,,,
業種,ガラス・土石製品,net_5d_10bps,コスト後5日（片道10bp）,3,0,,,
業種,化学,next_open,翌日寄付ギャップ,2,1,0.0057080728458820396,0.0057080728458820396,1.0
業種,化学,1d,1日リターン,2,1,-0.0057080728458820396,-0.0057080728458820396,0.0
業種,化学,3d,3日リターン,2,1,0.0013590649633052898,0.0013590649633052898,1.0
業種,化学,5d,5日リターン,2,0,,,
業種,化学,10d,10日リターン,2,0,,,
業種,化学,open_buy_1d,翌日寄付買い1日,2,1,-0.011351351351351346,-0.011351351351351346,0.0
業種,化学,open_buy_3d,翌日寄付買い3日,2,1,-0.00432432432432428,-0.00432432432432428,0.0
業種,化学,open_buy_5d,翌日寄付買い5日,2,0,,,
業種,化学,excess_5d,TOPIX超過5日,2,0,,,
業種,化学,net_5d_10bps,コスト後5日（片道10bp）,2,0,,,
業種,卸売業,next_open,翌日寄付ギャップ,1,0,,,
業種,卸売業,1d,1日リターン,1,0,,,
業種,卸売業,3d,3日リターン,1,0,,,
業種,卸売業,5d,5日リターン,1,0,,,
業種,卸売業,10d,10日リターン,1,0,,,
業種,卸売業,open_buy_1d,翌日寄付買い1日,1,0,,,
業種,卸売業,open_buy_3d,翌日寄付買い3日,1,0,,,
業種,卸売業,open_buy_5d,翌日寄付買い5日,1,0,,,
業種,卸売業,excess_5d,TOPIX超過5日,1,0,,,
業種,卸売業,net_5d_10bps,コスト後5日（片道10bp）,1,0,,,
業種,情報・通信業,next_open,翌日寄付ギャップ,1,1,0.017051705170517018,0.017051705170517018,1.0
業種,情報・通信業,1d,1日リターン,1,1,-0.011001100110010986,-0.011001100110010986,0.0
業種,情報・通信業,3d,3日リターン,1,0,,,
業種,情報・通信業,5d,5日リターン,1,0,,,
業種,情報・通信業,10d,10日リターン,1,0,,,
業種,情報・通信業,open_buy_1d,翌日寄付買い1日,1,1,-0.02758247701460248,-0.02758247701460248,0.0
業種,情報・通信業,open_buy_3d,翌日寄付買い3日,1,0,,,
業種,情報・通信業,open_buy_5d,翌日寄付買い5日,1,0,,,
業種,情報・通信業,excess_5d,TOPIX超過5日,1,0,,,
業種,情報・通信業,net_5d_10bps,コスト後5日（片道10bp）,1,0,,,
業種,機械,next_open,翌日寄付ギャップ,4,3,0.016403618257999148,0.010825439783491264,0.6666666666666666
業種,機械,1d,1日リターン,4,3,0.0025006943190310307,0.00703933747412,0.6666666666666666
業種,機械,3d,3日リターン,4,1,0.06089309878213811,0.06089309878213811,1.0
業種,機械,5d,5日リターン,4,0,,,
業種,機械,10d,10日リターン,4,0,,,
業種,機械,open_buy_1d,翌日寄付買い1日,4,3,-0.01345482755265722,-0.007362494586401036,0.0
業種,機械,open_buy_3d,翌日寄付買い3日,4,1,0.04953145917001334,0.04953145917001334,1.0
業種,機械,open_buy_5d,翌日寄付買い5日,4,0,,,
業種,機械,excess_5d,TOPIX超過5日,4,0,,,
業種,機械,net_5d_10bps,コスト後5日（片道10bp）,4,0,,,
業種,精密機器,next_open,翌日寄付ギャップ,1,1,0.004424778761061843,0.004424778761061843,1.0
業種,精密機器,1d,1日リターン,1,1,0.14749262536873164,0.14749262536873164,1.0
業種,精密機器,3d,3日リターン,1,0,,,
業種,精密機器,5d,5日リターン,1,0,,,
業種,精密機器,10d,10日リターン,1,0,,,
業種,精密機器,open_buy_1d,翌日寄付買い1日,1,1,0.14243759177679882,0.14243759177679882,1.0
業種,精密機器,open_buy_3d,翌日寄付買い3日,1,0,,,
業種,精密機器,open_buy_5d,翌日寄付買い5日,1,0,,,
業種,精密機器,excess_5d,TOPIX超過5日,1,0,,,
業種,精密機器,net_5d_10bps,コスト後5日（片道10bp）,1,0,,,
業種,金属製品,next_open,翌日寄付ギャップ,2,1,0.029348604151753666,0.029348604151753666,1.0
業種,金属製品,1d,1日リターン,2,1,-0.02576950608446671,-0.02576950608446671,0.0
業種,金属製品,3d,3日リターン,2,0,,,
業種,金属製品,5d,5日リターン,2,0,,,
業種,金属製品,10d,10日リターン,2,0,,,
業種,金属製品,open_buy_1d,翌日寄付買い1日,2,1,-0.053546592489568834,-0.053546592489568834,0.0
業種,金属製品,open_buy_3d,翌日寄付買い3日,2,0,,,
業種,金属製品,open_buy_5d,翌日寄付買い5日,2,0,,,
業種,金属製品,excess_5d,TOPIX超過5日,2,0,,,
業種,金属製品,net_5d_10bps,コスト後5日（片道10bp）,2,0,,,
業種,鉄鋼,next_open,翌日寄付ギャップ,1,1,0.02624827313992495,0.02624827313992495,1.0
業種,鉄鋼,1d,1日リターン,1,1,0.035523978685612745,0.035523978685612745,1.0
業種,鉄鋼,3d,3日リターン,1,0,,,
業種,鉄鋼,5d,5日リターン,1,0,,,
業種,鉄鋼,10d,10日リターン,1,0,,,
業種,鉄鋼,open_buy_1d,翌日寄付買い1日,1,1,0.00903846153846155,0.00903846153846155,1.0
業種,鉄鋼,open_buy_3d,翌日寄付買い3日,1,0,,,
業種,鉄鋼,open_buy_5d,翌日寄付買い5日,1,0,,,
業種,鉄鋼,excess_5d,TOPIX超過5日,1,0,,,
業種,鉄鋼,net_5d_10bps,コスト後5日（片道10bp）,1,0,,,
業種,銀行業,next_open,翌日寄付ギャップ,1,1,-0.009817456665132673,-0.009817456665132673,0.0
業種,銀行業,1d,1日リターン,1,1,-0.016873753643196765,-0.016873753643196765,0.0
業種,銀行業,3d,3日リターン,1,1,0.03206013192207391,0.03206013192207391,1.0
業種,銀行業,5d,5日リターン,1,0,,,
業種,銀行業,10d,10日リターン,1,0,,,
業種,銀行業,open_buy_1d,翌日寄付買い1日,1,1,-0.007126258714175049,-0.007126258714175049,0.0
業種,銀行業,open_buy_3d,翌日寄付買い3日,1,1,0.04229279628195193,0.04229279628195193,1.0
業種,銀行業,open_buy_5d,翌日寄付買い5日,1,0,,,
業種,銀行業,excess_5d,TOPIX超過5日,1,0,,,
業種,銀行業,net_5d_10bps,コスト後5日（片道10bp）,1,0,,,
業種,電気機器,next_open,翌日寄付ギャップ,4,3,0.012299768105466144,0.008809523809523823,0.6666666666666666
業種,電気機器,1d,1日リターン,4,3,0.011947873220494695,0.02499999999999991,0.6666666666666666
業種,電気機器,3d,3日リターン,4,1,-0.038050560333594,-0.038050560333594,0.0
業種,電気機器,5d,5日リターン,4,0,,,
業種,電気機器,10d,10日リターン,4,0,,,
業種,電気機器,open_buy_1d,翌日寄付買い1日,4,3,-0.000352240668600549,-0.005849268841394806,0.3333333333333333
業種,電気機器,open_buy_3d,翌日寄付買い3日,4,1,-0.03376963350785345,-0.03376963350785345,0.0
業種,電気機器,open_buy_5d,翌日寄付買い5日,4,0,,,
業種,電気機器,excess_5d,TOPIX超過5日,4,0,,,
業種,電気機器,net_5d_10bps,コスト後5日（片道10bp）,4,0,,,
Yahoo順位帯,Yahoo 51位以下,next_open,翌日寄付ギャップ,15,11,0.013775680330368155,0.0057080728458820396,0.8181818181818182
Yahoo順位帯,Yahoo 51位以下,1d,1日リターン,15,11,0.011494738686740032,-0.0057080728458820396,0.45454545454545453
Yahoo順位帯,Yahoo 51位以下,3d,3日リターン,15,3,0.021580101894907517,0.0013590649633052898,0.6666666666666666
Yahoo順位帯,Yahoo 51位以下,5d,5日リターン,15,0,,,
Yahoo順位帯,Yahoo 51位以下,10d,10日リターン,15,0,,,
Yahoo順位帯,Yahoo 51位以下,open_buy_1d,翌日寄付買い1日,15,11,-0.001994431120467589,-0.011351351351351346,0.2727272727272727
