code,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources
2134,北浜キャピタルパートナーズ(株),9,3,値上がり率・出来高・出来高増加率
6343,フリージア・マクロス(株),12,3,値上がり率・出来高・出来高増加率
4531,有機合成薬品工業(株),2,2,値上がり率・出来高増加率
5985,サンコール(株),3,2,値上がり率・出来高増加率
6561,(株)ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,4,2,値上がり率・出来高増加率
6740,(株)ジャパンディスプレイ,6,2,値上がり率・出来高
6620,宮越ホールディングス(株),7,2,値上がり率・出来高増加率
5016,ＪＸ金属(株),10,2,値上がり率・出来高
6844,新電元工業(株),11,2,値上がり率・出来高増加率
6522,(株)アスタリスク,13,2,値上がり率・出来高増加率
2673,夢みつけ隊(株),14,2,値上がり率・出来高増加率
285A,キオクシアホールディングス(株),16,2,値上がり率・出来高
9704,(株)アゴーラホスピタリティーグループ,17,2,値上がり率・出来高増加率
8254,(株)さいか屋,18,2,値上がり率・出来高増加率
8202,ラオックスホールディングス(株),19,2,値上がり率・出来高増加率
6046,(株)リンクバル,21,2,値上がり率・出来高増加率
5802,住友電気工業(株),24,2,値上がり率・出来高
6723,ルネサスエレクトロニクス(株),26,2,値上がり率・出来高
4625,アトミクス(株),29,2,値上がり率・出来高増加率
5816,オーナンバ(株),41,2,値上がり率・出来高増加率
5820,(株)三ッ星,42,2,値上がり率・出来高増加率
2666,(株)オートウェーブ,47,2,値上がり率・出来高増加率
4707,(株)キタック,52,2,値上がり率・出来高増加率
6963,ローム(株),57,2,値上がり率・出来高
6634,(株)ＪＮグループ,58,2,値上がり率・出来高
7292,(株)村上開明堂,68,2,値上がり率・出来高増加率
6857,(株)アドバンテスト,71,2,値上がり率・出来高
9274,ＫＰＰグループホールディングス(株),74,2,値上がり率・出来高増加率
9008,京王電鉄(株),77,2,出来高・出来高増加率
6525,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,78,2,値上がり率・出来高
6570,(株)共和コーポレーション,86,2,値上がり率・出来高増加率
343A,(株)ＩＡＣＥトラベル,91,2,値上がり率・出来高増加率
9831,(株)ヤマダホールディングス,121,2,値上がり率・出来高
200A,(NEXT FUNDS) 日経半導体株指数連動型上場投信,144,2,値上がり率・出来高
2090,NZAM 上場投信 米国国債7-10年(H有),1,1,出来高増加率
9256,(株)サクシード,1,1,値上がり率
9432,ＮＴＴ(株),1,1,出来高
497A,インバウンド消費関連 日本株(ネットリターン)ETN,2,1,出来高増加率
8918,(株)ランド,2,1,出来高
182A,MAXIS 米国国債20年超上場投信(H無),3,1,出来高増加率
4564,オンコセラピー・サイエンス(株),3,1,出来高
1360,日経平均ベア2倍上場投信,4,1,出来高
2259,iシェアーズ フランス国債7-10年(H有),4,1,出来高増加率
2643,(NEXTFUNDS) MSCIジャパンカントリー指数(セレクト),5,1,出来高増加率
6834,(株)精工技研,5,1,値上がり率
9434,ソフトバンク(株),5,1,出来高
5817,ＪＭＡＣＳ(株),6,1,値上がり率
7444,ハリマ共和物産(株),6,1,出来高増加率
379A,GX S&P500 (ダイナミック・プロテクション),7,1,出来高増加率
9984,ソフトバンクグループ(株),7,1,出来高
183A,MAXIS 米国国債20年超上場投信(H有),8,1,出来高増加率
5803,(株)フジクラ,8,1,値上がり率
