evaluation_version,horizon,sample_count,valid_count,avg_open_buy_return,avg_excess_return,avg_net_return,win_rate,top20_avg_return,cost_bps_one_way
v4,1d,100,100,-0.006279601058521652,,-0.008266048136005663,0.37,-0.016910645449864252,10
v4,3d,100,100,0.03269664261866206,,0.03063228203006734,0.67,0.04015188884221897,10
v4,5d,100,0,,,,,,10
v4,10d,100,0,,,,,,10
v5,1d,100,100,0.007677485641730713,,0.00566313834793289,0.53,0.03145401338201164,10
v5,3d,100,0,,,,,,10
v5,5d,100,0,,,,,,10
v5,10d,100,0,,,,,,10
v7,1d,100,0,,,,,,10
v7,3d,100,0,,,,,,10
v7,5d,100,0,,,,,,10
v7,10d,100,0,,,,,,10
