trade_date,benchmark_ticker,market_regime,risk_points,recommended_action,benchmark_return_20d,benchmark_above_ma20,benchmark_above_ma60,benchmark_volatility_20d,breadth_positive_20d,breadth_above_ma60,average_pick_volatility,average_pick_correlation,industry_concentration,liquidity_universe_count,daily_pick_count
2026-06-15,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5916666666666667,0.615,0.5734190605508173,0.5690985785225716,0.2,600,5
2026-06-17,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6233333333333333,0.625,0.6100103572097506,0.1799352662639042,0.2,600,5
2026-06-18,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.62,0.62,0.5943625693447767,0.4924211924896149,0.2,600,5
2026-06-19,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5716666666666667,0.5866666666666667,0.5969568703379973,0.4028572258148823,0.2,600,5
2026-06-22,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5816666666666667,0.5983333333333334,0.4796369557832588,0.2988500264310255,0.2,600,5
2026-06-23,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5116666666666667,0.5633333333333334,0.3343473400889873,0.133006837272381,0.2,600,5
2026-06-24,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5183333333333333,0.5433333333333333,0.4466052239473893,0.1947457983016582,0.2,600,5
2026-06-25,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5666666666666667,0.5833333333333334,0.5573823590124016,0.3346899901577548,0.2,600,5
2026-06-26,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5116666666666667,0.58,0.6021648868035481,0.1866739636156524,0.2,600,5
2026-06-29,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.595,0.6133333333333333,0.4199183319469978,0.1794935752413669,0.2,600,5
2026-06-30,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6316666666666667,0.5883333333333334,0.4654156326604743,0.2124296515298321,0.2,600,5
2026-07-01,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5483333333333333,0.5583333333333333,0.6011155615780166,0.3454759056837018,0.2,600,5
2026-07-02,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6633333333333333,0.65,0.4910478586613849,0.1139859388196919,0.2,600,5
2026-07-03,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.7066666666666667,0.71,0.5752987941482537,0.1535678561324824,0.2,600,5
2026-07-06,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.8166666666666667,0.77,0.5067713058175576,0.1973583798679719,0.2,600,5
2026-07-07,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.7666666666666667,0.7316666666666667,0.4438810854231647,0.1353184015645389,0.2,600,5
2026-07-08,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.7533333333333333,0.675,0.3460487028340435,0.1462791975989242,0.2,600,5
2026-07-09,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.7733333333333333,0.6633333333333333,0.4360235374683437,0.1311372116609085,0.2,600,5
2026-07-10,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.7266666666666667,0.6666666666666666,0.4316000291473748,0.0895734291846496,0.2,600,5
2026-07-13,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5933333333333334,0.6283333333333333,0.5144975642271907,0.2010335329338279,0.2,600,5
2026-07-14,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6483333333333333,0.6766666666666666,0.4998144002005416,0.195299824589299,0.2,600,5
2026-07-15,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6583333333333333,0.7116666666666667,0.4690252469913319,0.1862144861017106,0.2,600,5
2026-07-16,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.595,0.6683333333333333,0.494859654342455,0.1121537045715256,0.2,600,5
2026-07-17,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5666666666666667,0.5833333333333334,0.3083383539102405,0.1864537776297565,0.2,600,5
2026-07-21,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6083333333333333,0.6466666666666666,0.3818726363735352,0.1470586430342644,0.2,600,5
2026-07-22,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6533333333333333,0.655,0.350270425840309,0.211504930558409,0.2,600,5
2026-07-23,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6666666666666666,0.6666666666666666,0.2710729588634409,0.1991767530469094,0.2,600,5
2026-07-24,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.5966666666666667,0.63,0.3480310546833046,0.2312081647261098,0.2,600,5
2026-07-27,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.665,0.695,0.3523570824455931,0.2294820398505605,0.2,600,5
2026-07-28,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.6233333333333333,0.6266666666666667,0.3555389109414364,0.2082144995827755,0.2,600,5
2026-07-29,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.64,0.6316666666666667,0.3654569705836524,0.4706209330505649,0.2,600,5
2026-07-30,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.61,0.6116666666666667,0.354876699144589,0.3134567056533193,0.2,600,5
2026-07-31,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.56,0.5966666666666667,0.3736405406643664,0.2531965377236626,0.2,600,5
2026-08-03,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.4383333333333333,0.555,0.3993499488595055,0.2495725671227107,0.2,600,5
2026-08-04,^TOPX,積極,1,通常の候補比較が可能です。個別銘柄の過熱度を確認してください。,,,,,0.3566666666666667,0.5316666666666666,0.4464951353914975,0.1847729581896197,0.2,600,5
