rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base,universe_source,universe_label,liquidity_rank,in_yahoo_pool
11,6407,ＣＫＤ,機械,プライム,6407.T,,46.0,1.0,値上がり率,,,,,,,,2026-06-15,7390.0,0.1129518072289157,0.2675814751286449,0.1861958266452648,0.6815714689984593,1.6819466916242063,6462.5,5774.515791829427,0.1435203094777561,0.2797609819435216,0.0,0.7361163216209049,1322600.0,876640.0,1.5087150939952547,5588580950.0,243,18.23333333333333,17.28,9.716666666666669,9.7,9.35,6.05,7.573333333333334,6.661666666666667,0.8516666666666667,85.42,45.23,19.05,13.62,v4,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,238.0,True
12,6752,パナソニック　ホールディングス,電気機器,プライム,6752.T,,43.0,1.0,出来高,,,,,,,,2026-06-15,4010.0,0.0552631578947369,0.1219921656407385,0.1977299880525687,0.5717925282399412,0.8576058258279655,3648.25,3171.09570719401,0.0991571301308846,0.2645471377299759,0.0,0.6564540081826693,11714100.0,12114455.0,0.966952289640764,45389282900.0,243,18.466666666666665,16.71,9.133333333333333,9.3,9.25,9.383333333333333,5.1066666666666665,6.661666666666667,1.143333333333333,85.16,44.31,18.55,14.49,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,38.0,True
13,6981,村田製作所,電気機器,プライム,6981.T,,17.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,10060.0,0.1757830762038335,0.1548616691539432,0.6302058013287959,1.815332810201012,1.986736900259904,8678.2,5923.7602945963545,0.1592265677214168,0.6982456243505866,-0.0409914204003812,1.209433120970407,28135700.0,37894535.0,0.742473815815394,352479904945.0,243,19.816666666666663,17.835,9.908333333333331,9.75,9.908333333333331,9.908333333333331,2.333333333333333,5.471666666666667,0.1983333333333333,85.13,47.56,19.66,12.24,v4,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,3.0,True
14,6146,ディスコ,機械,プライム,6146.T,,140.0,1.0,出来高,,,,,,,,2026-06-15,85250.0,0.0669586983729662,0.2633372851215174,0.3425196850393701,0.2261803896538783,0.7564953667847081,68795.5,69154.94075520833,0.2391798882194329,0.232739108283879,0.0,0.7786343568239608,4361400.0,1807365.0,2.413126291590243,135611622900.0,243,19.433333333333334,12.45,8.95,9.908333333333331,9.05,9.908333333333331,7.926666666666666,6.661666666666667,0.7116666666666666,85.0,40.83,18.96,17.84,v4,True,True,True,True,True,True,True,True,True,False,True,False,jpx_liquidity,JPX流動性,11.0,True
15,6762,ＴＤＫ,電気機器,プライム,6762.T,,27.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,3906.0,0.1147260273972603,0.0514131897711978,0.3118387909319899,0.9045490804546116,0.6855606580976408,3670.925,2845.5874755859377,0.0640369934008457,0.3726515292578423,-0.0498662126003405,0.8624032741722794,18771500.0,17584535.0,1.0675005054156963,67780482745.0,243,19.26666666666667,17.55,8.716666666666667,8.3,9.7,9.566666666666668,5.826666666666667,5.308333333333333,0.5016666666666667,84.74,45.53,18.0,15.39,v4,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,27.0,True
16,6920,レーザーテック,電気機器,プライム,6920.T,,64.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,48300.0,0.0977272727272726,0.2352941176470588,0.2647289866457187,0.2777777777777777,0.5609221089793734,40571.5,39888.333333333336,0.190490861811863,0.210880374378473,0.0,0.8356394278088635,4483200.0,2956445.0,1.5164158304991298,123724643600.0,243,19.03333333333333,13.5,8.266666666666667,9.908333333333331,8.816666666666668,9.908333333333331,7.586666666666668,6.661666666666667,0.56,84.24,40.8,18.73,17.5,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,12.0,True
17,5333,ＮＧＫ,ガラス・土石製品,プライム,5333.T,,87.0,1.0,値上がり率,,,,,,,,2026-06-15,6635.0,0.0846820336766389,0.0891332895600787,0.1829203066500266,0.6599640716229405,0.9525007881283868,6118.1,5084.311730957032,0.0844870139422369,0.3049947271331215,0.0,0.5920243656211659,1780700.0,1840550.0,0.9674825459781043,11457171515.0,243,18.166666666666664,17.13,9.216666666666663,9.033333333333331,9.516666666666667,7.833333333333332,5.12,6.661666666666667,1.5633333333333332,84.24,44.51,18.55,12.95,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,131.0,True
18,6323,ローツェ,機械,プライム,6323.T,,100.0,1.0,値上がり率,,,,,,,,2026-06-15,4505.0,0.0808541266794626,0.1428209030948757,0.2268518518518518,0.5721514569883093,1.1081973405094572,3954.85,3574.9333333333334,0.1391076779144595,0.260163359689691,0.0,0.7186234695259786,1768000.0,1671340.0,1.0578338339296611,6815084980.0,243,18.7,16.74,9.416666666666668,9.666666666666668,9.2,6.583333333333332,5.72,6.661666666666667,0.9333333333333336,83.62,44.86,18.87,12.3,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,206.0,True
19,6387,サムコ,機械,プライム,6387.T,,4.0,1.0,値上がり率,,,,,,,,2026-06-15,15200.0,0.2357723577235773,0.2925170068027212,0.2541254125412542,0.9289340101522844,2.6982968369829683,11700.0,10554.0,0.2991452991452992,0.4402122418040552,0.0,1.2444635463757472,480600.0,132905.0,3.6161167751401377,1858166750.0,243,18.933333333333334,17.610000000000003,9.908333333333331,9.908333333333331,9.783333333333337,2.583333333333334,7.926666666666666,6.661666666666667,0.1516666666666666,83.47,46.45,19.69,10.51,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,446.0,True
20,8316,三井住友フィナンシャルグループ,銀行業,プライム,8316.T,,29.0,1.0,出来高,,,,,,,,2026-06-15,6519.0,0.0176397127692788,0.0678132678132679,0.1372993719469644,0.3028881055612737,0.3309212905047196,6078.05,5653.417944335937,0.0725479388948757,0.1531077419335811,0.0,0.2669442389280986,18028200.0,15719530.0,1.1468663503298129,96783665220.0,243,17.333333333333336,14.4,6.75,8.716666666666667,8.083333333333332,9.783333333333337,6.453333333333332,6.661666666666667,5.25,83.43,38.48,16.8,16.24,v4,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,14.0,True
21,6264,マルマエ,機械,プライム,6264.T,,20.0,1.0,値上がり率,,,,,,,,2026-06-15,2660.0,0.1490280777537798,0.350939563230066,0.2068965517241379,0.5578330893118595,1.7771262841474722,2195.55,1963.6416666666669,0.2115415271799776,0.3546259713033182,0.0,1.0934518869956928,3123100.0,983965.0,3.173995009985111,2456223645.0,243,18.566666666666663,16.679999999999996,9.783333333333337,9.908333333333331,9.666666666666668,3.75,7.926666666666666,6.661666666666667,0.245,83.19,45.03,19.58,11.68,v4,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,376.0,True
22,6779,日本電波工業,電気機器,プライム,6779.T,,,,,,,,,,,,2026-06-15,3820.0,0.001310615989515,-0.1218390804597701,0.6310845431255336,1.8821598810422344,3.169338056109604,3519.4,2277.8482564290366,0.0854122861851451,0.677021280596005,-0.2091097308488613,1.6774715626907446,3612100.0,2873150.0,1.2571915841498007,11500274910.0,243,19.816666666666663,17.835,9.908333333333331,9.066666666666665,9.908333333333331,7.866666666666665,7.04,1.47,0.0758333333333333,82.99,47.56,18.97,14.91,v4,True,True,True,True,True,True,True,True,False,True,False,False,jpx_liquidity,JPX流動性,129.0,False
23,7729,東京精密,精密機器,プライム,7729.T,,,,,,,,,,,,2026-06-15,19760.0,0.0592334494773518,0.1875,0.2052455016773406,0.3600635916625878,0.830663052430223,17398.5,16400.951741536457,0.1357300916745696,0.2048081301255548,0.0,0.6699729243197015,528600.0,425545.0,1.242171803217051,7556612525.0,243,18.53333333333333,15.18,9.083333333333332,9.65,8.766666666666667,6.85,6.946666666666666,6.661666666666667,1.05,82.72,42.8,18.42,13.8,v4,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,190.0,False
24,6361,荏原製作所,機械,プライム,6361.T,,29.0,2.0,値上がり率・出来高,,,,,,,,2026-06-15,6204.0,0.1267707954958228,0.2333996023856859,0.1598429613011778,0.3233788395904438,0.5888470266403214,5442.05,5186.766666666666,0.1400115765198775,0.1961208974120036,0.0,0.7969554389681835,4425200.0,3292430.0,1.3440528728021552,17946148465.0,243,17.733333333333334,14.64,8.45,9.683333333333335,8.666666666666668,8.666666666666668,7.28,6.661666666666667,0.6416666666666666,82.42,40.82,18.35,15.95,v4,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,81.0,True
25,4047,関東電化工業,化学,プライム,4047.T,,,,,,,,,,,,2026-06-15,3885.0,0.036,-0.0051216389244558,0.5235294117647058,1.5248937810073977,2.818132118188678,3570.8,2289.1353006998697,0.0879914865016242,0.6971473895895179,-0.1180476730987514,1.0511315226881248,1537800.0,1385235.0,1.1101365472284486,5197765970.0,243,19.816666666666663,17.835,9.908333333333331,9.133333333333333,9.908333333333331,5.833333333333334,6.08,3.5,0.2683333333333333,82.28,47.56,19.04,11.91,v4,True,True,True,True,True,True,True,False,False,True,False,False,jpx_liquidity,JPX流動性,251.0,False
