rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base,universe_source,universe_label,liquidity_rank,in_yahoo_pool
91,5962,浅香工業,その他製品,スタンダード,5962.T,浅香工業(株),107.0,1.0,出来高増加率,144.0,2026-06-30,2026-06-19,4.0,1.0,148.0,41.0,2026-06-30,1950.0,0.0388918486947256,0.1041902604756512,0.1641791044776119,-0.0146538655886812,0.1524902516224209,1777.7,1852.9,0.096922990380829,0.0524043391440445,-0.0570599613152804,0.4867878880970588,1600.0,1230.0,1.3008130081300813,2158570.0,251,17.10843373493976,8.566265060240964,6.716867469879519,8.403614457831326,6.927710843373494,0.8734939759036144,5.108433734939759,5.545180722891566,2.88855421686747,62.14,32.39,15.33,5.98,v7,True,False,True,False,True,True,True,True,False,True,True,False,yahoo,Yahooランキング,,
92,3926,オープンドア,情報・通信業,スタンダード,3926.T,(株)オープンドア,29.0,1.0,値上がり率,222.0,2026-06-30,2026-06-15,4.0,1.0,68.0,39.0,2026-06-30,327.0,0.0863787375415281,0.1393728222996515,0.3401639344262295,-0.009090909090909,0.025078369905956,272.45,287.18333333333334,0.2002202238942925,0.1386454645696708,-0.1804511278195488,0.7698215229296355,98400.0,100085.0,0.9831643103362142,27613990.0,254,18.795180722891565,8.891566265060241,5.150602409638553,9.518072289156626,8.403614457831326,3.3433734939759034,3.3493975903614457,3.1204819277108435,1.539156626506024,62.11,32.84,17.92,6.69,v7,True,False,True,False,True,True,True,False,False,False,True,False,yahoo,Yahooランキング,,
93,8308,りそなホールディングス,銀行業,プライム,8308.T,(株)りそなホールディングス,78.0,1.0,出来高,173.0,2026-06-30,2026-06-17,10.0,10.0,88.0,10.0,2026-06-30,2106.0,0.0007127583749109,-0.0259019426456984,0.0410281759762729,0.1265044129446375,0.4110300022597939,2140.125,2022.9583333333333,-0.0159453302961275,0.0410496179275401,-0.0664893617021277,0.317996110355256,6570900.0,9899260.0,0.6637768883734744,21054183262.5,254,12.650602409638555,13.337349397590362,8.192771084337348,2.2289156626506026,6.5361445783132535,8.493975903614457,0.8674698795180723,5.355421686746988,4.406626506024096,62.07,34.18,8.77,9.36,v7,True,True,True,True,False,True,False,False,False,True,True,False,yahoo,Yahooランキング,,
94,6971,京セラ,電気機器,プライム,6971.T,京セラ(株),83.0,1.0,出来高,168.0,2026-06-30,2026-06-15,11.0,10.0,43.0,-40.0,2026-06-30,3561.0,0.0148190367626104,-0.0089062065126634,0.0047968397291195,0.4315577889447235,0.6431416240744141,3651.05,3103.383333333333,-0.0246641377138083,0.1474573449407368,-0.0899565550728341,0.4767356460369608,5954900.0,8555760.0,0.6960106407846878,30824187300.0,254,9.21686746987952,16.102409638554217,8.734939759036145,1.8975903614457832,8.463855421686747,8.885542168674698,0.9879518072289156,4.765060240963855,2.9728915662650603,62.03,34.05,10.36,9.87,v7,True,True,True,True,False,True,False,False,False,True,True,False,yahoo,Yahooランキング,,
95,7794,イーディーピー,その他製品,グロース,7794.T,(株)イーディーピー,66.0,1.0,値上がり率,185.0,2026-06-30,2026-06-29,2.0,2.0,21.0,-45.0,2026-06-30,1231.0,0.058469475494411,0.1170598911070779,0.1377079482439926,-0.0420233463035019,2.1808785529715764,1094.9,1195.0666666666666,0.1243035893688919,0.03006805757001,-0.5394687616909839,0.8267697991104517,896600.0,406015.0,2.208292797064148,469015155.0,249,16.80722891566265,7.048192771084338,9.728915662650603,8.795180722891565,6.144578313253012,5.0,6.289156626506024,0.5692771084337349,1.3915662650602407,61.77,33.58,14.94,11.29,v7,True,True,True,False,True,True,True,True,False,True,False,False,yahoo,Yahooランキング,,
96,2934,ジェイフロンティア,食料品,グロース,2934.T,ジェイフロンティア(株),98.0,1.0,値上がり率,153.0,2026-06-30,2026-06-18,4.0,1.0,42.0,-56.0,2026-06-30,1620.0,0.049222797927461,0.0292249047013977,0.0438144329896907,0.2089552238805969,0.2134831460674158,1503.05,1585.4166666666667,0.0778084561391836,0.0218134034165571,-0.0737564322469982,0.4053860344384854,4300.0,4780.0,0.899581589958159,6450205.0,252,13.072289156626509,14.69277108433735,7.078313253012048,7.861445783132529,5.843373493975904,1.927710843373494,2.6506024096385543,5.039156626506024,3.542168674698795,61.71,34.84,13.7,4.58,v7,True,False,True,True,True,True,True,False,False,True,True,False,yahoo,Yahooランキング,,
97,2349,エヌアイデイ,情報・通信業,スタンダード,2349.T,(株)エヌアイデイ,48.0,1.0,値上がり率,203.0,2026-06-30,2026-06-15,3.0,1.0,83.0,35.0,2026-06-30,2455.0,0.067391304347826,0.0776997366110623,0.0259089009611366,0.0263377926421404,0.0878585133100846,2319.9,2347.8,0.0582352687615845,0.0456597665899991,-0.018,0.3078353514475471,9700.0,4515.0,2.148394241417497,11559250.0,254,11.265060240963855,10.518072289156628,6.234939759036145,7.259036144578313,6.746987951807228,2.5301204819277108,6.168674698795181,6.304216867469879,4.512048192771085,61.54,28.02,14.01,8.7,v7,True,False,True,True,True,True,True,True,True,True,True,False,yahoo,Yahooランキング,,
98,7815,東京ボード工業,その他製品,スタンダード,7815.T,東京ボード工業(株),4.0,1.0,値上がり率,247.0,2026-06-30,2026-06-17,3.0,2.0,1.0,-3.0,2026-06-30,386.0,0.261437908496732,0.628691983122363,0.4961240310077519,0.0348525469168901,0.0320855614973261,263.05,309.56666666666666,0.4674016346702148,0.246904274792721,-0.0469135802469136,1.5561281940176468,2100.0,5855.0,0.35866780529462,1178045.0,253,19.27710843373494,11.114457831325302,5.240963855421686,9.909638554216867,9.156626506024097,0.4518072289156627,0.2409638554216867,5.77710843373494,0.3373493975903614,61.51,35.63,19.07,0.69,v7,True,False,True,True,True,True,True,False,True,False,False,False,yahoo,Yahooランキング,,
99,4076,シイエヌエス,情報・通信業,グロース,4076.T,(株)シイエヌエス,31.0,1.0,出来高増加率,220.0,2026-06-30,2026-06-15,3.0,1.0,42.0,11.0,2026-06-30,1729.0,0.0255041518386713,0.0291666666666665,0.0303933253873658,0.0577896179850332,0.0497148258398811,1662.4,1667.7752970377603,0.0400625601539941,0.036710402816845,-0.0511335275329662,0.1749211380412749,3000.0,1480.0,2.027027027027027,2639145.0,254,11.506024096385543,11.710843373493976,5.421686746987952,6.626506024096386,6.355421686746988,1.0843373493975903,6.096385542168675,5.671686746987952,6.493975903614458,60.97,28.64,12.98,7.18,v7,True,False,True,True,True,True,True,True,False,True,True,False,yahoo,Yahooランキング,,
100,9322,川西倉庫,倉庫・運輸関連業,スタンダード,9322.T,川西倉庫(株),90.0,1.0,値上がり率,161.0,2026-06-30,2026-06-30,1.0,1.0,,,2026-06-30,2438.0,0.0517687661777395,0.0797165633303809,0.1188618632400184,-0.0412898151789224,-0.0161989463547272,2258.6,2314.616666666667,0.0794297352342159,0.0533061630075533,-0.1465146753301364,0.2158305492326018,6000.0,2700.0,2.2222222222222223,6391525.0,244,16.385542168674696,7.102409638554217,4.397590361445783,7.921686746987952,6.987951807228916,1.867469879518072,6.337349397590361,3.858433734939759,5.987951807228915,60.85,27.89,14.91,8.2,v7,True,False,True,False,True,True,True,True,False,True,True,False,yahoo,Yahooランキング,,
1,7735,ＳＣＲＥＥＮホールディングス,電気機器,プライム,7735.T,,28.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,19490.0,0.0946363381072732,0.2083075015499069,0.4604720869239416,1.1590783205937742,1.5807367627838231,15301.5,12298.85,0.2737313335293925,0.5847010086308881,0.0,0.7899981657660881,5837300.0,3238980.0,1.802203162724068,51227698800.0,255,19.816666666666663,17.49,9.666666666666668,9.908333333333331,9.908333333333331,9.516666666666667,7.926666666666666,6.8133333333333335,0.6766666666666665,91.72,46.97,19.82,17.44,v7,True,True,True,True,True,True,True,True,True,False,True,False,jpx_liquidity,JPX流動性,30.0,True
2,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,,55.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,11420.0,0.0520497466605252,0.2510955302366344,0.4298234631275823,1.1999614717780775,1.0856282399337114,9325.05,7649.033333333334,0.22465831282406,0.4929991153566244,0.0,0.9870389150949972,9514400.0,6847875.0,1.3893945201978717,66119047725.0,255,19.816666666666663,17.520000000000003,9.233333333333333,9.908333333333331,9.908333333333331,9.633333333333336,7.546666666666668,6.8133333333333335,0.3966666666666666,90.78,46.57,19.82,17.18,v7,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,23.0,True
3,6976,太陽誘電,電気機器,プライム,6976.T,,17.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,22655.0,0.124317617866005,0.3385524372230428,0.3525373134328358,4.867650867650868,5.470302600954144,18041.0,11193.15,0.255750789867524,1.0240057535188931,0.0,1.5320284700196063,27898900.0,25595265.0,1.0900023891137678,472570372050.0,255,19.816666666666663,17.835,9.908333333333331,9.908333333333331,9.908333333333331,9.908333333333331,6.506666666666666,6.8133333333333335,0.0758333333333333,90.68,47.56,19.82,16.42,v7,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,2.0,True
4,8035,東京エレクトロン,電気機器,プライム,8035.T,,89.0,1.0,出来高,,,,,,,,2026-07-01,78800.0,0.0213869086195721,0.1273247496423462,0.2939244663382594,1.0725933719095213,1.317507805999249,69927.5,55062.66666666666,0.1268814128919237,0.4310966898321913,0.0,0.7717771550516149,5596400.0,5158080.0,1.0849773559153797,360062592650.0,255,19.816666666666663,17.430000000000003,9.45,9.566666666666668,9.8,9.908333333333331,6.466666666666666,6.8133333333333335,0.7116666666666666,89.96,46.7,19.37,16.38,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,4.0,True
5,6752,パナソニック　ホールディングス,電気機器,プライム,6752.T,,32.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,4770.0,0.0595290981785872,0.0709474629546476,0.2180796731358529,0.7389719285453882,1.3751094608650858,4164.0,3528.458333333333,0.1455331412103746,0.3518651913607216,0.0,0.604591944340692,16448300.0,14594060.0,1.127054431734555,61279321200.0,255,19.3,16.95,9.466666666666669,9.766666666666667,9.733333333333334,9.583333333333336,6.72,6.8133333333333335,1.3416666666666668,89.68,45.72,19.5,16.3,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,26.0,True
6,4062,イビデン,電気機器,プライム,4062.T,,36.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,25785.0,0.0827209741759396,0.0403469840629413,0.1752506836827712,2.3163987138263664,2.837744571580315,22401.0,17083.366666666665,0.151064684612294,0.5093629085601785,-0.0242194891201513,1.1971724854731831,11603100.0,9192415.0,1.262247189666698,213906113500.0,255,18.4,17.835,9.908333333333331,9.783333333333337,9.908333333333331,9.908333333333331,7.28,5.973333333333334,0.175,89.17,46.14,19.69,17.19,v7,True,True,True,True,True,True,True,True,True,True,False,False,jpx_liquidity,JPX流動性,8.0,True
7,6996,ニチコン,電気機器,プライム,6996.T,,13.0,1.0,値上がり率,,,,,,,,2026-07-01,4770.0,0.1493975903614457,0.1263282172373081,0.2030264817150062,1.6782706344750142,1.9457225259138853,4317.0,3211.083333333333,0.104933981931897,0.4854799782005035,0.0,0.9732788632407036,1970200.0,1566410.0,1.2577805300017235,6860428325.0,255,19.0,17.835,9.908333333333331,9.35,9.908333333333331,6.9,7.266666666666667,6.8133333333333335,0.4083333333333332,87.39,46.74,19.26,14.17,v7,True,True,True,True,True,True,True,True,True,True,False,False,jpx_liquidity,JPX流動性,187.0,True
8,6323,ローツェ,機械,プライム,6323.T,,110.0,1.0,値上がり率,,,,,,,,2026-07-01,5080.0,0.0495867768595041,0.140803952391646,0.2049335863377608,0.9404125286478228,1.2709996481249777,4470.0,3972.358333333333,0.1364653243847875,0.2788372985820766,0.0,0.8284462245814288,2262800.0,1924215.0,1.1759600668324486,8460537885.0,255,19.06666666666667,17.250000000000004,9.416666666666668,9.7,9.483333333333334,7.533333333333332,6.92,6.8133333333333335,0.63,86.81,45.73,19.18,14.45,v7,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,149.0,True
9,3436,ＳＵＭＣＯ,金属製品,プライム,3436.T,,8.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,4729.0,0.1737403822288408,0.2776660103094606,0.0605516932047545,1.7598482637875694,2.295470383275261,3937.652124023437,3189.0257080078127,0.2009694739534213,0.4828980488069538,0.0,1.212078203805839,28967100.0,13167945.0,2.199819333996307,54615785135.0,255,14.433333333333335,17.835,9.908333333333331,9.908333333333331,9.908333333333331,9.55,7.926666666666666,6.8133333333333335,0.1633333333333333,86.45,42.18,19.82,17.48,v7,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,28.0,True
10,6101,ツガミ,機械,プライム,6101.T,,,,,,,,,,,,2026-07-01,8180.0,0.0186799501867995,0.096514745308311,0.2584615384615385,1.4023494860499266,1.888831236329252,7224.0,5818.166666666667,0.1323366555924696,0.4059411613051076,0.0,0.5934041561431361,513900.0,462845.0,1.1103069061996995,3374156950.0,255,19.5,17.835,9.8,9.65,9.783333333333337,4.916666666666666,6.613333333333333,6.8133333333333335,1.4233333333333331,86.34,47.14,19.43,11.53,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,306.0,False
11,6871,日本マイクロニクス,電気機器,プライム,6871.T,,132.0,1.0,値上がり率,,,,,,,,2026-07-01,17390.0,0.0450721153846154,0.0875547217010632,0.2076388888888889,0.7744897959183674,1.4666666666666668,15461.5,14188.166666666666,0.1247291659929501,0.2256692783892682,-0.0147308781869688,0.9871223198035176,1206800.0,1200470.0,1.0052729347672162,19014612650.0,255,19.133333333333336,17.070000000000004,9.566666666666668,9.516666666666667,9.25,8.866666666666667,6.053333333333334,6.241666666666667,0.385,86.08,45.77,18.77,14.92,v7,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,69.0,True
12,6134,ＦＵＪＩ,機械,プライム,6134.T,,67.0,1.0,値上がり率,,,,,,,,2026-07-01,8932.0,0.063586568230531,0.0959509202453987,0.1400127632418635,0.856964656964657,1.4779217883557667,8031.7,7071.75,0.1120933301791651,0.263053699579312,0.0,0.5798895937168511,1054000.0,739380.0,1.425518677811139,5963024720.0,255,17.833333333333336,17.1,9.6,9.416666666666668,9.416666666666668,6.5666666666666655,7.6,6.8133333333333335,1.481666666666667,85.83,44.53,18.83,14.17,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,207.0,True
13,7717,ブイ・テクノロジー,精密機器,プライム,7717.T,,,,,,,,,,,,2026-07-01,8880.0,-0.0241758241758242,0.1113892365456821,0.5205479452054795,1.0943396226415096,1.996357412645084,7350.5,5852.083333333333,0.2080810829195292,0.5174083303666785,-0.0533049040511727,0.8688061652674749,645000.0,599055.0,1.0766957958785086,4930116000.0,255,19.816666666666663,17.46,9.908333333333331,9.908333333333331,9.908333333333331,6.033333333333334,6.44,5.203333333333332,0.5366666666666666,85.21,47.18,19.82,12.47,v7,True,True,True,True,True,True,True,False,False,False,False,False,jpx_liquidity,JPX流動性,239.0,False
14,2802,味の素,食料品,プライム,2802.T,,76.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,6175.0,0.0514217605993529,0.1268248175182482,0.181365984312225,0.3253917149602918,0.8715373639669122,5416.8,5129.4,0.1399719391522669,0.2038445042305143,0.0,0.6436284073450155,6849800.0,5580840.0,1.2273779574400987,31478537510.0,255,18.63333333333333,14.19,8.95,9.733333333333334,9.083333333333332,9.283333333333331,7.16,6.8133333333333335,1.143333333333333,84.99,41.77,18.82,16.44,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,44.0,True
15,6315,ＴＯＷＡ,機械,プライム,6315.T,,74.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,3540.0,0.0598802395209581,0.1184834123222748,0.1799999999999999,0.5324675324675325,0.660371118796742,3131.55,2895.9333333333334,0.1304306174258753,0.2224038306590852,0.0,0.931749527507796,5294200.0,4595745.0,1.151978623705188,14490339115.0,255,18.566666666666663,15.99,8.433333333333335,9.6,9.216666666666663,8.466666666666667,6.8533333333333335,6.8133333333333335,0.4666666666666667,84.41,42.99,18.82,15.32,v7,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,93.0,True
16,6981,村田製作所,電気機器,プライム,6981.T,,18.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,11890.0,0.0434401053093462,0.0779691749773345,0.1410748560460653,2.418631397354801,2.6975261017125187,10501.5,7463.866666666667,0.1322192067799839,0.5930080923203345,-0.0293877551020408,1.1810252436135955,27495200.0,35610900.0,0.772100677039895,358215792805.0,255,17.866666666666664,17.835,9.908333333333331,9.616666666666667,9.908333333333331,9.908333333333331,3.0933333333333333,5.845,0.1866666666666666,84.17,45.61,19.52,13.0,v7,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,5.0,True
17,7729,東京精密,精密機器,プライム,7729.T,,,,,,,,,,,,2026-07-01,20920.0,0.0392449080973671,0.1169247197010143,0.1809201241885407,0.516491482421167,0.904098062017261,18968.75,17532.166666666668,0.1028665568369027,0.1932352913216657,0.0,0.6639973634226497,522000.0,408090.0,1.2791296037638755,7698933325.0,255,18.6,15.87,9.016666666666666,9.3,9.0,7.2,7.32,6.8133333333333335,1.038333333333333,84.16,43.49,18.3,14.52,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,169.0,False
18,7245,大同メタル工業,輸送用機器,プライム,7245.T,,86.0,1.0,値上がり率,,,,,,,,2026-07-01,1771.0,0.0566825775656325,0.0573134328358209,0.608537693006358,1.0356321839080458,0.8435827438087693,1427.6,1107.4333333333334,0.2405435696273465,0.5991933299220418,0.0,0.5968349146576257,1412200.0,1148430.0,1.2296787788546102,1771564260.0,255,19.816666666666663,17.4,8.933333333333332,9.908333333333331,9.908333333333331,2.6,7.1866666666666665,6.8133333333333335,1.3766666666666665,83.94,46.15,19.82,9.79,v7,True,True,True,True,True,True,True,True,True,False,True,False,jpx_liquidity,JPX流動性,445.0,True
19,7966,リンテック,その他製品,プライム,7966.T,,,,,,,,,,,,2026-07-01,7110.0,0.002820874471086,0.0989180834621328,0.2091836734693877,0.5660792951541851,0.6275625849547077,6237.0,5548.25,0.13997113997114,0.2814851529761637,0.0,0.3625507123199306,454100.0,322280.0,1.4090232096313764,2121213450.0,255,19.16666666666667,16.11,8.35,9.716666666666669,9.5,3.3666666666666663,7.586666666666668,6.8133333333333335,2.975,83.58,43.63,19.22,10.95,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,399.0,False
20,8366,滋賀銀行,銀行業,プライム,8366.T,,,,,,,,,,,,2026-07-01,2672.0,0.0257197696737043,0.1612342459800086,0.3549695740365111,0.3894955798231929,0.8753143904712304,2309.7,2103.8,0.1568601982941508,0.2700827074816996,0.0,0.3606651891617857,1177700.0,871410.0,1.3514878185928552,2100517120.0,255,19.816666666666663,14.79,8.983333333333333,9.8,9.466666666666669,3.3333333333333326,7.506666666666666,6.8133333333333335,3.01,83.52,43.59,19.27,10.84,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,401.0,False
21,6723,ルネサスエレクトロニクス,電気機器,プライム,6723.T,,36.0,2.0,値上がり率・出来高,,,,,,,,2026-07-01,5123.0,0.0657374661951319,0.089304699128216,0.0619817578772803,1.2405423135797071,1.3939252336448598,4624.0,3810.5,0.1079152249134947,0.3444429864847134,0.0,0.636609611584665,15321100.0,17566155.0,0.8721942849758527,79636531760.0,255,14.46666666666667,17.58,9.5,9.4,9.716666666666669,9.75,4.626666666666667,6.8133333333333335,1.19,83.04,41.55,19.12,14.38,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,16.0,True
22,3086,Ｊ．フロント　リテイリング,小売業,プライム,3086.T,,74.0,1.0,出来高,,,,,,,,2026-07-01,3342.0,-0.0760298589991705,0.1140000000000001,0.4983187626092804,0.3421686746987951,0.5380464716180933,2690.75,2465.616666666667,0.2420328904580506,0.3554418434874304,-0.0760298589991705,0.7107587365223353,6937900.0,3094720.0,2.241850635921828,9654920617.5,255,19.816666666666663,14.4,8.0,9.908333333333331,9.75,7.75,7.926666666666666,4.538333333333333,0.875,82.96,42.22,19.66,15.68,v7,True,True,True,True,True,True,True,True,False,False,True,False,jpx_liquidity,JPX流動性,136.0,True
23,5333,ＮＧＫ,ガラス・土石製品,プライム,5333.T,,,,,,,,,,,,2026-07-01,7660.0,0.0169941582580988,0.0243380583043595,0.1815517507326856,0.8871643261887163,1.3092896412159494,6937.2,5761.5,0.1041918929827596,0.3295148832769243,-0.0245765949318731,0.580199725869638,1482200.0,2034050.0,0.728693984906959,14093062360.0,255,18.7,17.13,9.433333333333335,9.333333333333332,9.683333333333335,8.416666666666668,2.3866666666666667,5.961666666666668,1.47,82.52,45.26,19.02,10.8,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,96.0,False
24,6266,タツモ,機械,プライム,6266.T,,43.0,1.0,値上がり率,,,,,,,,2026-07-01,5070.0,0.0764331210191082,0.1069868995633187,0.2917197452229298,1.2972360670593566,1.45758603974794,4278.0,3523.5,0.1851332398316971,0.4389101745423585,0.0,0.9076091051218788,342300.0,274075.0,1.2489282130803612,1219827550.0,255,19.6,17.64,9.533333333333337,9.908333333333331,9.908333333333331,1.3333333333333337,7.253333333333333,6.8133333333333335,0.5133333333333333,82.5,46.77,19.82,8.59,v7,True,True,True,True,True,True,True,True,True,False,False,False,jpx_liquidity,JPX流動性,521.0,True
25,6264,マルマエ,機械,プライム,6264.T,,,,,,,,,,,,2026-07-01,2934.0,0.0411639460610362,0.0638143582306018,0.411934552454283,0.9264609323703216,1.5795294513098592,2527.65,2208.75,0.1607619725832294,0.3283531409168081,-0.0550724637681159,1.1770772304632513,1147600.0,1103520.0,1.0399449035812671,2968639215.0,255,19.816666666666663,17.19,9.65,9.908333333333331,9.666666666666668,4.516666666666667,6.213333333333333,5.133333333333333,0.1983333333333333,82.29,46.66,19.58,10.73,v7,True,True,True,True,True,True,True,False,False,True,False,False,jpx_liquidity,JPX流動性,330.0,False
26,6925,ウシオ電機,電気機器,プライム,6925.T,,45.0,1.0,値上がり率,,,,,,,,2026-07-01,4828.0,0.0757575757575756,0.0975221641282109,0.1729834791059281,0.5918232772832179,0.974584159343162,4358.8,3812.5,0.1076443057722309,0.2663606557377049,0.0,0.5942882443492845,1058100.0,452410.0,2.3388077186622755,2077716465.0,255,18.33333333333333,16.29,9.116666666666664,9.383333333333333,9.45,3.2166666666666663,7.926666666666666,6.8133333333333335,1.4116666666666666,81.94,43.74,18.83,11.14,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,408.0,True
27,6707,サンケン電気,電気機器,プライム,6707.T,,,,,,,,,,,,2026-07-01,11690.0,0.0276923076923076,0.1562809099901088,0.2629645635263613,0.4647287307354968,1.0228413220280324,9640.6,9232.016666666666,0.2125801298674356,0.2662455476502967,0.0,0.8543529399199296,296800.0,257775.0,1.1513917175831636,2587928320.0,255,19.53333333333333,15.42,9.183333333333332,9.908333333333331,9.433333333333335,4.033333333333332,6.84,6.8133333333333335,0.5833333333333333,81.75,44.14,19.34,10.87,v7,True,True,True,True,True,True,True,False,True,False,False,False,jpx_liquidity,JPX流動性,359.0,False
28,4021,日産化学,化学,プライム,4021.T,,,,,,,,,,,,2026-07-01,8492.0,0.0022424170895787,0.030207448744389,0.1274561869357409,0.3971701217505758,0.6179955744164616,7885.25,7218.133333333333,0.07694746520402,0.1764814541155608,-0.004921490508554,0.3212231620114779,731700.0,634430.0,1.153318727046325,5094685745.0,255,17.566666666666666,14.94,8.3,8.9,8.866666666666667,6.083333333333332,6.866666666666666,6.486666666666666,3.465,81.47,40.81,17.77,12.95,v7,True,True,True,True,True,True,True,False,True,True,True,True,jpx_liquidity,JPX流動性,236.0,False
29,6856,堀場製作所,電気機器,プライム,6856.T,,127.0,1.0,値上がり率,,,,,,,,2026-07-01,28680.0,0.0463334549434513,0.0513675218326072,0.0777903043968433,0.5915649278579356,0.7969924812030076,26883.523046875,24286.757682291667,0.0668244615853586,0.1808904414158008,0.0,0.4334868124065499,337300.0,168460.0,2.002255728362816,4757736825.0,255,15.766666666666666,16.26,8.816666666666668,8.583333333333332,8.916666666666668,5.9,7.926666666666666,6.8133333333333335,2.45,81.43,40.84,17.5,13.83,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,247.0,True
30,3099,三越伊勢丹ホールディングス,小売業,プライム,3099.T,,,,,,,,,,,,2026-07-01,3996.0,-0.0296260320543952,-0.00572281662105,0.1417142857142856,0.3434190620272315,0.7804096822272699,3815.35,3389.9,0.0473482118285346,0.1787958346853888,-0.0405762304921968,0.3443732043380005,2650900.0,2173800.0,1.2194774128254668,8325313965.0,255,17.9,14.429999999999998,8.8,7.833333333333332,8.883333333333333,7.416666666666668,7.1066666666666665,5.576666666666666,3.1966666666666663,81.14,41.13,16.72,14.52,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,156.0,False
31,6997,日本ケミコン,電気機器,プライム,6997.T,,95.0,1.0,値上がり率,,,,,,,,2026-07-01,5790.0,0.0546448087431694,0.080223880597015,0.1962809917355372,2.9684715558601784,3.0487951739866057,5113.75,3631.9166666666665,0.1322415057443167,0.5941995732280936,-0.0317725752508361,1.0778768351269945,1057600.0,1549120.0,0.6827101838463128,7581693100.0,255,18.86666666666667,17.835,9.908333333333331,9.633333333333336,9.908333333333331,7.15,1.653333333333333,5.798333333333334,0.2916666666666666,81.05,46.61,19.54,8.8,v7,True,True,True,True,True,True,True,False,True,True,False,False,jpx_liquidity,JPX流動性,172.0,True
32,3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,プライム,3445.T,,24.0,1.0,値上がり率,,,,,,,,2026-07-01,8030.0,0.1030219780219781,0.1722627737226276,0.1075862068965516,1.2336578581363002,1.1299734748010608,7089.5,6190.25,0.1326609775019394,0.2972012438916036,0.0,0.662665108922182,311900.0,192515.0,1.6201334960912137,1413424550.0,255,17.166666666666664,17.55,9.3,9.666666666666668,9.6,1.7666666666666668,7.746666666666667,6.8133333333333335,1.05,80.66,44.02,19.27,9.51,v7,True,True,True,True,True,True,True,True,True,True,True,True,jpx_liquidity,JPX流動性,495.0,True
