signal_date,entry_date,planned_exit_date,code,ticker,name,industry,entry_price,latest_price,unrealized_return,market_value
2026-09-04,2026-09-07,,446A,446A.T,ノースサンド,サービス業,2314.0,1937.0,-0.1629213483146067,0.02862582478877912
2026-09-04,2026-09-07,,4346,4346.T,ＮＥＸＹＺ．Ｇｒｏｕｐ,その他金融業,1074.0,1014.0,-0.05586592178770955,0.03228683068861511
2026-09-04,2026-09-07,,5137,5137.T,スマートドライブ,情報・通信業,319.0,302.0,-0.053291536050156685,0.03237486771466223
2026-09-04,2026-09-07,,4088,4088.T,エア・ウォーター,化学,3080.0,2980.0,-0.03246753246753242,0.03308699228832911
2026-09-04,2026-09-07,,9101,9101.T,日本郵船,海運業,7248.0,7198.0,-0.006898454746136817,0.033961385557575254
2026-09-07,2026-09-08,,9101,9101.T,日本郵船,海運業,7388.0,7198.0,-0.025717379534380025,0.033241314152114225
2026-09-07,2026-09-08,,2492,2492.T,インフォマート,サービス業,699.0,714.0,0.02145922746781115,0.03485092144783012
2026-09-07,2026-09-08,,4088,4088.T,エア・ウォーター,化学,3060.0,2980.0,-0.02614379084967322,0.03322676552711371
2026-09-07,2026-09-08,,7384,7384.T,プロクレアホールディングス,銀行業,4975.0,5030.0,0.011055276381909618,0.03449595154566313
2026-09-07,2026-09-08,,8001,8001.T,伊藤忠商事,卸売業,2239.0,2283.0,0.019651630192049963,0.03478924847158904
2026-09-08,2026-09-09,,2492,2492.T,インフォマート,サービス業,706.0,714.0,0.011331444759206777,0.034333161876670446
2026-09-08,2026-09-09,,4565,4565.T,ネクセラファーマ,医薬品,1220.0,1246.0,0.021311475409836023,0.034671968713576196
2026-09-08,2026-09-09,,2782,2782.T,セリア,小売業,4715.0,4815.0,0.021208907741251393,0.0346684866974804
2026-09-08,2026-09-09,,2212,2212.T,山崎製パン,食料品,3900.0,3877.0,-0.005897435897435854,0.03374826762503449
2026-09-08,2026-09-09,,8001,8001.T,伊藤忠商事,卸売業,2283.0,2283.0,0.0,0.03394847658953688
2026-09-09,2026-09-10,,5019,5019.T,出光興産,石油・石炭製品,1698.0,1650.5,-0.02797408716136629,0.03256882465012235
2026-09-09,2026-09-10,,8001,8001.T,伊藤忠商事,卸売業,2289.0,2283.0,-0.002621231979030192,0.03341830066090286
2026-09-09,2026-09-10,,9503,9503.T,関西電力,電気・ガス業,2994.0,2957.0,-0.01235804943219776,0.03309205760905213
2026-09-09,2026-09-10,,9843,9843.T,ニトリホールディングス,小売業,3265.0,3267.0,0.000612557427258853,0.03352665242265917
2026-09-09,2026-09-10,,4661,4661.T,オリエンタルランド,サービス業,3123.0,3173.0,0.016010246557796926,0.0340425693654957
