rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,6976,6976.T,太陽誘電,プライム,電気機器,3,True,jpx_liquidity,JPX流動性,15.0,1.0,出来高,2026-06-17,20845.0,0.03244180287270937,0.33152347492813794,1.6516982572191834,3.855969334426983,5.196679804742553,15025.1,8726.605635579426,0.38734517573926297,1.38867216767679,0.0,1.4653063925863063,31278100.0,22926145.0,1.3642982716893748,391304350810.0,245,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.908333333333333,7.48,6.708333333333334,0.07583333333333334,91.55,47.56,19.82,17.39,v5,True,True,True,True,True,True,True,True,True,False,False,False
2,4062,4062.T,イビデン,プライム,電気機器,9,True,jpx_liquidity,JPX流動性,49.0,2.0,値上がり率・出来高,2026-06-17,24000.0,0.06928046335486737,0.3793103448275863,0.5345268542199488,1.8349977332476621,3.2274490039021684,20276.75,14253.606429036457,0.18362163561714762,0.6837843895499223,0.0,1.2974176058303577,9058100.0,8425710.0,1.0750548025032904,173565372850.0,245,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.908333333333333,6.76,6.708333333333334,0.07583333333333334,90.83,47.56,19.82,16.67,v5,True,True,True,True,True,True,True,False,True,False,False,False
3,8035,8035.T,東京エレクトロン,プライム,電気機器,6,True,jpx_liquidity,JPX流動性,104.0,1.0,出来高,2026-06-17,72640.0,0.025119954840530534,0.17483422286915729,0.5757049891540129,0.8197881449313826,1.367428557206273,58734.0,49014.4146484375,0.23676235230020093,0.4820130061946102,-0.0016492578339747377,0.7645385461526859,4608500.0,4234985.0,1.0881974788576583,260795750100.0,245,19.816666666666666,17.37,9.45,9.908333333333333,9.766666666666667,9.908333333333333,6.8133333333333335,6.381666666666666,0.7116666666666666,90.13,46.64,19.68,16.72,v5,True,True,True,True,True,True,True,False,True,False,True,False
4,6920,6920.T,レーザーテック,プライム,電気機器,12,True,jpx_liquidity,JPX流動性,27.0,2.0,値上がり率・出来高,2026-06-17,52700.0,0.13162980459523288,0.2964329643296433,0.4782608695652173,0.46307606885063857,0.7976874122306223,41949.5,40345.0,0.2562724227940738,0.30623373404387166,0.0,0.9061931442514434,7716500.0,3040360.0,2.538021813206331,140737280750.0,245,19.56666666666667,16.139999999999997,8.716666666666667,9.908333333333333,9.4,9.908333333333333,7.926666666666666,6.708333333333334,0.40833333333333327,88.68,44.42,19.31,17.84,v5,True,True,True,True,True,True,True,True,True,False,False,False
5,6981,6981.T,村田製作所,プライム,電気機器,4,True,jpx_liquidity,JPX流動性,14.0,1.0,出来高,2026-06-17,10865.0,0.03181386514719842,0.25606936416184967,0.7626541207008437,1.8531476242757425,2.442404196506856,9130.75,6154.101257324219,0.18993510938312852,0.7654893128495683,0.0,1.2014692694864382,31784100.0,40089040.0,0.7928376434057788,382664516820.0,245,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.908333333333333,4.32,6.708333333333334,0.175,88.49,47.56,19.82,14.23,v5,True,True,True,True,True,True,True,False,True,False,False,False
6,6996,6996.T,ニチコン,プライム,電気機器,193,True,jpx_liquidity,JPX流動性,25.0,1.0,値上がり率,2026-06-17,4755.0,0.13214285714285712,0.13214285714285712,0.5388349514563107,1.408043676552908,2.048253194103569,3916.25,2775.1702412923178,0.2141717203957867,0.7134083989693303,0.0,0.9525619137955204,2297600.0,1812505.0,1.2676378823782555,7314623400.0,245,19.816666666666666,17.835,9.75,9.908333333333333,9.908333333333333,6.8,7.32,6.708333333333334,0.35,88.4,47.4,19.82,14.12,v5,True,True,True,True,True,True,True,True,True,False,False,False
7,285A,285A.T,キオクシアホールディングス,プライム,電気機器,1,True,jpx_liquidity,JPX流動性,17.0,1.0,出来高,2026-06-17,96000.0,0.013513513513513598,0.36170212765957444,0.87170988496783,3.1043180846515606,10.049723756906078,73430.5,46424.666666666664,0.30735865886790914,1.0678662205436766,0.0,0.9555341214068,28043300.0,39232925.0,0.7147899372784466,2842124298050.0,245,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.908333333333333,3.1333333333333333,6.708333333333334,0.33833333333333326,87.46,47.56,19.82,13.04,v5,True,True,True,True,True,True,True,False,True,False,False,False
8,6752,6752.T,パナソニック　ホールディングス,プライム,電気機器,36,True,jpx_liquidity,JPX流動性,35.0,1.0,出来高,2026-06-17,4200.0,0.029664133366021028,0.1182108626198084,0.3096351730589335,0.595674226900512,1.0607392940549625,3734.2,3222.1606486002606,0.12473889989823794,0.3034731840029523,0.0,0.6282322302628729,12296100.0,12616625.0,0.9745950283851664,47984767540.0,245,18.8,16.74,9.2,9.5,9.383333333333333,9.416666666666668,6.213333333333333,6.708333333333334,1.2483333333333335,87.21,44.74,18.88,15.63,v5,True,True,True,True,True,True,True,False,True,True,True,True
9,7735,7735.T,ＳＣＲＥＥＮホールディングス,プライム,電気機器,41,False,jpx_liquidity,JPX流動性,,,,2026-06-17,15320.0,0.023380093520374068,0.18027734976887522,0.4528212422949265,0.5419178141434136,1.4115017823003413,12375.0,11023.313362630208,0.23797979797979796,0.38978177395698976,0.0,0.8291475798723799,2431400.0,2755025.0,0.8825328263808858,34936186600.0,245,19.4,16.499999999999996,9.483333333333334,9.908333333333333,9.633333333333335,9.333333333333332,5.453333333333332,6.708333333333334,0.5366666666666666,86.96,45.38,19.54,14.79,v5,True,True,True,True,True,True,True,False,True,False,False,False
10,6278,6278.T,ユニオンツール,プライム,機械,180,False,jpx_liquidity,JPX流動性,,,,2026-06-17,26060.0,0.018764659890539548,0.16495306213679028,0.371578947368421,0.73156146179402,2.1136244756601656,22918.5,18540.333333333332,0.13707267054999228,0.40558422178673537,-0.013999243284146812,0.6259663508641515,352100.0,345290.0,1.0197225520576907,8062596450.0,245,19.2,17.22,9.783333333333335,9.583333333333336,9.666666666666668,7.0166666666666675,6.506666666666666,6.136666666666668,1.26,86.37,46.2,19.25,13.52,v5,True,True,True,True,True,True,True,False,True,True,True,True
