evaluation_version,universe_source,universe_label,horizon,sample_count,valid_count,avg_open_buy_return,median_open_buy_return,win_rate,avg_excess_return,avg_net_return,cost_bps_one_way
v4,jpx_liquidity,JPX流動性,1d,100,100,-0.002525004963392601,-0.003046470805617152,0.47,,-0.004518957478470781,10
v4,jpx_liquidity,JPX流動性,3d,100,0,,,,,,10
v4,jpx_liquidity,JPX流動性,5d,100,0,,,,,,10
v4,jpx_liquidity,JPX流動性,10d,100,0,,,,,,10
v4,yahoo,Yahooランキング,1d,100,100,-0.0062613126564296274,-0.005533119942500275,0.38,,-0.008247796292429423,10
v4,yahoo,Yahooランキング,3d,100,0,,,,,,10
v4,yahoo,Yahooランキング,5d,100,0,,,,,,10
v4,yahoo,Yahooランキング,10d,100,0,,,,,,10
v5,jpx_liquidity,JPX流動性,1d,100,0,,,,,,10
v5,jpx_liquidity,JPX流動性,3d,100,0,,,,,,10
v5,jpx_liquidity,JPX流動性,5d,100,0,,,,,,10
v5,jpx_liquidity,JPX流動性,10d,100,0,,,,,,10
v5,yahoo,Yahooランキング,1d,100,0,,,,,,10
v5,yahoo,Yahooランキング,3d,100,0,,,,,,10
v5,yahoo,Yahooランキング,5d,100,0,,,,,,10
v5,yahoo,Yahooランキング,10d,100,0,,,,,,10
