signal_date,entry_date,planned_exit_date,code,ticker,name,industry,entry_price,latest_price,unrealized_return,market_value
2026-08-17,2026-08-18,,9107,9107.T,川崎汽船,海運業,3119.0,3405.0,0.09169605642834244,0.038876228445654866
2026-08-17,2026-08-18,,7033,7033.T,マネジメントソリューションズ,サービス業,1610.0,1707.0,0.060248447204968913,0.03775635223740202
2026-08-17,2026-08-18,,4025,4025.T,多木化学,化学,6310.0,6070.0,-0.03803486529318545,0.03425639958430317
2026-08-17,2026-08-18,,7747,7747.T,朝日インテック,精密機器,4243.0,4043.0,-0.047136460051850126,0.03393228402578842
2026-08-17,2026-08-18,,6135,6135.T,牧野フライス製作所,機械,16290.0,15030.0,-0.07734806629834257,0.032856422938599535
2026-08-18,2026-08-19,,9104,9104.T,商船三井,海運業,6981.0,7278.0,0.04254404813064028,0.03707002655329922
2026-08-18,2026-08-19,,8542,8542.T,トマト銀行,銀行業,2003.0,1934.0,-0.03444832750873694,0.034332387396017634
2026-08-18,2026-08-19,,7550,7550.T,ゼンショーホールディングス,小売業,11675.0,11480.0,-0.016702355460385454,0.03496338582359108
2026-08-18,2026-08-19,,5632,5632.T,三菱製鋼,鉄鋼,2554.0,2440.0,-0.044635865309318734,0.03397014630178524
2026-08-18,2026-08-19,,3660,3660.T,アイスタイル,情報・通信業,530.0,533.0,0.005660377358490676,0.035758543688514395
2026-08-19,2026-08-20,,9104,9104.T,商船三井,海運業,6891.0,7278.0,0.05616020896821938,0.03660351366628111
2026-08-19,2026-08-20,,8622,8622.T,水戸証券,証券、商品先物取引業,896.0,920.0,0.02678571428571419,0.03558547709529387
2026-08-19,2026-08-20,,446A,446A.T,ノースサンド,サービス業,1955.0,1985.0,0.01534526854219953,0.03518898373324022
2026-08-19,2026-08-20,,7733,7733.T,オリンパス,精密機器,2170.0,2168.5,-0.0006912442396312946,0.034633203739083206
2026-08-19,2026-08-20,,3937,3937.T,Ｕｂｉｃｏｍホールディングス,情報・通信業,1235.0,1293.0,0.04696356275303648,0.0362847840241653
2026-08-20,2026-08-21,,4443,4443.T,Ｓａｎｓａｎ,情報・通信業,2218.0,2231.0,0.005861136158701541,0.035606363947245936
2026-08-20,2026-08-21,,7733,7733.T,オリンパス,精密機器,2159.5,2168.5,0.0041676313961565015,0.03554641576478425
2026-08-20,2026-08-21,,7552,7552.T,ハピネット,卸売業,3770.0,3695.0,-0.019893899204244003,0.03469466437993853
2026-08-20,2026-08-21,,9107,9107.T,川崎汽船,海運業,3222.0,3405.0,0.056797020484171235,0.03740943752278306
2026-08-20,2026-08-21,,215A,215A.T,タイミー,サービス業,1634.0,1669.0,0.02141982864137093,0.03615712433271708
