code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
3133,海帆,小売業,グロース,3133.T,(株)海帆,1,2,値上がり率・出来高,350,2026-07-06,2026-06-25,7,2,2.0,1.0
4596,窪田製薬ホールディングス,医薬品,グロース,4596.T,窪田製薬ホールディングス(株),2,1,値上がり率,249,2026-07-06,2026-06-15,4,2,1.0,-1.0
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,2,1,出来高,249,2026-07-06,2026-06-15,15,14,2.0,0.0
264A,Ｓｃｈｏｏ,サービス業,グロース,264A.T,(株)Ｓｃｈｏｏ,3,2,値上がり率・出来高増加率,348,2026-07-06,2026-06-30,2,1,35.0,32.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),3,1,出来高,248,2026-07-06,2026-06-15,15,14,4.0,1.0
4424,Ａｍａｚｉａ,情報・通信業,グロース,4424.T,(株)Ａｍａｚｉａ,4,1,値上がり率,247,2026-07-06,2026-07-01,3,2,27.0,23.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),4,1,出来高,247,2026-07-06,2026-06-15,15,14,3.0,-1.0
3656,ＫＬａｂ,情報・通信業,プライム,3656.T,ＫＬａｂ(株),5,3,値上がり率・出来高・出来高増加率,446,2026-07-06,2026-06-17,7,1,81.0,76.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),5,2,値上がり率・出来高,346,2026-07-06,2026-06-15,15,14,5.0,0.0
584A,ＬｉＮＫＸ,情報・通信業,グロース,584A.T,ＬｉＮＫＸ(株),6,1,値上がり率,245,2026-07-06,2026-07-06,1,1,,
6740,ジャパンディスプレイ,電気機器,プライム,6740.T,(株)ジャパンディスプレイ,6,2,値上がり率・出来高,345,2026-07-06,2026-06-15,15,14,11.0,5.0
504A,イノバセル,医薬品,グロース,504A.T,イノバセル(株),7,1,値上がり率,244,2026-07-06,2026-06-22,4,3,7.0,0.0
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),7,1,出来高,244,2026-07-06,2026-06-15,15,14,6.0,-1.0
4394,エクスモーション,情報・通信業,グロース,4394.T,(株)エクスモーション,8,1,値上がり率,243,2026-07-06,2026-06-29,2,1,145.0,137.0
8729,ソニーフィナンシャルグループ,保険業,プライム,8729.T,ソニーフィナンシャルグループ(株),8,1,出来高,243,2026-07-06,2026-06-15,15,14,9.0,1.0
1447,ＳＡＡＦホールディングス,建設業,グロース,1447.T,ＳＡＡＦホールディングス(株),9,2,値上がり率・出来高増加率,342,2026-07-06,2026-06-19,6,2,43.0,34.0
278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器,グロース,278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),10,1,値上がり率,241,2026-07-06,2026-06-18,2,1,131.0,121.0
285A,キオクシアホールディングス,電気機器,プライム,285A.T,キオクシアホールディングス(株),10,1,出来高,241,2026-07-06,2026-06-15,15,14,7.0,-3.0
6736,サン電子,電気機器,スタンダード,6736.T,サン電子(株),11,1,値上がり率,240,2026-07-06,2026-07-02,2,1,27.0,16.0
7011,三菱重工業,機械,プライム,7011.T,三菱重工業(株),11,2,値上がり率・出来高,340,2026-07-06,2026-06-15,15,14,36.0,25.0
7477,ムラキ,卸売業,スタンダード,7477.T,ムラキ(株),11,1,出来高増加率,240,2026-07-06,2026-06-24,3,1,81.0,70.0
7014,名村造船所,輸送用機器,スタンダード,7014.T,(株)名村造船所,12,1,値上がり率,239,2026-07-06,2026-07-06,1,1,,
7201,日産自動車,輸送用機器,プライム,7201.T,日産自動車(株),12,1,出来高,239,2026-07-06,2026-06-15,15,14,15.0,3.0
6085,アーキテクツ・スタジオ・ジャパン,サービス業,グロース,6085.T,アーキテクツ・スタジオ・ジャパン(株),13,2,値上がり率・出来高,338,2026-07-06,2026-06-22,4,2,149.0,136.0
8136,サンリオ,卸売業,プライム,8136.T,(株)サンリオ,13,2,値上がり率・出来高,338,2026-07-06,2026-06-15,15,14,28.0,15.0
7063,Ｂｉｒｄｍａｎ,サービス業,グロース,7063.T,(株)Ｂｉｒｄｍａｎ,14,2,値上がり率・出来高,337,2026-07-06,2026-06-17,6,4,83.0,69.0
9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,ソフトバンクグループ(株),14,1,出来高,237,2026-07-06,2026-06-15,15,14,8.0,-6.0
3647,アスリナ,情報・通信業,スタンダード,3647.T,(株)アスリナ,15,2,値上がり率・出来高増加率,336,2026-07-06,2026-06-17,2,1,63.0,48.0
9913,日邦産業,卸売業,スタンダード,9913.T,日邦産業(株),15,1,出来高増加率,236,2026-07-06,2026-06-25,2,1,71.0,56.0
5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,16,1,出来高,235,2026-07-06,2026-06-15,15,14,10.0,-6.0
7721,東京計器,精密機器,プライム,7721.T,東京計器(株),16,1,値上がり率,235,2026-07-06,2026-06-17,3,1,107.0,91.0
