liquidity_rank,code,name,industry,market,ticker,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,in_yahoo_pool,universe_source,universe_label
1,285A,キオクシアホールディングス,電気機器,プライム,285A.T,2026-07-06,81590.0,-0.020528211284513764,-0.07755794234030522,0.13508625486922643,2.5062311989686292,5.429472025216706,89382.5,61819.833333333336,-0.0871814952591391,0.31980297585187056,-0.2494020239190432,1.2777460872356328,40153200.0,38687755.0,1.037878781025159,3392766055200.0,258,True,jpx_liquidity,JPX流動性
2,6976,太陽誘電,電気機器,プライム,6976.T,2026-07-06,18385.0,-0.10578793774319062,-0.012090274046211769,0.2277128547579299,3.0133158698974025,4.126248181339875,18662.25,11957.4,-0.014856193652962535,0.5375416060347569,-0.18847936437872437,1.6099251542060216,19033600.0,26922960.0,0.7069653559638316,501457010825.0,258,True,jpx_liquidity,JPX流動性
3,9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,2026-07-06,5979.0,-0.030799157075701133,0.014421445537835087,-0.14291857798165142,0.6771388499298738,0.28677093528814757,6583.7,6141.583333333333,-0.09184804896942445,-0.026472543725152287,-0.3073447636700649,0.8558615683248741,33669700.0,62446200.0,0.539179325563445,403078671050.0,258,True,jpx_liquidity,JPX流動性
4,8035,東京エレクトロン,電気機器,プライム,8035.T,2026-07-06,72320.0,-0.012021857923497303,-0.03186077643908969,0.31443111595783346,0.8813735691987512,0.9123990599310483,71944.0,56783.166666666664,0.005226287112198413,0.27361688763395264,-0.08223350253807105,0.7153982586481912,2846600.0,5163405.0,0.5513028708768729,364551583600.0,258,False,jpx_liquidity,JPX流動性
5,6981,村田製作所,電気機器,プライム,6981.T,2026-07-06,10250.0,-0.07490974729241873,-0.04562383612662946,0.17667317185168185,1.7073428420496568,2.0968864282699466,10696.25,7810.916666666667,-0.041720229052237934,0.3122659525663867,-0.16326530612244894,1.1779991934240608,20945500.0,34261985.0,0.6113335231452585,343925120750.0,258,True,jpx_liquidity,JPX流動性
6,5803,フジクラ,非鉄金属,プライム,5803.T,2026-07-06,5354.0,-0.000746547219111604,-0.09022939677145281,0.21654169506930243,0.2251716247139588,0.7690248761540517,5304.15,5499.283333333334,0.009398301330090675,-0.02641859393799806,-0.31839592616168044,1.1162678444242382,32123000.0,50974865.0,0.6301733216949177,273111417720.0,258,True,jpx_liquidity,JPX流動性
7,6857,アドバンテスト,電気機器,プライム,6857.T,2026-07-06,29565.0,0.007497018231385155,-0.07464788732394367,0.1715870814345155,0.33175675675675675,0.43679891262047454,30154.0,28253.583333333332,-0.01953306360681828,0.04641594134077387,-0.17646239554317544,0.88325954442939,6649300.0,8899315.0,0.7471698664447769,264342135650.0,258,True,jpx_liquidity,JPX流動性
8,4062,イビデン,電気機器,プライム,4062.T,2026-07-06,21390.0,-0.08374384236453203,-0.09746835443037971,0.253810082063306,1.4535443909153476,1.9671658281532172,23010.0,17794.583333333332,-0.07040417209908734,0.20205118598824567,-0.19053926206244087,1.1665632549283864,6724300.0,9526730.0,0.7058350556801757,219721145050.0,258,True,jpx_liquidity,JPX流動性
9,6920,レーザーテック,電気機器,プライム,6920.T,2026-07-06,47040.0,-0.012801678908709313,-0.04390243902439028,0.20306905370843986,0.28630024610336346,0.4654205607476636,48899.1025390625,43915.5341796875,-0.03801915459649541,0.07114716645659458,-0.17853415130837424,0.9009102183326925,2133900.0,3749450.0,0.5691234714424782,187171422050.0,258,False,jpx_liquidity,JPX流動性
10,6146,ディスコ,機械,プライム,6146.T,2026-07-06,78000.0,0.01840971406188796,-0.019484600879949743,0.15589804386484873,0.24085268851415842,0.4090772576285502,80212.5,73188.5,-0.02758298270219728,0.06574120251132354,-0.1184448462929476,0.878801112856521,1409400.0,1934945.0,0.7283927966944796,154186252000.0,258,False,jpx_liquidity,JPX流動性
11,5801,古河電気工業,非鉄金属,プライム,5801.T,2026-07-06,3888.0,-0.028000000000000025,-0.12016293279022405,-0.9140963323022536,-0.8935086277732128,-0.6131805608588059,14204.8,37070.1,-0.7262897048884884,-0.8951176284930442,-0.9353508480212837,3.27469876984852,18637000.0,23665235.0,0.7875265130475146,148017456470.0,258,True,jpx_liquidity,JPX流動性
12,5016,ＪＸ金属,非鉄金属,プライム,5016.T,2026-07-06,4022.0,-0.015422276621787079,-0.10022371364653249,0.13873159682899217,0.07915213308290858,0.8958487133599575,4247.15,4377.2,-0.0530120198250591,-0.08114776569496474,-0.2968531468531469,1.0730885944660236,17690600.0,31321040.0,0.5648152168638079,139491601485.0,258,True,jpx_liquidity,JPX流動性
13,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,2026-07-06,3370.0,0.013229104028863459,0.049517284335098166,0.0637626262626263,0.19886161508360023,0.3113844555446681,3250.5,3043.9416666666666,0.03676357483464088,0.10711714252079951,-0.0011855364552459946,0.24039384421719237,25810800.0,38557480.0,0.6694109677292188,122195090075.0,258,True,jpx_liquidity,JPX流動性
