rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,7735,ＳＣＲＥＥＮホールディングス,電気機器,プライム,7735.T,(株)ＳＣＲＥＥＮホールディングス,56,2,値上がり率・出来高,295,2026-06-30,2026-06-18,4,1,144.0,88.0,2026-06-30,17805.0,0.06203399940351928,0.10247678018575845,0.5735749005744586,0.8901273885350318,1.3961409035442736,14994.25,12124.466666666667,0.18745519115661002,0.46851820286253143,0.0,0.9321017059420718,4417400.0,3146245.0,1.4040228907793257,48865291025.0,254,19.57831325301205,17.07831325301205,9.487951807228916,9.427710843373495,9.698795180722891,9.24698795180723,5.349397590361446,6.799698795180722,1.1596385542168677,87.83,46.14,19.13,14.6,v7,True,True,True,True,True,True,True,True,True,False,False,False
2,6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,28,2,値上がり率・出来高,323,2026-06-30,2026-06-15,11,10,95.0,67.0,2026-06-30,10855.0,0.08800240553272531,0.17085535540934105,0.45724258289703323,0.9851865398683248,0.9487517176789708,9153.4,7545.216666666666,0.18589813621168094,0.4386598131708168,0.0,0.9977151941095789,9679800.0,6674290.0,1.4503115687211674,63052514010.0,254,19.216867469879517,17.295180722891565,9.156626506024097,9.36746987951807,9.66867469879518,9.397590361445783,5.493975903614458,6.799698795180722,1.0542168674698795,87.45,45.67,19.04,14.89,v7,True,True,True,True,True,True,True,True,True,False,False,False
3,2962,テクニスコ,金属製品,スタンダード,2962.T,(株)テクニスコ,26,1,値上がり率,225,2026-06-30,2026-06-15,8,1,9.0,-17.0,2026-06-30,1990.0,0.09160724081184868,0.36114911080711365,0.8826868495742668,1.2742857142857145,3.8536585365853657,1301.15,1078.7,0.5294162855935134,0.8448132010753684,0.0,1.4240397529116424,2095200.0,546225.0,3.8357819579843473,1049585685.0,254,19.819277108433734,17.566265060240966,9.909638554216867,9.909638554216867,9.909638554216867,5.361445783132531,7.108433734939759,6.799698795180722,0.46385542168674704,86.85,47.3,19.82,12.47,v7,True,True,True,True,True,True,True,True,True,False,False,False
4,3086,Ｊ．フロント　リテイリング,小売業,プライム,3086.T,Ｊ．フロント　リテイリング(株),135,2,値上がり率・出来高,216,2026-06-30,2026-06-19,7,2,98.0,-37.0,2026-06-30,3617.0,0.0402645959160195,0.25372616984402074,0.6114947649810649,0.4688324873096448,0.6533080205776991,2635.175,2451.4166666666665,0.3725843634673218,0.47547336574089827,0.0,0.6262243053140542,4024600.0,2999135.0,1.3419202536731425,8628100380.0,254,19.819277108433734,16.31927710843373,8.765060240963855,9.759036144578312,9.728915662650603,6.9879518072289155,5.180722891566265,6.799698795180722,2.129518072289157,85.49,44.9,19.49,12.17,v7,True,True,True,True,True,True,True,True,True,False,True,False
5,8035,東京エレクトロン,電気機器,プライム,8035.T,東京エレクトロン(株),100,1,出来高,151,2026-06-30,2026-06-15,11,10,133.0,33.0,2026-06-30,77150.0,0.03279785809906288,0.057428728070175517,0.4364177992924967,0.9641038696537678,1.2749469372174587,69032.5,54383.0,0.11758954115815023,0.41864185499144946,-0.008354755784061751,0.8761266425944615,5168500.0,5033750.0,1.0267693071765582,354557479650.0,254,19.096385542168676,17.240963855421686,9.457831325301203,8.734939759036145,9.608433734939759,9.909638554216867,3.662650602409639,6.47289156626506,1.2650602409638554,85.45,45.8,18.34,13.57,v7,True,True,True,True,True,True,True,False,True,True,False,False
6,6976,太陽誘電,電気機器,プライム,6976.T,太陽誘電(株),21,2,値上がり率・出来高,330,2026-06-30,2026-06-15,11,10,27.0,6.0,2026-06-30,20150.0,0.08275120902740452,0.1901949202598936,0.24191063174114014,3.981458590852905,4.766272923345914,17745.75,10879.916666666666,0.13548314385134463,0.8520362441501543,-0.033341328855840735,1.4852010719650506,22570300.0,25892810.0,0.8716821387867906,457887235575.0,254,18.132530120481924,17.837349397590362,9.909638554216867,9.006024096385543,9.909638554216867,9.909638554216867,2.3132530120481927,6.072289156626506,0.44277108433734935,83.53,45.88,18.92,12.22,v7,True,True,True,True,True,True,True,False,True,True,False,False
7,6977,日本抵抗器製作所,電気機器,スタンダード,6977.T,(株)日本抵抗器製作所,5,2,値上がり率・出来高増加率,346,2026-06-30,2026-06-24,3,1,31.0,26.0,2026-06-30,1938.0,0.26007802340702213,0.631043137008336,0.5140625000000001,0.9457831325301205,1.0293193717277487,1303.2527709960937,1127.2675903320312,0.4870484399728232,0.7192013827250825,0.0,1.269003377472427,67500.0,16745.0,4.0310540459838755,26767490.0,248,19.397590361445783,17.132530120481928,9.186746987951807,9.909638554216867,9.909638554216867,3.253012048192771,7.2289156626506035,6.799698795180722,0.6114457831325302,83.43,45.72,19.82,10.48,v7,True,False,True,True,True,True,True,True,True,False,False,False
8,6327,北川精機,機械,スタンダード,6327.T,北川精機(株),13,1,値上がり率,238,2026-06-30,2026-06-15,6,2,43.0,30.0,2026-06-30,7900.0,0.14492753623188404,0.37828854781517696,0.6122448979591837,4.180327868852459,7.876404494382022,4927.58095703125,3467.5769856770835,0.6032207423659581,1.2782479041218564,0.0,1.9886913934582229,835800.0,918230.0,0.9102294632063862,4610342700.0,254,19.819277108433734,17.837349397590362,9.909638554216867,9.909638554216867,9.909638554216867,6.174698795180722,2.7951807228915664,6.799698795180722,0.21084337349397594,83.37,47.57,19.82,8.97,v7,True,True,True,True,True,True,True,False,True,False,False,False
9,6101,ツガミ,機械,プライム,6101.T,(株)ツガミ,84,1,値上がり率,167,2026-06-30,2026-06-15,3,1,128.0,44.0,2026-06-30,8030.0,0.0538057742782152,0.06357615894039736,0.22408536585365857,1.28125,1.7825882149501613,7140.0,5738.583333333333,0.12464985994397759,0.3993000595385041,0.0,0.5974047980752237,511400.0,485470.0,1.0534121572908728,3277104350.0,254,17.951807228915662,17.62048192771084,9.608433734939759,8.825301204819278,9.578313253012048,5.933734939759037,3.9036144578313254,6.799698795180722,2.213855421686747,82.44,45.18,18.4,9.84,v7,True,True,True,True,True,True,True,False,True,True,True,True
10,6668,アドテック　プラズマ　テクノロジー,電気機器,スタンダード,6668.T,(株)アドテック　プラズマ　テクノロジー,87,1,値上がり率,164,2026-06-30,2026-06-15,5,1,19.0,-68.0,2026-06-30,4000.0,0.05263157894736836,0.098901098901099,0.2861736334405145,1.2484541877459248,2.191023377011894,3426.3,2948.3,0.1674400957300879,0.35671403859851436,-0.06868451688009314,0.9902681236255173,208000.0,81385.0,2.555753517232905,324428020.0,254,18.55421686746988,17.512048192771086,9.759036144578312,9.24698795180723,9.548192771084338,4.879518072289156,6.530120481927711,5.25,1.0753012048192772,82.36,45.83,18.8,11.41,v7,True,True,True,True,True,True,True,True,False,True,False,False
