rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,8001,8001.T,伊藤忠商事,プライム,卸売業,34,True,jpx_liquidity,JPX流動性,40.0,1.0,出来高,2026-09-15,2321.0,-0.008331553086947219,0.019323671497584627,0.1602099475131218,0.2562922868741542,0.1972565959322461,2178.225,2022.0166666666667,0.06554648853998102,0.14786393122377817,-0.008331553086947219,0.21875632010095727,15176200.0,14754515.0,1.028580065152938,33058861775.0,307,19.46666666666667,15.99,6.2,9.633333333333335,9.433333333333335,9.45,6.653333333333333,6.708333333333334,5.308333333333333,88.84,41.66,19.07,16.1,v7,True,True,True,True,True,True,True,False,True,True,True,True
2,6460,6460.T,セガサミーホールディングス,プライム,機械,286,False,jpx_liquidity,JPX流動性,,,,2026-09-15,3322.0,-0.01130952380952377,0.06066411238825031,0.20887918486171753,0.5710569874674865,0.34803503823998017,3077.725,2699.391666666667,0.07936868953528986,0.2306476459202227,-0.01130952380952377,0.29883618333887507,1163000.0,1038660.0,1.1197119365336106,3305941200.0,307,19.816666666666666,17.835,7.833333333333332,9.766666666666667,9.908333333333333,5.25,7.013333333333334,6.58,3.57,87.57,45.48,19.68,12.26,v7,True,True,True,True,True,True,True,False,True,True,True,True
3,2737,2737.T,トーメンデバイス,プライム,卸売業,265,False,jpx_liquidity,JPX流動性,,,,2026-09-15,36950.0,0.09970238095238093,0.1546875000000001,0.2035830618892509,1.2907625542467454,2.165320942920438,32816.5,24629.833333333332,0.12595797845595968,0.5002131561317915,0.0,0.7568672394775686,142300.0,114605.0,1.2416561232057939,3741193900.0,307,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,5.600000000000001,7.48,6.935833333333332,0.07583333333333334,87.47,47.56,19.82,13.08,v7,True,True,True,True,True,True,True,True,True,True,True,True
4,4689,4689.T,ＬＩＮＥヤフー,プライム,情報・通信業,115,True,jpx_liquidity,JPX流動性,32.0,1.0,出来高,2026-09-15,564.9000244140625,0.010554605391882799,0.07211994351728834,0.13456523667181997,0.3794872391063797,0.4618237207750062,537.3900024414063,479.17166798909506,0.051191912480090807,0.17890948516371474,0.0,0.3319125784287731,16929900.0,19570620.0,0.8650671261309044,10591156008.622437,307,19.233333333333334,17.070000000000004,8.75,9.483333333333334,9.683333333333335,8.1,5.266666666666667,6.935833333333332,2.8933333333333335,87.42,45.05,19.17,13.37,v7,True,True,True,True,True,True,True,False,True,True,True,True
5,9434,9434.T,ソフトバンク,プライム,情報・通信業,69,True,jpx_liquidity,JPX流動性,15.0,1.0,出来高,2026-09-15,250.60000610351562,-0.0007974359880725812,0.03983405022205644,0.07094019702357102,0.18993351776228784,0.18183409167939812,239.74500122070313,226.3933339436849,0.04527729390620183,0.10692307824687153,-0.0007974359880725812,0.1485804865984435,85339900.0,71849500.0,1.1877591354149994,17496757216.703033,307,18.1,14.67,5.866666666666666,9.433333333333335,8.983333333333333,8.866666666666667,7.306666666666667,6.935833333333332,6.533333333333332,86.7,38.64,18.42,16.17,v7,False,True,True,True,True,True,True,False,True,True,True,False
6,9507,9507.T,四国電力,プライム,電気・ガス業,346,True,jpx_liquidity,JPX流動性,150.0,1.0,値上がり率,2026-09-15,2186.5,0.004363803399173083,0.02220663861617589,0.18799239337136653,0.5048176187198898,0.3290097020528939,2031.175,1730.0916666666667,0.07647051583443076,0.263805867704505,-0.0029639762881896736,0.33523252044119956,1460500.0,1181000.0,1.2366638441998306,2466196270.0,307,19.816666666666666,17.610000000000003,7.5166666666666675,9.733333333333334,9.908333333333333,4.25,7.466666666666666,6.825,2.811666666666666,85.94,44.94,19.64,11.72,v7,True,True,True,True,True,True,True,True,True,True,True,True
7,6098,6098.T,リクルートホールディングス,プライム,サービス業,17,True,jpx_liquidity,JPX流動性,110.0,1.0,出来高,2026-09-15,16845.0,0.021838034576888044,0.07361376673040154,0.05149812734082393,0.5503911642890014,1.6742769170424054,16469.0,14036.75,0.02283077296739333,0.20006411740609464,-0.0752127367554214,0.5064340346299989,4507600.0,4189905.0,1.0758239148620314,70419096175.0,307,17.1,17.835,9.908333333333333,8.75,9.766666666666667,9.733333333333334,6.84,4.503333333333333,0.8983333333333333,85.34,44.84,18.52,16.57,v7,True,True,True,True,True,True,True,False,False,True,True,True
8,9697,9697.T,カプコン,プライム,情報・通信業,118,False,jpx_liquidity,JPX流動性,,,,2026-09-15,4351.0,-0.0013770943309616701,-0.002750401100160449,0.05992691839220465,0.5483985765124555,0.2653472476097898,4252.05,3760.275,0.023271128044119793,0.1570962230156039,-0.002750401100160449,0.27582421946927205,2038200.0,2414840.0,0.8440310745225357,10335646175.0,307,17.666666666666664,17.835,7.0166666666666675,8.783333333333333,9.516666666666667,8.05,4.986666666666666,6.86,4.118333333333334,84.83,42.52,18.3,13.04,v7,True,True,True,True,True,True,True,False,True,True,True,True
9,6702,6702.T,富士通,プライム,電気機器,47,True,jpx_liquidity,JPX流動性,89.0,1.0,出来高,2026-09-15,3945.0,-0.020119225037257826,0.04503311258278142,0.09552901971674532,0.22858922454064157,0.22023699846250033,3798.4,3555.75,0.038595197978096074,0.10947057582788444,-0.020119225037257826,0.4037475522598132,11226000.0,6197510.0,1.8113726319118484,24707906115.0,307,18.8,15.42,6.4833333333333325,9.316666666666665,9.083333333333332,9.233333333333333,7.926666666666666,6.265,1.8083333333333333,84.34,40.7,18.4,17.16,v7,True,True,True,True,True,True,True,True,True,True,True,True
10,3659,3659.T,ネクソン,プライム,情報・通信業,123,False,jpx_liquidity,JPX流動性,,,,2026-09-15,3177.0,0.01275103602167671,0.014367816091954033,0.05829447035309787,0.44754978715565463,0.11610750043913587,3112.775,2615.285636393229,0.020632715181791106,0.21478126740352455,-0.008736349453978165,0.2161120792318133,3163300.0,3313870.0,0.9545636974292896,9899548025.0,307,17.466666666666665,17.31,4.666666666666666,8.566666666666668,9.908333333333333,7.966666666666665,6.133333333333334,6.696666666666667,5.378333333333333,84.09,39.44,18.48,14.1,v7,True,True,True,True,True,True,True,False,True,True,True,True
