evaluation_version,horizon,sample_count,valid_count,avg_open_buy_return,avg_excess_return,avg_net_return,win_rate,top20_avg_return,cost_bps_one_way
v4,1d,100,100,-0.006279601058521653,,-0.00826604813600566,0.37,-0.01691064544986424,10
v4,3d,100,100,0.03269663923701476,,0.030632278655179958,0.67,0.04015188022652678,10
v4,5d,100,100,0.058593379342656224,,0.056477251177350266,0.7,0.05808050940035845,10
v4,10d,100,100,0.005325580647165848,,0.0033159348114521637,0.47,-0.03826843690440852,10
v5,1d,100,100,0.007677485641730712,,0.0056631383479328916,0.53,0.031454013382011634,10
v5,3d,100,100,0.0283527406055044,,0.02629706347703402,0.66,0.03697821191116083,10
v5,5d,100,100,-0.02370031116824329,,-0.02565193424621798,0.31,-0.006490006920759714,10
v5,10d,100,100,-0.005242711892910319,,-0.007231231711836397,0.39,0.05101932688831738,10
v7,1d,2600,2500,-0.004469720008448695,,-0.006459785038151805,0.428,-0.006313641819162669,10
v7,3d,2600,2299,-0.011997142928558135,,-0.013972160639843946,0.4119182253153545,-0.020551106586444677,10
v7,5d,2600,2100,-0.019671724360622814,,-0.02163140058362593,0.4042857142857143,-0.042475624393617885,10
v7,10d,2600,1598,-0.03536968558264817,,-0.037297981581168455,0.4167709637046308,-0.091442402502971,10
