rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,7735,7735.T,ＳＣＲＥＥＮホールディングス,プライム,電気機器,30,True,jpx_liquidity,JPX流動性,28.0,2.0,値上がり率・出来高,2026-07-01,19490.0,0.09463633810727323,0.20830750154990696,0.4604720869239416,1.1590783205937742,1.5807367627838231,15301.5,12298.85,0.2737313335293925,0.5847010086308881,0.0,0.7899981657660881,5837300.0,3238980.0,1.8022031627240676,51227698800.0,255,19.816666666666666,17.49,9.666666666666668,9.908333333333333,9.908333333333333,9.516666666666667,7.926666666666666,6.8133333333333335,0.6766666666666665,91.72,46.97,19.82,17.44,v7,True,True,True,True,True,True,True,True,True,False,True,False
2,6525,6525.T,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,プライム,電気機器,23,True,jpx_liquidity,JPX流動性,55.0,2.0,値上がり率・出来高,2026-07-01,11420.0,0.0520497466605252,0.25109553023663445,0.42982346312758235,1.1999614717780775,1.0856282399337114,9325.05,7649.033333333334,0.22465831282406,0.49299911535662444,0.0,0.9870389150949972,9514400.0,6847875.0,1.3893945201978717,66119047725.0,255,19.816666666666666,17.520000000000003,9.233333333333333,9.908333333333333,9.908333333333333,9.633333333333335,7.546666666666668,6.8133333333333335,0.39666666666666667,90.78,46.57,19.82,17.18,v7,True,True,True,True,True,True,True,True,True,False,False,False
3,6976,6976.T,太陽誘電,プライム,電気機器,2,True,jpx_liquidity,JPX流動性,17.0,2.0,値上がり率・出来高,2026-07-01,22655.0,0.12431761786600504,0.33855243722304285,0.3525373134328358,4.867650867650868,5.470302600954144,18041.0,11193.15,0.255750789867524,1.0240057535188933,0.0,1.5320284700196063,27898900.0,25595265.0,1.0900023891137678,472570372050.0,255,19.816666666666666,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.908333333333333,6.506666666666666,6.8133333333333335,0.07583333333333334,90.68,47.56,19.82,16.42,v7,True,True,True,True,True,True,True,False,True,False,False,False
4,8035,8035.T,東京エレクトロン,プライム,電気機器,4,True,jpx_liquidity,JPX流動性,89.0,1.0,出来高,2026-07-01,78800.0,0.021386908619572154,0.1273247496423462,0.2939244663382594,1.0725933719095213,1.317507805999249,69927.5,55062.666666666664,0.12688141289192378,0.4310966898321913,0.0,0.7717771550516149,5596400.0,5158080.0,1.0849773559153795,360062592650.0,255,19.816666666666666,17.430000000000003,9.45,9.566666666666668,9.8,9.908333333333333,6.466666666666666,6.8133333333333335,0.7116666666666666,89.96,46.7,19.37,16.38,v7,True,True,True,True,True,True,True,False,True,True,True,True
5,6752,6752.T,パナソニック　ホールディングス,プライム,電気機器,26,True,jpx_liquidity,JPX流動性,32.0,2.0,値上がり率・出来高,2026-07-01,4770.0,0.0595290981785872,0.0709474629546476,0.21807967313585297,0.7389719285453882,1.3751094608650858,4164.0,3528.4583333333335,0.14553314121037464,0.3518651913607216,0.0,0.604591944340692,16448300.0,14594060.0,1.127054431734555,61279321200.0,255,19.3,16.95,9.466666666666667,9.766666666666667,9.733333333333334,9.583333333333336,6.72,6.8133333333333335,1.3416666666666668,89.68,45.72,19.5,16.3,v7,True,True,True,True,True,True,True,False,True,True,True,True
6,4062,4062.T,イビデン,プライム,電気機器,8,True,jpx_liquidity,JPX流動性,36.0,2.0,値上がり率・出来高,2026-07-01,25785.0,0.0827209741759396,0.04034698406294135,0.1752506836827712,2.3163987138263664,2.837744571580315,22401.0,17083.366666666665,0.15106468461229405,0.5093629085601785,-0.024219489120151372,1.1971724854731833,11603100.0,9192415.0,1.262247189666698,213906113500.0,255,18.4,17.835,9.908333333333333,9.783333333333335,9.908333333333333,9.908333333333333,7.28,5.973333333333334,0.175,89.17,46.14,19.69,17.19,v7,True,True,True,True,True,True,True,True,True,True,False,False
7,6996,6996.T,ニチコン,プライム,電気機器,187,True,jpx_liquidity,JPX流動性,13.0,1.0,値上がり率,2026-07-01,4770.0,0.14939759036144573,0.12632821723730814,0.20302648171500626,1.6782706344750142,1.9457225259138857,4317.0,3211.0833333333335,0.10493398193189707,0.4854799782005035,0.0,0.9732788632407037,1970200.0,1566410.0,1.2577805300017237,6860428325.0,255,19.0,17.835,9.908333333333333,9.35,9.908333333333333,6.9,7.266666666666667,6.8133333333333335,0.40833333333333327,87.39,46.74,19.26,14.17,v7,True,True,True,True,True,True,True,True,True,True,False,False
8,6323,6323.T,ローツェ,プライム,機械,149,True,jpx_liquidity,JPX流動性,110.0,1.0,値上がり率,2026-07-01,5080.0,0.04958677685950419,0.140803952391646,0.20493358633776082,0.9404125286478229,1.2709996481249775,4470.0,3972.358333333333,0.13646532438478753,0.2788372985820766,0.0,0.8284462245814288,2262800.0,1924215.0,1.1759600668324486,8460537885.0,255,19.06666666666667,17.250000000000004,9.416666666666668,9.7,9.483333333333334,7.533333333333332,6.92,6.8133333333333335,0.63,86.81,45.73,19.18,14.45,v7,True,True,True,True,True,True,True,False,True,True,False,False
9,3436,3436.T,ＳＵＭＣＯ,プライム,金属製品,28,True,jpx_liquidity,JPX流動性,8.0,2.0,値上がり率・出来高,2026-07-01,4729.0,0.1737403822288408,0.2776660103094606,0.06055169320475451,1.7598482637875694,2.295470383275261,3937.6521240234374,3189.0257080078127,0.20096947395342135,0.48289804880695386,0.0,1.212078203805839,28967100.0,13167945.0,2.199819333996307,54615785135.0,255,14.433333333333335,17.835,9.908333333333333,9.908333333333333,9.908333333333333,9.55,7.926666666666666,6.8133333333333335,0.16333333333333336,86.45,42.18,19.82,17.48,v7,True,True,True,True,True,True,True,True,True,False,False,False
10,6101,6101.T,ツガミ,プライム,機械,306,False,jpx_liquidity,JPX流動性,,,,2026-07-01,8180.0,0.018679950186799577,0.09651474530831106,0.2584615384615385,1.4023494860499266,1.8888312363292519,7224.0,5818.166666666667,0.13233665559246965,0.4059411613051076,0.0,0.5934041561431361,513900.0,462845.0,1.1103069061996997,3374156950.0,255,19.5,17.835,9.8,9.65,9.783333333333335,4.916666666666666,6.613333333333333,6.8133333333333335,1.4233333333333331,86.34,47.14,19.43,11.53,v7,True,True,True,True,True,True,True,False,True,True,True,True
