evaluation_version,horizon,sample_count,valid_count,avg_open_buy_return,avg_excess_return,avg_net_return,win_rate,top20_avg_return,cost_bps_one_way
v4,1d,100,100,-0.006279601058521651,,-0.008266048136005661,0.37,-0.01691064544986424,10
v4,3d,100,100,0.03269663923701476,,0.030632278655179958,0.67,0.04015188022652678,10
v4,5d,100,100,0.058593379342656224,,0.056477251177350266,0.7,0.05808050940035845,10
v4,10d,100,100,0.005325580647165846,,0.0033159348114521646,0.47,-0.03826843690440852,10
v5,1d,100,100,0.007677485641730712,,0.005663138347932889,0.53,0.031454013382011634,10
v5,3d,100,100,0.0283527406055044,,0.02629706347703402,0.66,0.03697821191116083,10
v5,5d,100,100,-0.023700311168243293,,-0.02565193424621798,0.31,-0.00649000692075972,10
v5,10d,100,100,-0.005242711892910319,,-0.007231231711836397,0.39,0.05101932688831738,10
v7,1d,2900,2800,-0.0034723425433752825,,-0.005464401330631074,0.4539285714285714,-0.00527390738562772,10
v7,3d,2900,2598,-0.009537532054708869,,-0.011517466528131506,0.43187066974595845,-0.018010099310798774,10
v7,5d,2900,2399,-0.014635174280015774,,-0.016604918566630027,0.4335139641517299,-0.033692193960159524,10
v7,10d,2900,1898,-0.03480766035230196,,-0.03673707983925772,0.4183350895679663,-0.0882735138115957,10
