rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
11,6407,6407.T,ＣＫＤ,プライム,機械,238,True,jpx_liquidity,JPX流動性,46.0,1.0,値上がり率,2026-06-15,7390.0,0.11295180722891573,0.26758147512864494,0.1861958266452648,0.6815714689984593,1.6819466916242063,6462.5,5774.515791829427,0.14352030947775618,0.2797609819435216,0.0,0.7361163216209049,1322600.0,876640.0,1.5087150939952547,5588580950.0,243,18.23333333333333,17.28,9.716666666666667,9.7,9.35,6.05,7.573333333333334,6.661666666666667,0.8516666666666667,85.42,45.23,19.05,13.62,v4,True,True,True,True,True,True,True,True,True,True,True,True
12,6752,6752.T,パナソニック　ホールディングス,プライム,電気機器,38,True,jpx_liquidity,JPX流動性,43.0,1.0,出来高,2026-06-15,4010.0,0.0552631578947369,0.12199216564073856,0.1977299880525687,0.5717925282399412,0.8576058258279655,3648.25,3171.0957071940106,0.09915713013088467,0.26454713772997596,0.0,0.6564540081826693,11714100.0,12114455.0,0.9669522896407639,45389282900.0,243,18.466666666666665,16.71,9.133333333333333,9.3,9.25,9.383333333333333,5.1066666666666665,6.661666666666667,1.1433333333333333,85.16,44.31,18.55,14.49,v4,True,True,True,True,True,True,True,False,True,True,True,True
13,6981,6981.T,村田製作所,プライム,電気機器,3,True,jpx_liquidity,JPX流動性,17.0,2.0,値上がり率・出来高,2026-06-15,10060.0,0.1757830762038335,0.15486166915394328,0.6302058013287959,1.8153328102010118,1.986736900259904,8678.2,5923.7602945963545,0.15922656772141686,0.6982456243505866,-0.040991420400381284,1.209433120970407,28135700.0,37894535.0,0.742473815815394,352479904945.0,243,19.816666666666666,17.835,9.908333333333333,9.75,9.908333333333333,9.908333333333333,2.3333333333333335,5.471666666666667,0.19833333333333333,85.13,47.56,19.66,12.24,v4,True,True,True,True,True,True,True,False,True,False,False,False
14,6146,6146.T,ディスコ,プライム,機械,11,True,jpx_liquidity,JPX流動性,140.0,1.0,出来高,2026-06-15,85250.0,0.0669586983729662,0.26333728512151744,0.34251968503937014,0.22618038965387832,0.7564953667847081,68795.5,69154.94075520833,0.23917988821943292,0.232739108283879,0.0,0.7786343568239608,4361400.0,1807365.0,2.413126291590243,135611622900.0,243,19.433333333333334,12.45,8.95,9.908333333333333,9.05,9.908333333333333,7.926666666666666,6.661666666666667,0.7116666666666666,85.0,40.83,18.96,17.84,v4,True,True,True,True,True,True,True,True,True,False,True,False
15,6762,6762.T,ＴＤＫ,プライム,電気機器,27,True,jpx_liquidity,JPX流動性,27.0,2.0,値上がり率・出来高,2026-06-15,3906.0,0.11472602739726034,0.0514131897711978,0.31183879093198996,0.9045490804546117,0.6855606580976408,3670.925,2845.5874755859377,0.06403699340084579,0.3726515292578423,-0.04986621260034052,0.8624032741722794,18771500.0,17584535.0,1.0675005054156963,67780482745.0,243,19.26666666666667,17.55,8.716666666666667,8.3,9.7,9.566666666666668,5.826666666666667,5.308333333333333,0.5016666666666667,84.74,45.53,18.0,15.39,v4,True,True,True,True,True,True,True,False,True,True,False,False
16,6920,6920.T,レーザーテック,プライム,電気機器,12,True,jpx_liquidity,JPX流動性,64.0,2.0,値上がり率・出来高,2026-06-15,48300.0,0.09772727272727266,0.23529411764705888,0.26472898664571876,0.2777777777777777,0.5609221089793734,40571.5,39888.333333333336,0.19049086181186303,0.21088037437847307,0.0,0.8356394278088635,4483200.0,2956445.0,1.5164158304991298,123724643600.0,243,19.033333333333335,13.5,8.266666666666667,9.908333333333333,8.816666666666668,9.908333333333333,7.586666666666668,6.661666666666667,0.56,84.24,40.8,18.73,17.5,v4,True,True,True,True,True,True,True,True,True,False,False,False
17,5333,5333.T,ＮＧＫ,プライム,ガラス・土石製品,131,True,jpx_liquidity,JPX流動性,87.0,1.0,値上がり率,2026-06-15,6635.0,0.08468203367663896,0.08913328956007871,0.18292030665002668,0.6599640716229405,0.9525007881283869,6118.1,5084.311730957032,0.0844870139422369,0.3049947271331215,0.0,0.5920243656211659,1780700.0,1840550.0,0.9674825459781043,11457171515.0,243,18.166666666666664,17.13,9.216666666666665,9.033333333333333,9.516666666666667,7.833333333333332,5.12,6.661666666666667,1.5633333333333332,84.24,44.51,18.55,12.95,v4,True,True,True,True,True,True,True,False,True,True,True,True
18,6323,6323.T,ローツェ,プライム,機械,206,True,jpx_liquidity,JPX流動性,100.0,1.0,値上がり率,2026-06-15,4505.0,0.08085412667946268,0.14282090309487572,0.22685185185185186,0.5721514569883093,1.1081973405094572,3954.85,3574.9333333333334,0.13910767791445955,0.26016335968969106,0.0,0.7186234695259786,1768000.0,1671340.0,1.0578338339296611,6815084980.0,243,18.7,16.74,9.416666666666668,9.666666666666668,9.2,6.583333333333332,5.72,6.661666666666667,0.9333333333333335,83.62,44.86,18.87,12.3,v4,True,True,True,True,True,True,True,False,True,True,True,True
19,6387,6387.T,サムコ,プライム,機械,446,True,jpx_liquidity,JPX流動性,4.0,1.0,値上がり率,2026-06-15,15200.0,0.2357723577235773,0.2925170068027212,0.2541254125412542,0.9289340101522843,2.6982968369829683,11700.0,10554.0,0.2991452991452992,0.44021224180405527,0.0,1.2444635463757472,480600.0,132905.0,3.6161167751401377,1858166750.0,243,18.933333333333334,17.610000000000003,9.908333333333333,9.908333333333333,9.783333333333335,2.583333333333334,7.926666666666666,6.661666666666667,0.15166666666666667,83.47,46.45,19.69,10.51,v4,True,True,True,True,True,True,True,True,True,False,False,False
20,8316,8316.T,三井住友フィナンシャルグループ,プライム,銀行業,14,True,jpx_liquidity,JPX流動性,29.0,1.0,出来高,2026-06-15,6519.0,0.017639712769278892,0.06781326781326791,0.1372993719469644,0.30288810556127377,0.33092129050471963,6078.05,5653.417944335937,0.07254793889487576,0.15310774193358112,0.0,0.26694423892809865,18028200.0,15719530.0,1.1468663503298127,96783665220.0,243,17.333333333333336,14.4,6.75,8.716666666666667,8.083333333333332,9.783333333333335,6.453333333333332,6.661666666666667,5.25,83.43,38.48,16.8,16.24,v4,True,True,True,True,True,True,True,False,True,True,True,True
