group_name,group_value,metric_key,metric_label,sample_count,valid_count,avg_return,median_return,win_rate
全体,毎日厳選,next_open,翌日寄付ギャップ,25,20,0.009706054718993723,0.00477455968949847,0.75
全体,毎日厳選,1d,1日リターン,25,20,0.009644549962493754,-0.0008274727756360511,0.5
全体,毎日厳選,3d,3日リターン,25,10,0.05527230610815633,0.03900625643722744,0.7
全体,毎日厳選,5d,5日リターン,25,5,0.058708612256616076,0.05055721663495505,0.8
全体,毎日厳選,10d,10日リターン,25,0,,,
全体,毎日厳選,open_buy_1d,翌日寄付買い1日,25,20,9.371747951479881e-05,-0.005416140649462997,0.3
全体,毎日厳選,open_buy_3d,翌日寄付買い3日,25,10,0.05141880601524525,0.039555649970100304,0.6
全体,毎日厳選,open_buy_5d,翌日寄付買い5日,25,5,0.056835738777852376,0.044594594594594694,0.8
全体,毎日厳選,excess_5d,TOPIX超過5日,25,0,,,
全体,毎日厳選,net_5d_10bps,コスト後5日（片道10bp）,25,5,0.05472312413603555,0.042506450000000306,0.8
市場,スタンダード,next_open,翌日寄付ギャップ,3,3,0.005728689152974531,0.0015408320493066618,0.6666666666666666
市場,スタンダード,1d,1日リターン,3,3,-0.00610072449710819,-0.00421940928270037,0.0
市場,スタンダード,3d,3日リターン,3,1,-0.0033003300330033403,-0.0033003300330033403,0.0
市場,スタンダード,5d,5日リターン,3,0,,,
市場,スタンダード,10d,10日リターン,3,0,,,
市場,スタンダード,open_buy_1d,翌日寄付買い1日,3,3,-0.011671587679479253,-0.004615384615384577,0.0
市場,スタンダード,open_buy_3d,翌日寄付買い3日,3,1,-0.020010816657652808,-0.020010816657652808,0.0
市場,スタンダード,open_buy_5d,翌日寄付買い5日,3,0,,,
市場,スタンダード,excess_5d,TOPIX超過5日,3,0,,,
市場,スタンダード,net_5d_10bps,コスト後5日（片道10bp）,3,0,,,
市場,プライム,next_open,翌日寄付ギャップ,22,17,0.010407942760055933,0.005124340617935097,0.7647058823529411
市場,プライム,1d,1日リターン,22,17,0.01242312780830586,0.003284072249589487,0.5882352941176471
市場,プライム,3d,3日リターン,22,9,0.06178037679050741,0.04595238095238097,0.7777777777777778
市場,プライム,5d,5日リターン,22,5,0.058708612256616076,0.05055721663495505,0.8
市場,プライム,10d,10日リターン,22,0,,,
市場,プライム,open_buy_1d,翌日寄付買い1日,22,17,0.0021699478016902196,-0.005849268841394806,0.35294117647058826
市場,プライム,open_buy_3d,翌日寄付買い3日,22,9,0.05935543075667836,0.04229279628195193,0.6666666666666666
市場,プライム,open_buy_5d,翌日寄付買い5日,22,5,0.056835738777852376,0.044594594594594694,0.8
市場,プライム,excess_5d,TOPIX超過5日,22,0,,,
市場,プライム,net_5d_10bps,コスト後5日（片道10bp）,22,5,0.05472312413603555,0.042506450000000306,0.8
業種,ガラス・土石製品,next_open,翌日寄付ギャップ,3,3,0.011598726423593794,0.005124340617935097,1.0
