code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
8593,三菱ＨＣキャピタル,その他金融業,プライム,8593.T,三菱ＨＣキャピタル(株),105,1,出来高,146,2026-06-22,2026-06-15,3,1,111.0,6.0
3929,ソーシャルワイヤー,情報・通信業,グロース,3929.T,ソーシャルワイヤー(株),106,1,出来高増加率,145,2026-06-22,2026-06-22,1,1,,
4714,リソー教育グループ,サービス業,プライム,4714.T,(株)リソー教育グループ,106,1,値上がり率,145,2026-06-22,2026-06-22,1,1,,
6506,安川電機,電気機器,プライム,6506.T,(株)安川電機,106,1,出来高,145,2026-06-22,2026-06-17,3,1,103.0,-3.0
5020,ＥＮＥＯＳホールディングス,石油・石炭製品,プライム,5020.T,ＥＮＥＯＳホールディングス(株),107,1,出来高,144,2026-06-22,2026-06-15,5,4,27.0,-80.0
5805,ＳＷＣＣ,非鉄金属,プライム,5805.T,ＳＷＣＣ(株),107,1,値上がり率,144,2026-06-22,2026-06-22,1,1,,
6993,大黒屋ホールディングス,小売業,スタンダード,6993.T,大黒屋ホールディングス(株),108,1,出来高,143,2026-06-22,2026-06-17,3,1,126.0,18.0
7501,ティムコ,卸売業,スタンダード,7501.T,(株)ティムコ,109,1,出来高増加率,142,2026-06-22,2026-06-22,1,1,,
9130,共栄タンカー,海運業,スタンダード,9130.T,共栄タンカー(株),109,1,値上がり率,142,2026-06-22,2026-06-22,1,1,,
184A,学びエイド,情報・通信業,グロース,184A.T,(株)学びエイド,110,1,値上がり率,141,2026-06-22,2026-06-22,1,1,,
543A,ＡＲＣＨＩＯＮ,輸送用機器,プライム,543A.T,ＡＲＣＨＩＯＮ(株),110,1,出来高,141,2026-06-22,2026-06-15,5,4,38.0,-72.0
8996,ハウスフリーダム,不動産業,スタンダード,8996.T,(株)ハウスフリーダム,110,1,出来高増加率,141,2026-06-22,2026-06-22,1,1,,
3622,ネットイヤーグループ,情報・通信業,スタンダード,3622.T,ネットイヤーグループ(株),111,2,値上がり率・出来高増加率,240,2026-06-22,2026-06-22,1,1,,
6085,アーキテクツ・スタジオ・ジャパン,サービス業,グロース,6085.T,アーキテクツ・スタジオ・ジャパン(株),111,1,出来高,140,2026-06-22,2026-06-22,1,1,,
9250,ＧＲＣＳ,サービス業,グロース,9250.T,(株)ＧＲＣＳ,111,1,出来高増加率,140,2026-06-22,2026-06-22,1,1,,
6384,昭和真空,機械,スタンダード,6384.T,(株)昭和真空,112,1,値上がり率,139,2026-06-22,2026-06-22,1,1,,
8410,セブン銀行,銀行業,プライム,8410.T,(株)セブン銀行,112,1,出来高,139,2026-06-22,2026-06-15,4,3,70.0,-42.0
9723,京都ホテル,サービス業,スタンダード,9723.T,(株)京都ホテル,112,1,出来高増加率,139,2026-06-22,2026-06-15,2,1,62.0,-50.0
4736,日本ラッド,情報・通信業,スタンダード,4736.T,日本ラッド(株),113,1,出来高増加率,138,2026-06-22,2026-06-22,1,1,,
4968,荒川化学工業,化学,プライム,4968.T,荒川化学工業(株),113,1,値上がり率,138,2026-06-22,2026-06-18,2,1,21.0,-92.0
7182,ゆうちょ銀行,銀行業,プライム,7182.T,(株)ゆうちょ銀行,113,1,出来高,138,2026-06-22,2026-06-15,5,4,90.0,-23.0
4091,日本酸素ホールディングス,化学,プライム,4091.T,日本酸素ホールディングス(株),114,1,値上がり率,137,2026-06-22,2026-06-22,1,1,,
6594,ニデック,電気機器,プライム,6594.T,ニデック(株),114,1,出来高,137,2026-06-22,2026-06-15,5,4,63.0,-51.0
9241,フューチャーリンクネットワーク,サービス業,グロース,9241.T,(株)フューチャーリンクネットワーク,115,1,値上がり率,136,2026-06-22,2026-06-22,1,1,,
2502,アサヒグループホールディングス,食料品,プライム,2502.T,アサヒグループホールディングス(株),116,1,出来高,135,2026-06-22,2026-06-15,5,4,115.0,-1.0
6444,サンデン,機械,スタンダード,6444.T,サンデン(株),116,1,値上がり率,135,2026-06-22,2026-06-22,1,1,,
3382,セブン＆アイ・ホールディングス,小売業,プライム,3382.T,(株)セブン＆アイ・ホールディングス,117,1,出来高,134,2026-06-22,2026-06-15,5,4,55.0,-62.0
3623,ビリングシステム,情報・通信業,グロース,3623.T,ビリングシステム(株),117,1,出来高増加率,134,2026-06-22,2026-06-22,1,1,,
146A,コロンビア・ワークス,不動産業,スタンダード,146A.T,コロンビア・ワークス(株),118,1,値上がり率,133,2026-06-22,2026-06-15,2,1,138.0,20.0
3750,ＡＤＲ１２０Ｓ,情報・通信業,スタンダード,3750.T,(株)ＡＤＲ１２０Ｓ,118,1,出来高増加率,133,2026-06-22,2026-06-22,1,1,,
6902,デンソー,輸送用機器,プライム,6902.T,(株)デンソー,118,1,出来高,133,2026-06-22,2026-06-15,5,4,48.0,-70.0
6522,アスタリスク,電気機器,グロース,6522.T,(株)アスタリスク,119,1,出来高,132,2026-06-22,2026-06-18,3,3,13.0,-106.0
9539,京葉瓦斯,電気・ガス業,スタンダード,9539.T,京葉瓦斯(株),119,1,出来高増加率,132,2026-06-22,2026-06-22,1,1,,
2181,パーソルホールディングス,サービス業,プライム,2181.T,パーソルホールディングス(株),121,1,出来高,130,2026-06-22,2026-06-15,5,4,67.0,-54.0
2737,トーメンデバイス,卸売業,プライム,2737.T,(株)トーメンデバイス,121,1,値上がり率,130,2026-06-22,2026-06-22,1,1,,
4385,メルカリ,情報・通信業,プライム,4385.T,(株)メルカリ,122,1,出来高,129,2026-06-22,2026-06-22,1,1,,
4975,ＪＣＵ,化学,プライム,4975.T,(株)ＪＣＵ,122,1,値上がり率,129,2026-06-22,2026-06-22,1,1,,
302A,ビースタイルホールディングス,サービス業,グロース,302A.T,(株)ビースタイルホールディングス,123,1,値上がり率,128,2026-06-22,2026-06-22,1,1,,
5616,雨風太陽,情報・通信業,グロース,5616.T,(株)雨風太陽,123,1,出来高増加率,128,2026-06-22,2026-06-22,1,1,,
3375,ＺＯＡ,小売業,スタンダード,3375.T,(株)ＺＯＡ,124,1,値上がり率,127,2026-06-22,2026-06-22,1,1,,
7269,スズキ,輸送用機器,プライム,7269.T,スズキ(株),124,1,出来高,127,2026-06-22,2026-06-15,5,4,78.0,-46.0
402A,アクセルスペースホールディングス,輸送用機器,グロース,402A.T,(株)アクセルスペースホールディングス,125,1,出来高,126,2026-06-22,2026-06-15,2,1,94.0,-31.0
4707,キタック,サービス業,スタンダード,4707.T,(株)キタック,125,1,出来高増加率,126,2026-06-22,2026-06-19,2,2,52.0,-73.0
6871,日本マイクロニクス,電気機器,プライム,6871.T,(株)日本マイクロニクス,125,1,値上がり率,126,2026-06-22,2026-06-22,1,1,,
2413,エムスリー,サービス業,プライム,2413.T,エムスリー(株),126,1,出来高,125,2026-06-22,2026-06-18,3,3,83.0,-43.0
6034,ＭＲＴ,サービス業,グロース,6034.T,ＭＲＴ(株),126,1,出来高増加率,125,2026-06-22,2026-06-22,1,1,,
7777,スリー・ディー・マトリックス,精密機器,グロース,7777.T,(株)スリー・ディー・マトリックス,126,1,値上がり率,125,2026-06-22,2026-06-15,2,1,62.0,-64.0
141A,トライアルホールディングス,小売業,グロース,141A.T,(株)トライアルホールディングス,127,1,値上がり率,124,2026-06-22,2026-06-22,1,1,,
4568,第一三共,医薬品,プライム,4568.T,第一三共(株),127,1,出来高,124,2026-06-22,2026-06-15,5,4,54.0,-73.0
6181,タメニー,サービス業,グロース,6181.T,タメニー(株),127,1,出来高増加率,124,2026-06-22,2026-06-19,2,2,94.0,-33.0
1382,ホーブ,水産・農林業,スタンダード,1382.T,(株)ホーブ,128,1,出来高増加率,123,2026-06-22,2026-06-22,1,1,,
268A,リガク・ホールディングス,精密機器,プライム,268A.T,リガク・ホールディングス(株),128,1,出来高,123,2026-06-22,2026-06-15,4,2,47.0,-81.0
6101,ツガミ,機械,プライム,6101.T,(株)ツガミ,128,1,値上がり率,123,2026-06-22,2026-06-15,2,1,126.0,-2.0
5721,エスクリプトエナジー,非鉄金属,スタンダード,5721.T,エスクリプトエナジー(株),129,1,出来高,122,2026-06-22,2026-06-18,2,1,102.0,-27.0
6185,ＳＭＮ,サービス業,スタンダード,6185.T,ＳＭＮ(株),129,1,値上がり率,122,2026-06-22,2026-06-19,2,2,107.0,-22.0
7877,永大化工,化学,スタンダード,7877.T,永大化工(株),129,1,出来高増加率,122,2026-06-22,2026-06-22,1,1,,
6965,浜松ホトニクス,電気機器,プライム,6965.T,浜松ホトニクス(株),130,1,出来高,121,2026-06-22,2026-06-15,3,1,107.0,-23.0
7284,盟和産業,輸送用機器,スタンダード,7284.T,盟和産業(株),130,1,値上がり率,121,2026-06-22,2026-06-22,1,1,,
4661,オリエンタルランド,サービス業,プライム,4661.T,(株)オリエンタルランド,131,1,出来高,120,2026-06-22,2026-06-15,5,4,96.0,-35.0
7074,トゥエンティーフォーセブンホールディングス,サービス業,グロース,7074.T,(株)トゥエンティーフォーセブンホールディングス,131,1,値上がり率,120,2026-06-22,2026-06-22,1,1,,
2215,第一屋製パン,食料品,スタンダード,2215.T,第一屋製パン(株),132,1,出来高増加率,119,2026-06-22,2026-06-22,1,1,,
2801,キッコーマン,食料品,プライム,2801.T,キッコーマン(株),132,1,出来高,119,2026-06-22,2026-06-15,3,2,140.0,8.0
7819,粧美堂,その他製品,スタンダード,7819.T,粧美堂(株),132,1,値上がり率,119,2026-06-22,2026-06-22,1,1,,
3195,ジェネレーションパス,小売業,スタンダード,3195.T,(株)ジェネレーションパス,133,1,値上がり率,118,2026-06-22,2026-06-15,2,1,85.0,-48.0
7261,マツダ,輸送用機器,プライム,7261.T,マツダ(株),133,1,出来高,118,2026-06-22,2026-06-15,5,4,95.0,-38.0
9229,サンウェルズ,サービス業,プライム,9229.T,(株)サンウェルズ,133,1,出来高増加率,118,2026-06-22,2026-06-17,2,1,107.0,-26.0
2134,北浜キャピタルパートナーズ,サービス業,スタンダード,2134.T,北浜キャピタルパートナーズ(株),134,1,出来高,117,2026-06-22,2026-06-19,2,2,9.0,-125.0
4680,ラウンドワン,サービス業,プライム,4680.T,(株)ラウンドワン,134,1,値上がり率,117,2026-06-22,2026-06-22,1,1,,
5250,ＧＭＯプライム・ストラテジー,情報・通信業,スタンダード,5250.T,ＧＭＯプライム・ストラテジー(株),134,1,出来高増加率,117,2026-06-22,2026-06-22,1,1,,
6392,ヤマダコーポレーション,機械,スタンダード,6392.T,(株)ヤマダコーポレーション,135,1,出来高増加率,116,2026-06-22,2026-06-17,2,1,83.0,-52.0
6966,三井ハイテック,電気機器,プライム,6966.T,(株)三井ハイテック,135,1,出来高,116,2026-06-22,2026-06-15,4,1,80.0,-55.0
9304,澁澤倉庫,倉庫・運輸関連業,プライム,9304.T,澁澤倉庫(株),135,1,値上がり率,116,2026-06-22,2026-06-22,1,1,,
2334,イオレ,サービス業,グロース,2334.T,(株)イオレ,136,1,出来高,115,2026-06-22,2026-06-18,3,3,109.0,-27.0
2436,共同ピーアール,サービス業,スタンダード,2436.T,共同ピーアール(株),136,1,値上がり率,115,2026-06-22,2026-06-22,1,1,,
6239,ナガオカ,機械,スタンダード,6239.T,(株)ナガオカ,136,1,出来高増加率,115,2026-06-22,2026-06-22,1,1,,
2721,ジェイホールディングス,卸売業,スタンダード,2721.T,(株)ジェイホールディングス,137,1,出来高増加率,114,2026-06-22,2026-06-18,2,1,34.0,-103.0
7936,アシックス,その他製品,プライム,7936.T,(株)アシックス,137,1,出来高,114,2026-06-22,2026-06-19,2,2,128.0,-9.0
8360,山梨中央銀行,銀行業,プライム,8360.T,(株)山梨中央銀行,137,1,値上がり率,114,2026-06-22,2026-06-22,1,1,,
7733,オリンパス,精密機器,プライム,7733.T,オリンパス(株),138,1,出来高,113,2026-06-22,2026-06-15,5,4,137.0,-1.0
9346,ココルポート,サービス業,グロース,9346.T,(株)ココルポート,138,1,値上がり率,113,2026-06-22,2026-06-22,1,1,,
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,プライム,3445.T,(株)ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,139,1,値上がり率,112,2026-06-22,2026-06-22,1,1,,
6525,ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,電気機器,プライム,6525.T,(株)ＫＯＫＵＳＡＩ　ＥＬＥＣＴＲＩＣ,139,1,出来高,112,2026-06-22,2026-06-15,5,4,78.0,-61.0
3104,富士紡ホールディングス,繊維製品,プライム,3104.T,富士紡ホールディングス(株),140,1,値上がり率,111,2026-06-22,2026-06-18,2,1,148.0,8.0
