rank,code,ticker,name,market,industry,liquidity_rank,in_yahoo_pool,universe_source,universe_label,best_yahoo_rank,ranking_hits,ranking_sources,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,4689,4689.T,ＬＩＮＥヤフー,プライム,情報・通信業,122,True,jpx_liquidity,JPX流動性,24.0,1.0,出来高,2026-09-01,560.5999755859375,0.008273337384779644,0.03757169767093771,0.2555430584231524,0.3740195480047488,0.4518019432766549,512.379995727539,458.0566660563151,0.09410980182770379,0.22386599110646999,0.0,0.2619709181223337,21491700.0,21265780.0,1.0106236404213718,10808425197.703094,297,18.96666666666667,17.070000000000004,9.133333333333333,9.566666666666668,9.45,7.9833333333333325,5.76,6.5683333333333325,4.76,89.26,45.17,19.02,13.74,v7,True,True,True,True,True,True,True,False,True,True,True,True
2,7832,7832.T,バンダイナムコホールディングス,プライム,その他製品,77,False,jpx_liquidity,JPX流動性,,,,2026-09-01,5780.0,0.010489510489510412,0.03658536585365857,0.27509375689388915,0.5409224206878165,0.4185068903535052,5363.8,4436.566666666667,0.07759424288750516,0.302809229359039,0.0,0.5538106561936582,2889500.0,3170185.0,0.91146100306449,16998828290.0,297,19.133333333333336,17.835,9.016666666666666,9.2,9.8,8.733333333333333,4.76,6.5683333333333325,1.3066666666666669,86.35,45.98,19.0,13.49,v7,True,True,True,True,True,True,True,False,True,True,True,True
3,6448,6448.T,ブラザー工業,プライム,電気機器,237,False,jpx_liquidity,JPX流動性,,,,2026-09-01,5052.0,0.02975947818997149,0.0841201716738198,0.26331582895723926,0.3343898573692552,0.6721708338158279,4597.05,4078.1,0.09896564100890792,0.23881219195213466,0.0,0.38172746660510876,1143300.0,1064050.0,1.0744795827263756,5007246330.0,297,19.033333333333335,16.83,9.533333333333335,9.616666666666667,9.6,6.066666666666667,6.293333333333333,6.5683333333333325,2.7183333333333333,86.26,45.4,19.22,12.36,v7,True,True,True,True,True,True,True,False,True,True,True,True
4,6532,6532.T,ベイカレント,プライム,サービス業,152,False,jpx_liquidity,JPX流動性,,,,2026-09-01,8143.0,-0.0059814453125,0.0512217771409309,0.16494992846924172,0.36375816446156417,0.7085606378514477,7516.949145507812,6695.816381835937,0.08328523212988892,0.21613251254767185,-0.0059814453125,0.356425199389165,1127300.0,1092170.0,1.032165322248368,8236734690.0,297,17.5,16.92,9.65,9.333333333333332,9.4,7.4833333333333325,6.013333333333334,5.821666666666667,3.1266666666666665,85.25,44.07,18.73,13.5,v7,True,True,True,True,True,True,True,False,True,True,True,True
5,9507,9507.T,四国電力,プライム,電気・ガス業,438,True,jpx_liquidity,JPX流動性,41.0,1.0,値上がり率,2026-09-01,2077.0,0.05538617886178865,0.08686551543694399,0.20440707451435203,0.46577275935074103,0.30024849848622104,1841.4,1615.675,0.1279461279461278,0.28553081529391733,0.0,0.26927349967332853,1780100.0,981640.0,1.8133939122285156,1840668440.0,297,18.266666666666666,17.49,7.85,9.908333333333333,9.766666666666667,2.716666666666667,7.706666666666667,6.5683333333333325,4.5616666666666665,84.83,43.61,19.68,10.42,v7,True,True,True,True,True,True,True,True,True,True,True,True
6,9506,9506.T,東北電力,プライム,電気・ガス業,284,True,jpx_liquidity,JPX流動性,82.0,2.0,値上がり率・出来高,2026-09-01,1384.5,0.040977443609022446,0.054054054054053946,0.16295674086518264,0.39383873654951485,0.22357244250296193,1275.1,1150.3166666666666,0.08579719237706862,0.2035816224517888,0.0,0.24456988868995205,5362100.0,2812500.0,1.9065244444444445,3660053175.0,297,17.366666666666664,17.160000000000004,6.766666666666665,9.45,9.283333333333333,5.283333333333332,7.786666666666667,6.5683333333333325,5.098333333333334,84.76,41.29,18.73,13.07,v7,True,True,True,True,True,True,True,True,True,True,True,True
7,9508,9508.T,九州電力,プライム,電気・ガス業,305,True,jpx_liquidity,JPX流動性,14.0,2.0,値上がり率・出来高,2026-09-01,2192.5,0.08164775530340407,0.12234450985410805,0.19319727891156457,0.3344491783323189,0.24691914272642768,1906.15,1775.5916666666667,0.1502242740602786,0.23479966771639504,0.0,0.354978681287952,4246600.0,1656050.0,2.5642945563237824,3347984200.0,297,18.066666666666666,16.86,7.133333333333335,9.908333333333333,9.533333333333335,4.933333333333334,7.926666666666666,6.5683333333333325,3.185,84.12,42.06,19.44,12.86,v7,True,True,True,True,True,True,True,True,True,True,True,True
8,6098,6098.T,リクルートホールディングス,プライム,サービス業,21,False,jpx_liquidity,JPX流動性,,,,2026-09-01,17495.0,-0.03952786165248423,0.053598313760915284,0.4125958821154623,0.6512505899008967,1.5033720290773185,15907.75,13177.5,0.09977840989454823,0.3276418136975905,-0.03952786165248423,0.8445214580696468,3072300.0,4229730.0,0.7263584200409955,67612260075.0,297,19.816666666666666,17.835,9.908333333333333,9.65,9.908333333333333,9.666666666666668,2.533333333333333,4.433333333333334,0.29166666666666663,84.04,47.56,19.56,12.2,v7,True,True,True,True,True,True,True,False,True,True,False,False
9,4180,4180.T,Ａｐｐｉｅｒ　Ｇｒｏｕｐ,プライム,情報・通信業,370,False,jpx_liquidity,JPX流動性,,,,2026-09-01,1419.0,-0.012526096033402934,0.10686427457098291,0.45240532241555775,0.5144076840981857,0.7034813925570229,1189.75,970.1333333333333,0.1926875393990335,0.46268554150632224,-0.012526096033402934,0.8036506118141797,2226600.0,1817995.0,1.2247558436629364,2376711355.0,297,19.816666666666666,17.64,9.633333333333335,9.908333333333333,9.908333333333333,3.85,6.973333333333334,5.53,0.35,83.61,47.09,19.82,10.82,v7,True,True,True,True,True,True,True,True,True,False,False,False
10,9503,9503.T,関西電力,プライム,電気・ガス業,135,True,jpx_liquidity,JPX流動性,48.0,2.0,値上がり率・出来高,2026-09-01,2955.0,0.051414339085571914,0.1402662550646343,0.2034208918753817,0.2622810764630499,0.18796873078419107,2505.15,2388.1666666666665,0.17957008562361532,0.23735082699420773,0.0,0.4486490661934608,7106300.0,3737010.0,1.9016004773870019,9802092287.5,297,18.23333333333333,15.42,6.333333333333332,9.908333333333333,9.583333333333336,7.766666666666665,7.773333333333333,6.5683333333333325,1.9833333333333332,83.57,39.99,19.49,15.54,v7,True,True,True,True,True,True,True,True,True,True,True,True
