date,equity,daily_return,cash,market_value,active_positions,buy_value,sell_value,daily_turnover,drawdown,benchmark_equity,excess_equity
2026-06-16,0.9990793906839004,-0.0009206093160996076,0.8,0.1990793906839003,5,0.19980019980019983,0.0,0.19980019980019983,0.0,,
2026-06-17,1.0007573731066106,0.0016795286123973963,0.8,0.20075737310661063,5,0.0,0.0,0.0,0.0,,
2026-06-18,1.01224585134756,0.011479783761458862,0.5998485253786779,0.4123973259688821,9,0.19995152309822395,0.0,0.19980019980019986,0.0,,
2026-06-19,1.0104671957635274,-0.0017571379340945992,0.39739935510916596,0.6130678406543615,14,0.20224692334616587,0.0,0.19980019980019983,-0.0017571379340945992,,
2026-06-22,1.0354026600407553,0.02467716357519767,0.4062507517285034,0.629151908312252,13,0.2018915476051004,0.21115599176380673,0.40876887552673186,0.0,,
2026-06-23,0.9973931102934765,-0.036709920897617376,0.1991702197203523,0.7982228905731242,18,0.20687365834980131,0.0,0.19980019980019986,-0.036709920897617376,,
2026-06-24,0.9919025846867805,-0.00550487621182838,0.2101352807252601,0.7817673039615204,19,0.19897124847188044,0.21034562635161175,0.41038670770750896,-0.042012713539158364,,
2026-06-25,1.0223199515631916,0.03066567962015765,0.21833856616520395,0.8039813853979876,19,0.19818233460275336,0.20679059297027014,0.4082789316462003,-0.012635382332366052,,
2026-06-26,1.006872093094895,-0.01511059081325361,0.21165687871019045,0.7952152143847045,20,0.20425973058205626,0.19798028314076557,0.39345804912422133,-0.02755504505342632,,
2026-06-29,1.011547603106016,0.004643598768091506,0.20856059162002738,0.8029870114859885,20,0.2011732453736054,0.19847660813695284,0.396922167424589,-0.02303940085859968,,
2026-06-30,1.013737863190281,0.0021652565608771823,0.2030536338135462,0.8106842293767347,20,0.20210741320799525,0.19699956237709915,0.39455085886182034,-0.020924030511590197,,
2026-07-01,1.025913065606828,0.012010207824566299,0.199037590616422,0.826875474990406,20,0.20254502761044574,0.1989304599008328,0.39603481539874247,-0.009165124641995592,,
2026-07-02,1.0090052977055621,-0.016480702379265355,0.20031270960052866,0.8086925881050334,20,0.1988387518645575,0.20051322282335202,0.3892649270936935,-0.025494779329767403,,
2026-07-03,1.0277531328098217,0.018580512061622922,0.20708604887370363,0.8206670839361181,20,0.20011259700352516,0.20729334221591952,0.4037698713236388,-0.007387973322989572,,
2026-07-06,1.0309089289937934,0.003070578024261472,0.21261486928977238,0.818294059704021,20,0.20534528128068372,0.21129073771574883,0.4053853067393452,-0.00434008064725766,,
2026-07-07,1.0040548478996179,-0.026048936369564846,0.20435629790133056,0.7996985499982874,20,0.2059758099887699,0.19812133574606294,0.391981419861449,-0.030275962532203216,,
2026-07-08,0.9935766466752269,-0.010435885296814496,0.1963354491106763,0.7972411975645506,20,0.20061035922070286,0.1929831038931625,0.39200394673380984,-0.04039589135678101,,
2026-07-09,0.9917306585073299,-0.0018579222590167088,0.20101117211015815,0.7907194863971717,20,0.19613930980087546,0.20121238449465284,0.3999205251302688,-0.04217876119007302,,
2026-07-10,0.9924929388727682,0.0007686364829999626,0.20155443942458073,0.7909384994481875,20,0.19814798371774828,0.19908848750339195,0.40054874558282527,-0.04144254484173149,,
2026-07-13,0.9781936686052064,-0.014407427708052367,0.19969785926914158,0.7784958093360649,20,0.19830028748706657,0.19683884646558006,0.3981279044679442,-0.055252892080938865,,
2026-07-14,0.9887526386064887,0.010794355289927449,0.2069668795667644,0.7817857590397242,20,0.19544329043061068,0.20311086488354765,0.40743890305735825,-0.04505495613892907,,
2026-07-15,0.9972174212438764,0.008561072109317003,0.2032213687282889,0.7939960525155875,20,0.1975529747465512,0.1941992160989211,0.3962084909301414,-0.0368796027579994,,
2026-07-16,0.9804340992506837,-0.016830153220004918,0.19347638710994033,0.7869577121407434,20,0.19924424000876656,0.18988839102144814,0.3902184445843627,-0.05308906661289425,,
2026-07-17,0.9453563208506099,-0.035777803349437365,0.18819667561875367,0.7571596452318563,20,0.19328310400593446,0.1883850606794331,0.3892848738911316,-0.08696745977705045,,
2026-07-21,0.9534538898803585,0.008565626368756352,0.18785001001221072,0.7656038798681478,20,0.1880086669518019,0.18803804806027097,0.3977830440417584,-0.07914676417498401,,
2026-07-22,0.943954767805838,-0.009962854182400505,0.18593526896473944,0.7580194988410985,20,0.18766234766454618,0.18612139035509453,0.39203126861912946,-0.0883210906869003,,
2026-07-23,0.9519108250810352,0.008428430626703287,0.19965636976275633,0.7522544553182788,20,0.18574951944529416,0.19985622598874508,0.40850023601274343,-0.08063706824592642,,
2026-07-24,0.9484729843293342,-0.0036115155549453215,0.20182695891408972,0.7466460254152445,20,0.1901919730431639,0.19274549966720766,0.40228292674134947,-0.08395736177459634,,
2026-07-27,0.9672187699707797,0.019764174574461446,0.2035001483400094,0.7637186216307703,20,0.18950509177409275,0.19155934563742397,0.40176625344892414,-0.06585253515505918,,
2026-07-28,0.9487400328816753,-0.01910502325100938,0.1976430564723914,0.7510969764092839,19,0.1932505034906653,0.18777443656310103,0.39393873638874616,-0.08369944419079323,,
2026-07-29,0.9586259046703163,0.01042000068091764,0.18931627003375373,0.7693096346365625,19,0.18955844812820688,0.18160282296065805,0.39121493583601663,-0.07415159177533592,,
2026-07-30,0.942705454054341,-0.016607573964371958,0.18439754237142433,0.7583079116829167,19,0.1891271428908629,0.1845821244959203,0.389838481900097,-0.08952768769472308,,
2026-07-31,0.9221117450562379,-0.021845327095048273,0.18983883875122026,0.7322729063050176,19,0.18421332904238197,0.1900288676188391,0.39698741006716226,-0.10941725316801687,,
2026-08-03,0.9157268929178307,-0.006924163120834992,0.1870547706958362,0.7286721222219945,20,0.18423811090034728,0.18182010105692048,0.3969781470844865,-0.11558379337968283,,
2026-08-04,0.9029847241618053,-0.013914813307955076,0.18601742236947758,0.7169673017923277,20,0.18296241616739878,0.18229032057778533,0.39886645196294207,-0.12789027978133438,,
2026-08-05,0.9046212277454693,0.0018123269861325397,0.18327863938007893,0.7213425883653903,20,0.18041652830405702,0.1780361980410034,0.39696433035209294,-0.12630973180051353,,
2026-08-06,0.9209231727170295,0.018020741136252738,0.18467394195834108,0.7362492307586884,20,0.1807435020470468,0.18250205017753354,0.4015443603173833,-0.11056518564402729,,
2026-08-07,0.929146741978592,0.008929701744066598,0.18527394029203173,0.7438728016865603,20,0.18400063390949642,0.1849696024795761,0.4006525705075785,-0.10262279803103935,,
2026-08-10,0.9330758074388539,0.004228681308072968,0.18329728511847648,0.7497785223203774,19,0.18508885144059115,0.18348076588436088,0.39667535887829014,-0.09882807583078224,,
2026-08-12,0.9162028815340988,-0.018083124404509654,0.1924728071702698,0.723730074363829,19,0.18311417094752896,0.19266547264291273,0.4027321688061955,-0.11512407984538553,,
2026-08-13,0.9142463593017005,-0.0021354683245726758,0.19345406395829473,0.7207922953434058,19,0.18305751878803178,0.18440623933417888,0.4010724758984886,-0.1170137043440529,,
2026-08-14,0.9254352398331612,0.012238364875750474,0.1972514351927327,0.7281838046404285,19,0.18266660525508505,0.1868334765713494,0.40415811128704726,-0.10620739587752803,,
2026-08-17,0.9023041087943485,-0.02499486732640832,0.18821636982881462,0.7140877389655339,20,0.18490214582081144,0.1762282108135277,0.39022758275278585,-0.12854762343489423,,
2026-08-18,0.9009482081832717,-0.0015027091175374707,0.1811799133306522,0.7197682948526195,20,0.18028054121765208,0.17359796322393117,0.39219427351875064,-0.12985716286665827,,
2026-08-19,0.8781384156463121,-0.025317540264556015,0.17769107659627206,0.7004473390500401,20,0.18000963200464973,0.17687768258485911,0.39612411828773014,-0.15188703918169666,,
2026-08-20,0.896928004634311,0.02139706981634526,0.18149670472836052,0.7154312999059504,20,0.17545223089836404,0.1796129241855364,0.40433848327039834,-0.13373990694692028,,
2026-08-21,0.9018541661546904,0.0054922596851993966,0.18147709384324928,0.7203770723114411,20,0.1792063945323299,0.17954553557732827,0.39997851361094017,-0.12898218156094776,,
2026-08-24,0.8994071990079251,-0.0027132625635013508,0.1834955679398182,0.715911631068107,20,0.18019064258834977,0.18257187920671372,0.4022407783974696,-0.13134548159986104,,
2026-08-25,0.8963119387992299,-0.00344144477841557,0.18068052515392438,0.7156314136453055,20,0.17970173806352152,0.17724364065634754,0.39686738010724315,-0.13433490815645632,,
2026-08-26,0.8871010726247524,-0.010276406879972111,0.17910132606678136,0.707999746557971,20,0.17908330445539064,0.1778610497224254,0.39823675076336346,-0.14323083486202903,,
