code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
3653,モルフォ,情報・通信業,グロース,3653.T,(株)モルフォ,1,1,値上がり率,250,2026-09-03,2026-06-26,10,2,8.0,7.0
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,1,1,出来高,250,2026-09-03,2026-06-15,55,3,1.0,0.0
4056,ニューラルグループ,情報・通信業,グロース,4056.T,ニューラルグループ(株),2,3,値上がり率・出来高・出来高増加率,449,2026-09-03,2026-07-02,5,1,49.0,47.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),2,1,出来高,249,2026-09-03,2026-06-15,55,3,2.0,0.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),3,2,値上がり率・出来高,348,2026-09-03,2026-06-15,55,3,3.0,0.0
8746,ｕｎｂａｎｋｅｄ,証券、商品先物取引業,スタンダード,8746.T,ｕｎｂａｎｋｅｄ(株),3,2,値上がり率・出来高,348,2026-09-03,2026-06-26,12,2,1.0,-2.0
4370,モビルス,情報・通信業,グロース,4370.T,モビルス(株),4,2,値上がり率・出来高増加率,347,2026-09-03,2026-06-18,8,2,85.0,81.0
4052,フィーチャ,情報・通信業,グロース,4052.T,フィーチャ(株),5,2,値上がり率・出来高,346,2026-09-03,2026-07-22,16,3,9.0,4.0
8729,ソニーフィナンシャルグループ,保険業,プライム,8729.T,ソニーフィナンシャルグループ(株),5,1,出来高,246,2026-09-03,2026-06-15,55,3,10.0,5.0
336A,ダイナミックマッププラットフォーム,情報・通信業,グロース,336A.T,ダイナミックマッププラットフォーム(株),6,2,値上がり率・出来高,345,2026-09-03,2026-06-17,13,3,2.0,-4.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),6,1,出来高,245,2026-09-03,2026-06-15,55,3,8.0,2.0
4075,ブレインズテクノロジー,情報・通信業,グロース,4075.T,ブレインズテクノロジー(株),7,1,値上がり率,244,2026-09-03,2026-06-22,5,3,6.0,-1.0
5401,日本製鉄,鉄鋼,プライム,5401.T,日本製鉄(株),7,1,出来高,244,2026-09-03,2026-06-15,55,3,11.0,4.0
3907,シリコンスタジオ,情報・通信業,スタンダード,3907.T,シリコンスタジオ(株),8,1,値上がり率,243,2026-09-03,2026-06-22,22,1,5.0,-3.0
593A,ティアフォー,情報・通信業,グロース,593A.T,(株)ティアフォー,8,2,値上がり率・出来高,343,2026-09-03,2026-08-06,12,3,5.0,-3.0
6522,アスタリスク,電気機器,グロース,6522.T,(株)アスタリスク,9,2,値上がり率・出来高,342,2026-09-03,2026-06-18,23,2,17.0,8.0
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),9,1,出来高,242,2026-09-03,2026-06-15,55,3,5.0,-4.0
8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,(株)三菱ＵＦＪフィナンシャル・グループ,10,1,出来高,241,2026-09-03,2026-06-15,55,3,13.0,3.0
4667,アイサンテクノロジー,情報・通信業,スタンダード,4667.T,アイサンテクノロジー(株),11,1,値上がり率,240,2026-09-03,2026-07-03,8,2,7.0,-4.0
9501,東京電力ホールディングス,電気・ガス業,プライム,9501.T,東京電力ホールディングス(株),11,1,出来高,240,2026-09-03,2026-06-15,55,3,9.0,-2.0
3664,ＷＩＺＥ,情報・通信業,グロース,3664.T,(株)ＷＩＺＥ,12,1,出来高,239,2026-09-03,2026-06-15,50,3,17.0,5.0
603A,アイ・グリッド・ソリューションズ,電気・ガス業,グロース,603A.T,(株)アイ・グリッド・ソリューションズ,12,1,値上がり率,239,2026-09-03,2026-08-07,7,1,20.0,8.0
7066,ピアズ,サービス業,グロース,7066.T,(株)ピアズ,13,2,値上がり率・出来高増加率,338,2026-09-03,2026-06-18,6,1,83.0,70.0
