rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,(株)三菱ＵＦＪフィナンシャル・グループ,8,1,出来高,243,2026-07-23,2026-06-15,27,26,10.0,2.0,2026-07-23,3750.0,0.02235550708833145,0.014335948065999471,0.17004680187207488,0.3626453488372092,0.39992325941507634,3441.85,3184.5333333333333,0.08953033978819525,0.17756657176352375,0.0,0.27785198700033664,58063100.0,36616870.0,1.585692605621398,132604024100.0,270,17.73006134969325,16.619631901840492,8.282208588957054,8.83435582822086,9.447852760736197,9.723926380368098,5.9386503067484675,6.7101226993865035,4.638036809815951,87.92,42.63,18.28,15.66,v7,True,True,True,True,True,True,True,True,True,True,True,True
2,2354,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード,2354.T,(株)ＹＥ　ＤＩＧＩＴＡＬ,9,2,値上がり率・出来高,342,2026-07-23,2026-07-03,6,5,64.0,55.0,2026-07-23,1440.0,0.180327868852459,0.7391304347826086,0.5946843853820598,0.49688149688149696,0.7825623805336273,916.85,925.0833333333334,0.5705949719147079,0.5566165210341409,0.0,1.5090417449214848,8740800.0,1215975.0,7.188305680626658,1982516415.0,257,19.8159509202454,17.337423312883438,9.325153374233128,9.9079754601227,9.9079754601227,5.7975460122699385,7.58282208588957,6.7101226993865035,0.21472392638036808,86.6,46.48,19.82,13.38,v7,True,True,True,True,True,True,True,True,True,False,False,False
3,6237,イワキポンプ,機械,プライム,6237.T,(株)イワキ,43,1,値上がり率,208,2026-07-23,2026-06-18,7,1,50.0,7.0,2026-07-23,5070.0,0.05624999999999991,0.12541620421753596,0.45480631276901007,0.9153758972421608,0.9805216356332758,4254.0,3494.7833333333333,0.19181946403385042,0.4507337126288229,0.0,0.5608899930579918,162700.0,133905.0,1.215040513797095,596271575.0,270,19.8159509202454,17.83435582822086,9.601226993865032,9.723926380368098,9.9079754601227,5.0613496932515325,5.128834355828221,6.7101226993865035,2.1257668711656446,85.91,47.25,19.63,10.19,v7,True,True,True,True,True,True,True,True,True,False,True,False
4,5242,アイズ,情報・通信業,グロース,5242.T,(株)アイズ,4,1,値上がり率,247,2026-07-23,2026-06-15,9,6,9.0,5.0,2026-07-23,1990.0,0.2515723270440251,1.0837696335078535,1.4387254901960786,0.9264278799612777,0.858076563958917,1007.5,967.1,0.9751861042183623,1.0576982731878815,0.0,1.2376588873606342,181400.0,47360.0,3.8302364864864864,66640570.0,270,19.8159509202454,17.83435582822086,9.50920245398773,9.9079754601227,9.9079754601227,3.834355828220859,7.0920245398773,6.7101226993865035,0.34355828220858897,84.96,47.16,19.82,10.93,v7,True,True,True,True,True,True,True,True,True,False,False,False
5,8411,みずほフィナンシャルグループ,銀行業,プライム,8411.T,(株)みずほフィナンシャルグループ,29,1,出来高,222,2026-07-23,2026-06-15,27,26,39.0,10.0,2026-07-23,8766.0,0.02778754836440389,0.016465677179962945,0.13519813519813528,0.35236038259796354,0.3593093259531568,8173.0,7587.716666666666,0.07255597699743066,0.15528826194968626,0.0,0.33829690685390235,12807600.0,8636260.0,1.483003059194605,73148747180.0,270,16.073619631901842,16.45398773006135,8.190184049079756,8.43558282208589,9.263803680981594,9.50920245398773,5.791411042944785,6.7101226993865035,3.714723926380368,84.14,40.72,17.7,15.3,v7,True,True,True,True,True,True,True,True,True,True,True,True
6,8309,三井住友トラストグループ,銀行業,プライム,8309.T,三井住友トラストグループ(株),141,1,出来高,110,2026-07-23,2026-07-07,2,1,136.0,-5.0,2026-07-23,6845.0,0.0001461133839859574,0.013023531152878576,0.162336559687553,0.33326840670042857,0.40303454902117775,6457.9,5943.033333333334,0.05994208643676746,0.1517687376255672,0.0,0.25396628318170833,3083100.0,2490195.0,1.2380958117737768,16210180155.0,270,17.54601226993865,15.957055214723926,8.31288343558282,7.668711656441718,9.202453987730062,8.098159509202453,5.251533742331288,6.7101226993865035,4.9601226993865035,83.71,41.82,16.87,13.35,v7,True,True,True,True,True,True,True,True,True,True,True,True
7,7581,サイゼリヤ,小売業,プライム,7581.T,(株)サイゼリヤ,79,1,値上がり率,172,2026-07-23,2026-07-13,4,1,7.0,-72.0,2026-07-23,7420.0,0.042134831460674205,0.2837370242214532,0.4026465028355388,0.44357976653696496,0.17034700315457418,5987.0,5466.166666666667,0.2393519291798898,0.35744122938073586,-0.023684210526315752,0.7722702275023997,1250600.0,963380.0,1.2981378064730429,6653867700.0,270,19.8159509202454,17.171779141104295,7.0552147239263805,9.9079754601227,9.9079754601227,6.901840490797547,5.325153374233128,5.883435582822085,1.2453987730061349,83.21,44.04,19.82,12.23,v7,True,True,True,True,True,True,True,True,True,False,True,False
8,4092,日本化学工業,化学,プライム,4092.T,日本化学工業(株),99,1,値上がり率,152,2026-07-23,2026-06-15,11,3,35.0,-64.0,2026-07-23,5720.0,0.038112522686025496,0.20930232558139528,0.16615698267074408,0.7228915662650603,0.8590617947420298,4664.0,4518.416666666667,0.2264150943396226,0.2659301746555762,0.0,0.946801523553828,417600.0,306165.0,1.3639704081132722,1498136975.0,270,17.66871165644172,17.558282208588956,9.539877300613497,9.785276073619633,9.785276073619633,5.490797546012271,5.4969325153374236,6.7101226993865035,0.7085889570552146,82.74,44.77,19.57,10.99,v7,True,True,True,True,True,True,True,True,True,False,False,False
9,8316,三井住友フィナンシャルグループ,銀行業,プライム,8316.T,(株)三井住友フィナンシャルグループ,28,1,出来高,223,2026-07-23,2026-06-15,27,26,36.0,8.0,2026-07-23,7167.0,0.0134332579185521,0.006459766886673268,0.1275959723096287,0.33962616822429914,0.3507664657267999,6755.3,6254.883333333333,0.060944739685876215,0.14582472894511755,0.0,0.25520379164421264,13222700.0,11885460.0,1.112510580154239,81021325055.0,270,15.766871165644172,16.12269938650307,8.067484662576687,7.7914110429447865,9.110429447852761,9.601226993865032,4.613496932515337,6.7101226993865035,4.938650306748466,82.72,39.96,16.9,14.21,v7,True,True,True,True,True,True,True,False,True,True,True,True
10,3863,日本製紙,パルプ・紙,プライム,3863.T,日本製紙(株),60,1,値上がり率,191,2026-07-23,2026-07-16,2,1,79.0,19.0,2026-07-23,1590.0,0.04743083003952564,0.13328581610833923,0.3216957605985038,0.12129760225669961,0.3592782757980515,1364.1,1329.7333333333333,0.1656036947437871,0.19572846686052348,0.0,0.2686133842257705,1079700.0,771485.0,1.3995087396384893,1082638775.0,270,19.32515337423313,13.085889570552148,8.159509202453988,9.601226993865032,9.570552147239265,5.337423312883436,5.570552147239264,6.7101226993865035,4.7239263803680975,82.08,40.57,19.17,10.91,v7,True,True,True,True,True,True,True,True,True,True,True,True
