group_name,group_value,metric_key,metric_label,sample_count,valid_count,avg_return,median_return,win_rate
全体,毎日厳選,next_open,翌日寄付ギャップ,105,100,-0.0005214055329029708,0.0,0.49
全体,毎日厳選,1d,1日リターン,105,100,-0.0022879250280983397,-0.00365053669065675,0.45
全体,毎日厳選,3d,3日リターン,105,90,-0.004125156127404019,-0.007926039734075463,0.43333333333333335
全体,毎日厳選,5d,5日リターン,105,80,-0.0015693534671707373,-0.011552729449832044,0.425
全体,毎日厳選,10d,10日リターン,105,55,-0.004819902386960113,-0.016839378238341918,0.41818181818181815
全体,毎日厳選,open_buy_1d,翌日寄付買い1日,105,100,-0.0017558617621745093,-0.0026222873360387533,0.42
全体,毎日厳選,open_buy_3d,翌日寄付買い3日,105,90,-0.003978393910419423,-0.008897838514563272,0.4111111111111111
全体,毎日厳選,open_buy_5d,翌日寄付買い5日,105,80,-0.0008558535608603091,-0.010544021796953407,0.4375
全体,毎日厳選,excess_5d,TOPIX超過5日,105,0,,,
全体,毎日厳選,net_5d_10bps,コスト後5日（片道10bp）,105,80,-0.002853142709592138,-0.012521944297381293,0.4375
市場,グロース,next_open,翌日寄付ギャップ,7,6,0.0009077959829726368,0.0,0.16666666666666666
市場,グロース,1d,1日リターン,7,6,0.0015305369270158613,-0.019957243632684862,0.3333333333333333
市場,グロース,3d,3日リターン,7,4,-0.007530209044627617,-0.003582415803108807,0.5
市場,グロース,5d,5日リターン,7,4,0.021920503990896317,0.027793810466138935,0.75
市場,グロース,10d,10日リターン,7,1,-0.10179153094462545,-0.10179153094462545,0.0
市場,グロース,open_buy_1d,翌日寄付買い1日,7,6,0.0007916479751240435,-0.017398616149956025,0.3333333333333333
市場,グロース,open_buy_3d,翌日寄付買い3日,7,4,-0.01004338816230399,-0.011208646235031428,0.5
市場,グロース,open_buy_5d,翌日寄付買い5日,7,4,0.019378729898462427,0.019821054055882525,0.75
市場,グロース,excess_5d,TOPIX超過5日,7,0,,,
市場,グロース,net_5d_10bps,コスト後5日（片道10bp）,7,4,0.01734099181739543,0.01778243176882488,0.75
市場,スタンダード,next_open,翌日寄付ギャップ,4,4,0.0035891603570510373,6.718114420330005e-05,0.5
市場,スタンダード,1d,1日リターン,4,4,-0.0034639831464770418,-0.00365053669065675,0.25
市場,スタンダード,3d,3日リターン,4,4,-0.01621375076033084,-0.027669855593154248,0.25
市場,スタンダード,5d,5日リターン,4,4,-0.037055633186224346,-0.038608291208867704,0.0
市場,スタンダード,10d,10日リターン,4,3,-0.06786261691319671,-0.0337552742616034,0.0
