signal_date,entry_date,planned_exit_date,code,ticker,name,industry,entry_price,latest_price,unrealized_return,market_value
2026-07-08,2026-07-09,,7380,7380.T,十六フィナンシャルグループ,銀行業,2519.0,2456.0,-0.02500992457324336,0.038355498342396696
2026-07-08,2026-07-09,,4385,4385.T,メルカリ,情報・通信業,4595.0,4771.0,0.0383025027203483,0.04084616954133126
2026-07-08,2026-07-09,,4212,4212.T,積水樹脂,化学,2752.0,2626.0,-0.04578488372093026,0.037538224473425585
2026-07-08,2026-07-09,,9502,9502.T,中部電力,電気・ガス業,3250.0,3001.0,-0.07661538461538464,0.036325371895993025
2026-07-08,2026-07-09,,8136,8136.T,サンリオ,卸売業,1165.5,1200.0,0.029601029601029616,0.04050385904380302
2026-07-09,2026-07-10,,6098,6098.T,リクルートホールディングス,サービス業,12605.0,12660.0,0.004363347877826218,0.03987022414105331
2026-07-09,2026-07-10,,8308,8308.T,りそなホールディングス,銀行業,2376.5,2370.0,-0.0027351146644224444,0.039588436386438074
2026-07-09,2026-07-10,,6723,6723.T,ルネサスエレクトロニクス,電気機器,4922.0,4381.0,-0.1099146688338074,0.0353337283098234
2026-07-09,2026-07-10,,8601,8601.T,大和証券グループ本社,証券、商品先物取引業,1771.5,1802.0,0.01721704769968957,0.040380477620555875
2026-07-09,2026-07-10,,3445,3445.T,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,金属製品,7950.0,7460.0,-0.06163522012578615,0.037250278177421166
2026-07-10,2026-07-13,,6098,6098.T,リクルートホールディングス,サービス業,12005.0,12660.0,0.05456059975010419,0.04189509786643754
2026-07-10,2026-07-13,,6526,6526.T,ソシオネクスト,電気機器,2792.0,2587.0,-0.0734240687679083,0.03681058189434803
2026-07-10,2026-07-13,,6103,6103.T,オークマ,機械,5100.0,4960.0,-0.027450980392156876,0.03863697957806663
2026-07-10,2026-07-13,,7600,7600.T,日本エム・ディ・エム,精密機器,929.0,988.0,0.06350914962325072,0.04225060173486105
2026-07-10,2026-07-13,,9502,9502.T,中部電力,電気・ガス業,3200.0,3001.0,-0.06218749999999995,0.037256983123756776
2026-07-13,2026-07-14,,2175,2175.T,エス・エム・エス,サービス業,2466.0,2519.0,0.02149229521492302,0.0399965369244511
2026-07-13,2026-07-14,,4419,4419.T,Ｆｉｎａｔｅｘｔホールディングス,情報・通信業,1593.0,1713.0,0.07532956685499048,0.042104535617295484
2026-07-13,2026-07-14,,319A,319A.T,技術承継機構,金属製品,19540.0,20370.0,0.0424769703172978,0.04081819200350695
2026-07-13,2026-07-14,,6136,6136.T,オーエスジー,機械,4000.0,3970.0,-0.007499999999999951,0.03886134343202806
2026-07-13,2026-07-14,,8551,8551.T,北日本銀行,銀行業,6190.0,6120.0,-0.011308562197092087,0.0387122191564377
