code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,1,1,出来高,250,2026-07-16,2026-06-15,23,22,1.0,0.0
9238,バリュークリエーション,サービス業,グロース,9238.T,バリュークリエーション(株),1,2,値上がり率・出来高増加率,350,2026-07-16,2026-07-16,1,1,,
150A,ＪＳＨ,サービス業,グロース,150A.T,(株)ＪＳＨ,2,1,値上がり率,249,2026-07-16,2026-06-30,5,1,142.0,140.0
2354,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,スタンダード,2354.T,(株)ＹＥ　ＤＩＧＩＴＡＬ,3,1,値上がり率,248,2026-07-16,2026-07-03,2,1,74.0,71.0
7426,山大,卸売業,スタンダード,7426.T,(株)山大,3,1,出来高増加率,248,2026-07-16,2026-06-18,4,1,131.0,128.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),3,1,出来高,248,2026-07-16,2026-06-15,23,22,2.0,-1.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),4,2,値上がり率・出来高,347,2026-07-16,2026-06-15,23,22,3.0,-1.0
6572,オープングループ,サービス業,プライム,6572.T,オープングループ(株),4,2,値上がり率・出来高増加率,347,2026-07-16,2026-07-02,2,1,67.0,63.0
6033,エクストリーム,サービス業,グロース,6033.T,(株)エクストリーム,5,2,値上がり率・出来高増加率,346,2026-07-16,2026-06-25,4,1,79.0,74.0
6505,東洋電機製造,電気機器,スタンダード,6505.T,東洋電機製造(株),5,2,値上がり率・出来高増加率,346,2026-07-16,2026-07-16,1,1,,
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),5,1,出来高,246,2026-07-16,2026-06-15,23,22,6.0,1.0
157A,グリーンモンスター,サービス業,グロース,157A.T,グリーンモンスター(株),6,2,値上がり率・出来高増加率,345,2026-07-16,2026-06-17,6,1,31.0,25.0
8729,ソニーフィナンシャルグループ,保険業,プライム,8729.T,ソニーフィナンシャルグループ(株),6,1,出来高,245,2026-07-16,2026-06-15,23,22,5.0,-1.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),7,1,出来高,244,2026-07-16,2026-06-15,23,22,7.0,0.0
7581,サイゼリヤ,小売業,プライム,7581.T,(株)サイゼリヤ,7,1,値上がり率,244,2026-07-16,2026-07-13,2,1,124.0,117.0
175A,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業,グロース,175A.T,(株)Ｗｉｌｌ　Ｓｍａｒｔ,8,2,値上がり率・出来高増加率,343,2026-07-16,2026-06-18,3,1,113.0,105.0
9984,ソフトバンクグループ,情報・通信業,プライム,9984.T,ソフトバンクグループ(株),8,1,出来高,243,2026-07-16,2026-06-15,23,22,9.0,1.0
285A,キオクシアホールディングス,電気機器,プライム,285A.T,キオクシアホールディングス(株),9,1,出来高,242,2026-07-16,2026-06-15,22,5,10.0,1.0
3910,エムケイシステム,情報・通信業,スタンダード,3910.T,(株)エムケイシステム,10,1,出来高増加率,241,2026-07-16,2026-06-24,2,1,84.0,74.0
7138,ＴＯＲＩＣＯ,小売業,グロース,7138.T,(株)ＴＯＲＩＣＯ,10,3,値上がり率・出来高・出来高増加率,441,2026-07-16,2026-06-17,4,1,12.0,2.0
7201,日産自動車,輸送用機器,プライム,7201.T,日産自動車(株),10,2,値上がり率・出来高,341,2026-07-16,2026-06-15,23,22,11.0,1.0
325A,ＴＥＮＴＩＡＬ,繊維製品,グロース,325A.T,(株)ＴＥＮＴＩＡＬ,11,1,値上がり率,240,2026-07-16,2026-06-19,4,1,104.0,93.0
5575,Ｇｌｏｂｅｅ,情報・通信業,グロース,5575.T,(株)Ｇｌｏｂｅｅ,11,2,値上がり率・出来高増加率,340,2026-07-16,2026-06-29,4,2,6.0,-5.0
8306,三菱ＵＦＪフィナンシャル・グループ,銀行業,プライム,8306.T,(株)三菱ＵＦＪフィナンシャル・グループ,11,1,出来高,240,2026-07-16,2026-06-15,23,22,8.0,-3.0
205A,ロゴスホールディングス,建設業,グロース,205A.T,(株)ロゴスホールディングス,12,1,値上がり率,239,2026-07-16,2026-06-24,3,1,87.0,75.0
5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,12,1,出来高,239,2026-07-16,2026-06-15,23,22,12.0,0.0
3547,ユニシアホールディングス,小売業,スタンダード,3547.T,(株)ユニシアホールディングス,13,2,値上がり率・出来高増加率,338,2026-07-16,2026-07-16,1,1,,
6740,ジャパンディスプレイ,電気機器,プライム,6740.T,(株)ジャパンディスプレイ,13,1,出来高,238,2026-07-16,2026-06-15,23,22,30.0,17.0
9213,セイファート,サービス業,スタンダード,9213.T,(株)セイファート,13,1,出来高増加率,238,2026-07-16,2026-07-06,3,1,19.0,6.0
1418,インターライフホールディングス,建設業,スタンダード,1418.T,インターライフホールディングス(株),14,2,値上がり率・出来高増加率,337,2026-07-16,2026-07-16,1,1,,
7203,トヨタ自動車,輸送用機器,プライム,7203.T,トヨタ自動車(株),14,1,出来高,237,2026-07-16,2026-06-15,23,22,20.0,6.0
446A,ノースサンド,サービス業,グロース,446A.T,(株)ノースサンド,15,1,値上がり率,236,2026-07-16,2026-06-18,5,1,58.0,43.0
9501,東京電力ホールディングス,電気・ガス業,プライム,9501.T,東京電力ホールディングス(株),15,1,出来高,236,2026-07-16,2026-06-15,23,22,15.0,0.0
9709,ＮＣＳ＆Ａ,情報・通信業,スタンダード,9709.T,ＮＣＳ＆Ａ(株),15,1,出来高増加率,236,2026-07-16,2026-07-08,2,1,118.0,103.0
3187,ミラタップ,小売業,グロース,3187.T,(株)ミラタップ,16,2,値上がり率・出来高増加率,335,2026-07-16,2026-06-15,6,1,136.0,120.0
5401,日本製鉄,鉄鋼,プライム,5401.T,日本製鉄(株),16,1,出来高,235,2026-07-16,2026-06-15,23,22,13.0,-3.0
2588,プレミアムウォーターホールディングス,食料品,スタンダード,2588.T,(株)プレミアムウォーターホールディングス,17,1,出来高増加率,234,2026-07-16,2026-07-16,1,1,,
6976,太陽誘電,電気機器,プライム,6976.T,太陽誘電(株),17,1,出来高,234,2026-07-16,2026-06-15,23,22,18.0,1.0
6981,村田製作所,電気機器,プライム,6981.T,(株)村田製作所,18,1,出来高,233,2026-07-16,2026-06-15,23,22,17.0,-1.0
9517,イーレックス,電気・ガス業,プライム,9517.T,イーレックス(株),18,1,値上がり率,233,2026-07-16,2026-07-16,1,1,,
8136,サンリオ,卸売業,プライム,8136.T,(株)サンリオ,19,2,値上がり率・出来高,332,2026-07-16,2026-06-15,23,22,23.0,4.0
4092,日本化学工業,化学,プライム,4092.T,日本化学工業(株),20,1,値上がり率,231,2026-07-16,2026-06-15,8,2,16.0,-4.0
7211,三菱自動車工業,輸送用機器,プライム,7211.T,三菱自動車(株),20,2,値上がり率・出来高,331,2026-07-16,2026-06-15,23,22,33.0,13.0
5802,住友電気工業,非鉄金属,プライム,5802.T,住友電気工業(株),21,1,出来高,230,2026-07-16,2026-06-15,23,22,27.0,6.0
7254,ユニバンス,輸送用機器,スタンダード,7254.T,(株)ユニバンス,21,1,値上がり率,230,2026-07-16,2026-06-24,4,1,39.0,18.0
9279,ギフトホールディングス,小売業,プライム,9279.T,(株)ギフトホールディングス,22,1,値上がり率,229,2026-07-16,2026-06-29,3,1,88.0,66.0
5016,ＪＸ金属,非鉄金属,プライム,5016.T,ＪＸ金属(株),23,1,出来高,228,2026-07-16,2026-06-15,23,22,22.0,-1.0
5242,アイズ,情報・通信業,グロース,5242.T,(株)アイズ,23,1,値上がり率,228,2026-07-16,2026-06-15,5,2,58.0,35.0
3077,ホリイフードサービス,小売業,スタンダード,3077.T,ホリイフードサービス(株),24,1,値上がり率,227,2026-07-16,2026-06-17,4,1,107.0,83.0
4372,ユミルリンク,情報・通信業,グロース,4372.T,ユミルリンク(株),24,1,出来高増加率,227,2026-07-16,2026-06-18,5,1,19.0,-5.0
7011,三菱重工業,機械,プライム,7011.T,三菱重工業(株),24,1,出来高,227,2026-07-16,2026-06-15,23,22,21.0,-3.0
4490,ビザスク,情報・通信業,グロース,4490.T,(株)ビザスク,25,2,値上がり率・出来高増加率,326,2026-07-16,2026-06-24,3,1,67.0,42.0
7012,川崎重工業,輸送用機器,プライム,7012.T,川崎重工業(株),25,1,出来高,226,2026-07-16,2026-06-15,23,22,16.0,-9.0
3436,ＳＵＭＣＯ,金属製品,プライム,3436.T,(株)ＳＵＭＣＯ,26,1,出来高,225,2026-07-16,2026-06-15,23,22,19.0,-7.0
3697,ＳＨＩＦＴ,情報・通信業,プライム,3697.T,(株)ＳＨＩＦＴ,27,1,出来高,224,2026-07-16,2026-06-15,23,22,64.0,37.0
8101,ＧＳＩクレオス,卸売業,プライム,8101.T,(株)ＧＳＩクレオス,27,2,値上がり率・出来高増加率,324,2026-07-16,2026-07-16,1,1,,
9220,エフビー介護サービス,サービス業,スタンダード,9220.T,エフビー介護サービス(株),27,1,出来高増加率,224,2026-07-16,2026-07-16,1,1,,
3350,メタプラネット,卸売業,スタンダード,3350.T,(株)メタプラネット,28,1,出来高,223,2026-07-16,2026-06-15,23,22,26.0,-2.0
