rank,code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change,trade_date,close,return_1d,return_5d,return_20d,return_60d,return_120d,ma20,ma60,distance_ma20,distance_ma60,distance_high_120d,volatility_20d,latest_volume,avg_volume_20d,volume_ratio_20d,avg_turnover_20d,history_days,score_return_20d,score_return_60d,score_return_120d,score_distance_ma20,score_distance_ma60,score_avg_turnover_20d,score_volume_ratio_20d,score_distance_high_120d,score_volatility_20d,score,momentum_score,trend_score,liquidity_score,evaluation_version,rule_price_floor,rule_liquidity_floor,rule_momentum_20_positive,rule_momentum_60_positive,rule_above_ma20,rule_above_ma60,rule_trend_alignment,rule_volume_expansion,rule_near_120d_high,rule_overheat_control,rule_volatility_control,rule_daily_base
1,6191,エアトリ,サービス業,プライム,6191.T,(株)エアトリ,96,1,出来高,155,2026-09-14,2026-07-09,6,3,6.0,-90.0,2026-09-14,1665.0,0.5517241379310345,1.1401028277634961,0.970414201183432,1.1346153846153846,1.3516949152542375,872.95,857.6166666666667,0.9073257345781545,0.9414268223953981,0.0,2.0653913559595667,9105300.0,124175.0,73.32635393597745,836247820.0,306,19.819277108433734,17.837349397590362,9.90909090909091,9.909638554216867,9.909638554216867,5.873493975903615,7.927710843373494,6.8102409638554215,0.08433734939759036,88.08,47.57,19.82,13.8,v7,True,True,True,True,True,True,True,True,True,False,False,False
2,8001,伊藤忠商事,卸売業,プライム,8001.T,伊藤忠商事(株),41,1,出来高,210,2026-09-14,2026-06-15,62,10,25.0,-16.0,2026-09-14,2340.5,0.020270270270270174,0.03356149260322372,0.17524479035902596,0.25093532870122925,0.16884116971316554,2162.2,2014.125,0.08246230690962908,0.16204307081238745,0.0,0.21139408597912002,18503600.0,14388585.0,1.2859916385106667,32224925522.5,306,18.55421686746988,15.018072289156626,6.848484848484849,9.066265060240962,8.704819277108435,9.096385542168674,6.481927710843373,6.8102409638554215,5.650602409638554,86.23,40.42,17.77,15.58,v7,True,True,True,True,True,True,True,True,True,True,True,True
3,2492,インフォマート,サービス業,プライム,2492.T,(株)インフォマート,137,1,出来高,114,2026-09-14,2026-06-17,31,1,145.0,8.0,2026-09-14,714.0,0.020000000000000018,0.020000000000000018,0.25704225352112675,0.8016500605379504,0.7849999999999999,650.3,545.1517466227214,0.09795479009687846,0.30972707034933533,0.0,0.6484006734692155,3382400.0,3659420.0,0.924299479152434,2392573120.0,306,18.915662650602407,17.566265060240966,9.363636363636363,9.27710843373494,9.548192771084338,6.506024096385542,4.795180722891566,6.8102409638554215,1.4126506024096386,84.19,45.85,18.83,11.3,v7,True,True,True,True,True,True,True,False,True,True,True,True
4,7803,ブシロード,その他製品,グロース,7803.T,(株)ブシロード,79,1,出来高,172,2026-09-14,2026-07-01,13,2,91.0,12.0,2026-09-14,468.0,0.054054054054053946,0.03083700440528636,0.11961722488038284,0.7764138838399921,0.803534806965368,428.2,375.4320561726888,0.09294722092480145,0.2465637718073077,0.0,0.5453074355198267,1640400.0,1243470.0,1.3192115611956863,546572790.0,295,17.16867469879518,17.512048192771086,9.484848484848484,9.216867469879519,9.27710843373494,5.66265060240964,6.554216867469879,6.8102409638554215,2.0240963855421685,83.71,44.17,18.49,12.22,v7,True,True,True,True,True,True,True,True,True,True,True,True
5,4174,アピリッツ,情報・通信業,スタンダード,4174.T,(株)アピリッツ,24,1,値上がり率,227,2026-09-14,2026-06-25,9,3,103.0,79.0,2026-09-14,1045.0,0.0,0.1741573033707866,0.27439024390243905,0.6882067851373181,0.5954198473282444,844.0,736.05,0.23815165876777256,0.41974050675905183,0.0,0.8915113435183174,225200.0,130235.0,1.7291818635543441,124675150.0,281,19.03614457831325,17.295180722891565,9.030303030303031,9.759036144578312,9.728915662650603,4.246987951807228,7.0120481927710845,6.8102409638554215,0.6536144578313252,83.57,45.36,19.49,11.26,v7,True,True,True,True,True,True,True,True,True,False,False,False
6,6203,豊和工業,機械,スタンダード,6203.T,豊和工業(株),31,1,出来高,220,2026-09-14,2026-09-02,7,6,4.0,-27.0,2026-09-14,2344.0,-0.17580872011251758,0.2259414225941423,0.5220779220779221,0.3788235294117648,0.4917989331667669,1738.35,1591.65,0.34840509678718323,0.47268557785945386,-0.17580872011251758,1.4404714895922361,18337800.0,4680385.0,3.9180110183243473,12767730460.0,252,19.819277108433734,16.210843373493976,8.87878787878788,9.909638554216867,9.909638554216867,7.861445783132529,7.759036144578313,2.88855421686747,0.23192771084337352,83.47,44.91,19.82,15.62,v7,True,True,True,True,True,True,True,True,False,False,False,False
7,9506,東北電力,電気・ガス業,プライム,9506.T,東北電力(株),135,1,出来高,116,2026-09-14,2026-07-30,12,4,117.0,-18.0,2026-09-14,1421.5,0.002821869488536244,0.025613275613275643,0.13086714399363575,0.3538095238095238,0.26396220138097815,1352.0,1204.425,0.05140532544378695,0.18023123067023694,-0.0014049877063575522,0.27148085457869126,4724000.0,3717255.0,1.270830222839165,5233367452.5,306,17.349397590361445,15.885542168674698,7.606060606060606,8.524096385542169,8.825301204819278,7.138554216867471,6.433734939759037,6.578313253012048,5.039156626506024,83.38,40.84,17.35,13.57,v7,True,True,True,True,True,True,True,True,True,True,True,True
8,278A,Ｔｅｒｒａ　Ｄｒｏｎｅ,精密機器,グロース,278A.T,Ｔｅｒｒａ　Ｄｒｏｎｅ(株),127,1,出来高,124,2026-09-14,2026-06-18,24,2,15.0,-112.0,2026-09-14,20310.0,-0.03285714285714281,0.010447761194029903,0.4738751814223512,1.5324189526184537,5.8040201005025125,17681.0,13159.333333333334,0.14869068491601145,0.5433912558893561,-0.060592044403330214,1.392997851055588,1498200.0,4023775.0,0.3723369224173817,75794004450.0,303,19.518072289156624,17.837349397590362,9.90909090909091,9.578313253012048,9.909638554216867,9.63855421686747,1.6385542168674698,4.996987951807229,0.25301204819277107,83.28,47.26,19.49,11.28,v7,True,True,True,True,True,True,True,False,False,True,False,False
9,4052,フィーチャ,情報・通信業,グロース,4052.T,フィーチャ(株),105,1,出来高,146,2026-09-14,2026-07-22,23,10,56.0,-49.0,2026-09-14,938.0,-0.1610017889087657,0.12335329341317358,0.6172413793103448,2.957805907172996,2.0957095709570956,739.75,462.53333333333336,0.26799594457587017,1.0279619486883829,-0.30000000000000004,2.0295736033577296,4446100.0,3711900.0,1.1977962768393544,3538412255.0,281,19.819277108433734,17.837349397590362,9.90909090909091,9.909638554216867,9.909638554216867,6.746987951807228,6.289156626506024,1.7710843373493974,0.08433734939759036,82.28,47.57,19.82,13.04,v7,True,True,True,True,True,True,True,False,False,False,False,False
10,5019,出光興産,石油・石炭製品,プライム,5019.T,出光興産(株),115,1,出来高,136,2026-09-14,2026-06-17,40,10,83.0,-32.0,2026-09-14,1638.0,-0.0060679611650485965,0.09272848565710468,0.2315789473684211,0.3146067415730338,0.12048781921616514,1463.35,1331.3333333333333,0.11934943793350872,0.23034551827741612,-0.013253012048192736,0.3707262667325482,4938400.0,4923410.0,1.0030446377612265,7492496495.0,306,18.85542168674699,15.506024096385545,6.12121212121212,9.36746987951807,9.216867469879519,7.409638554216867,5.518072289156627,6.240963855421687,3.689759036144579,81.93,40.48,18.58,12.93,v7,True,True,True,True,True,True,True,False,True,True,True,True
