code,name,industry,market,ticker,yahoo_name,best_yahoo_rank,ranking_hits,ranking_sources,candidate_score,snapshot_date,first_seen_date,appearance_count,consecutive_appearances,previous_yahoo_rank,yahoo_rank_change
6181,タメニー,サービス業,グロース,6181.T,タメニー(株),1,1,値上がり率,250,2026-06-24,2026-06-19,4,4,40.0,39.0
8918,ランド,不動産業,スタンダード,8918.T,(株)ランド,1,1,出来高,250,2026-06-24,2026-06-15,7,6,1.0,0.0
6897,ツインバード,電気機器,スタンダード,6897.T,(株)ツインバード,2,2,値上がり率・出来高増加率,349,2026-06-24,2026-06-23,2,2,7.0,5.0
6740,ジャパンディスプレイ,電気機器,プライム,6740.T,(株)ジャパンディスプレイ,3,2,値上がり率・出来高,348,2026-06-24,2026-06-15,7,6,7.0,4.0
9432,ＮＴＴ,情報・通信業,プライム,9432.T,ＮＴＴ(株),3,1,出来高,248,2026-06-24,2026-06-15,7,6,2.0,-1.0
8136,サンリオ,卸売業,プライム,8136.T,(株)サンリオ,4,2,出来高・出来高増加率,347,2026-06-24,2026-06-15,7,6,17.0,13.0
4564,オンコセラピー・サイエンス,医薬品,グロース,4564.T,オンコセラピー・サイエンス(株),5,1,出来高,246,2026-06-24,2026-06-15,7,6,4.0,-1.0
4664,アール・エス・シー,サービス業,スタンダード,4664.T,ＲＳＣ,5,1,値上がり率,246,2026-06-24,2026-06-17,2,1,57.0,52.0
9256,サクシード,サービス業,グロース,9256.T,(株)サクシード,6,1,値上がり率,245,2026-06-24,2026-06-18,5,5,2.0,-4.0
4597,ソレイジア・ファーマ,医薬品,グロース,4597.T,ソレイジア・ファーマ(株),7,1,出来高,244,2026-06-24,2026-06-15,7,6,8.0,1.0
9854,愛眼,小売業,スタンダード,9854.T,愛眼(株),7,2,値上がり率・出来高増加率,344,2026-06-24,2026-06-24,1,1,,
281A,インフォメティス,情報・通信業,グロース,281A.T,インフォメティス(株),8,1,値上がり率,243,2026-06-24,2026-06-15,4,3,32.0,24.0
5803,フジクラ,非鉄金属,プライム,5803.T,(株)フジクラ,8,1,出来高,243,2026-06-24,2026-06-15,7,6,5.0,-3.0
9376,ユーラシア旅行社,サービス業,スタンダード,9376.T,(株)ユーラシア旅行社,8,1,出来高増加率,243,2026-06-24,2026-06-15,2,1,111.0,103.0
5367,ニッカトー,ガラス・土石製品,スタンダード,5367.T,(株)ニッカトー,9,2,値上がり率・出来高増加率,342,2026-06-24,2026-06-15,4,1,5.0,-4.0
9434,ソフトバンク,情報・通信業,プライム,9434.T,ソフトバンク(株),9,1,出来高,242,2026-06-24,2026-06-15,7,6,6.0,-3.0
6977,日本抵抗器製作所,電気機器,スタンダード,6977.T,(株)日本抵抗器製作所,10,2,値上がり率・出来高増加率,341,2026-06-24,2026-06-24,1,1,,
7555,大田花き,卸売業,スタンダード,7555.T,(株)大田花き,10,1,出来高増加率,241,2026-06-24,2026-06-24,1,1,,
